ID,time,y1,y1_simBlq,censored,split,color,filter
NHP1,0,2.67761,-4.65065,1,All,#4682B4,0
NHP1,1,2.67761,1.7168,1,All,#4682B4,0
NHP1,2,2.67761,2.29595,1,All,#4682B4,0
NHP1,3,2.67761,-0.0145467,1,All,#4682B4,0
NHP1,4,2.67761,2.64303,1,All,#4682B4,0
NHP1,5,2.67761,-2.86475,1,All,#4682B4,0
NHP1,7,2.74353,2.74353,0,All,#4682B4,0
NHP1,9,2.67761,-0.477829,1,All,#4682B4,0
NHP1,14,2.67761,-3.60566,1,All,#4682B4,0
NHP1,23,2.67761,-4.49294,1,All,#4682B4,0
NHP10,0,2.67761,-3.09942,1,All,#4682B4,0
NHP10,1,7.71503,7.71503,0,All,#4682B4,0
NHP10,2,8.71934,8.71934,0,All,#4682B4,0
NHP10,3,7.47225,7.47225,0,All,#4682B4,0
NHP10,4,5.64034,5.64034,0,All,#4682B4,0
NHP10,5,5.94617,5.94617,0,All,#4682B4,0
NHP10,7,5.0449,5.0449,0,All,#4682B4,0
NHP10,10,2.67761,2.21075,1,All,#4682B4,0
NHP10,14,2.67761,0.400344,1,All,#4682B4,0
NHP10,23,2.67761,-3.76086,1,All,#4682B4,0
NHP10,29,2.67761,-1.44736,1,All,#4682B4,0
NHP11,0,2.67761,-3.27292,1,All,#4682B4,0
NHP11,1,2.67761,1.75435,1,All,#4682B4,0
NHP11,2,2.67761,2.05746,1,All,#4682B4,0
NHP11,4,2.67761,0.271362,1,All,#4682B4,0
NHP11,5,2.67761,-0.879028,1,All,#4682B4,0
NHP11,7,2.67761,0.759688,1,All,#4682B4,0
NHP11,10,2.67761,-1.43873,1,All,#4682B4,0
NHP11,14,2.67761,-4.27193,1,All,#4682B4,0
NHP11,23,2.67761,-2.83981,1,All,#4682B4,0
NHP11,29,2.67761,-1.97936,1,All,#4682B4,0
NHP12,0,2.67761,-3.87922,1,All,#4682B4,0
NHP12,1,2.67761,2.24908,1,All,#4682B4,0
NHP12,3,2.67761,2.1236,1,All,#4682B4,0
NHP12,4,2.67761,-0.906962,1,All,#4682B4,0
NHP12,5,2.67761,-0.562128,1,All,#4682B4,0
NHP12,7,2.67761,-4.38303,1,All,#4682B4,0
NHP12,9,2.67761,-5.67014,1,All,#4682B4,0
NHP12,14,2.67761,-2.88108,1,All,#4682B4,0
NHP12,23,2.67761,-2.39857,1,All,#4682B4,0
NHP13,0,2.67761,-3.2322,1,All,#4682B4,0
NHP13,1,6.65098,6.65098,0,All,#4682B4,0
NHP13,2,8.54889,8.54889,0,All,#4682B4,0
NHP13,3,7.56087,7.56087,0,All,#4682B4,0
NHP13,4,6.01597,6.01597,0,All,#4682B4,0
NHP13,5,5.43551,5.43551,0,All,#4682B4,0
NHP13,7,5.71643,5.71643,0,All,#4682B4,0
NHP13,10,3.40076,3.40076,0,All,#4682B4,0
NHP13,14,2.67761,2.46021,1,All,#4682B4,0
NHP13,23,2.67761,-2.95696,1,All,#4682B4,0
NHP13,29,2.67761,-1.28123,1,All,#4682B4,0
NHP14,0,2.67761,-2.92042,1,All,#4682B4,0
NHP14,1,2.67761,1.91659,1,All,#4682B4,0
NHP14,3,2.67761,0.343,1,All,#4682B4,0
NHP14,4,2.67761,-0.832434,1,All,#4682B4,0
NHP14,5,2.67761,-1.65483,1,All,#4682B4,0
NHP14,7,2.67761,-2.61495,1,All,#4682B4,0
NHP14,9,2.67761,-3.79902,1,All,#4682B4,0
NHP14,14,2.67761,-3.52738,1,All,#4682B4,0
NHP14,23,2.67761,-5.48483,1,All,#4682B4,0
NHP15,0,2.67761,-2.16219,1,All,#4682B4,0
NHP15,1,6.05425,6.05425,0,All,#4682B4,0
NHP15,2,4.29975,4.29975,0,All,#4682B4,0
NHP15,3,4.04861,4.04861,0,All,#4682B4,0
NHP15,4,3.46965,3.46965,0,All,#4682B4,0
NHP15,5,2.89081,2.89081,0,All,#4682B4,0
NHP15,7,2.67761,2.14958,1,All,#4682B4,0
NHP15,10,2.67761,-2.20438,1,All,#4682B4,0
NHP15,14,2.67761,-1.20062,1,All,#4682B4,0
NHP15,23,2.67761,-2.60264,1,All,#4682B4,0
NHP15,29,2.67761,-2.08609,1,All,#4682B4,0
NHP16,0,2.67761,-2.54218,1,All,#4682B4,0
NHP16,1,2.67761,2.47353,1,All,#4682B4,0
NHP16,2,3.63067,3.63067,0,All,#4682B4,0
NHP16,4,2.67761,1.53106,1,All,#4682B4,0
NHP16,5,2.67761,0.826718,1,All,#4682B4,0
NHP16,7,2.67761,-0.454845,1,All,#4682B4,0
NHP16,9,2.67761,-2.47939,1,All,#4682B4,0
NHP16,14,2.67761,-3.06532,1,All,#4682B4,0
NHP16,23,2.67761,-6.10673,1,All,#4682B4,0
NHP17,0,2.67761,-4.31448,1,All,#4682B4,0
NHP17,1,6.93938,6.93938,0,All,#4682B4,0
NHP17,2,7.12591,7.12591,0,All,#4682B4,0
NHP17,3,5.65293,5.65293,0,All,#4682B4,0
NHP17,4,5.24824,5.24824,0,All,#4682B4,0
NHP17,5,5.10868,5.10868,0,All,#4682B4,0
NHP17,7,2.67761,2.30376,1,All,#4682B4,0
NHP17,10,2.67761,-1.04916,1,All,#4682B4,0
NHP17,14,2.67761,-3.21986,1,All,#4682B4,0
NHP17,23,2.67761,-1.74449,1,All,#4682B4,0
NHP17,29,2.67761,-6.81705,1,All,#4682B4,0
NHP18,0,2.67761,-1.23367,1,All,#4682B4,0
NHP18,1,6.07915,6.07915,0,All,#4682B4,0
NHP18,2,7.88521,7.88521,0,All,#4682B4,0
NHP18,3,6.52466,6.52466,0,All,#4682B4,0
NHP18,4,5.89468,5.89468,0,All,#4682B4,0
NHP18,7,2.67761,1.5667,1,All,#4682B4,0
NHP18,10,2.67761,0.943495,1,All,#4682B4,0
NHP18,14,2.67761,-1.67908,1,All,#4682B4,0
NHP18,23,2.67761,-0.591574,1,All,#4682B4,0
NHP18,29,2.67761,-1.73548,1,All,#4682B4,0
NHP19,0,2.67761,-1.54672,1,All,#4682B4,0
NHP19,1,7.48514,7.48514,0,All,#4682B4,0
NHP19,2,8.90729,8.90729,0,All,#4682B4,0
NHP19,3,7.18282,7.18282,0,All,#4682B4,0
NHP19,4,7.1237,7.1237,0,All,#4682B4,0
NHP19,5,6.62438,6.62438,0,All,#4682B4,0
NHP19,7,8.30593,8.30593,0,All,#4682B4,0
NHP19,9,4.87013,4.87013,0,All,#4682B4,0
NHP19,14,2.67761,1.88609,1,All,#4682B4,0
NHP19,23,2.67761,0.348792,1,All,#4682B4,0
NHP2,0,2.67761,-4.2143,1,All,#4682B4,0
NHP2,1,8.11486,8.11486,0,All,#4682B4,0
NHP2,2,8.69263,8.69263,0,All,#4682B4,0
NHP2,3,7.68783,7.68783,0,All,#4682B4,0
NHP2,4,6.618,6.618,0,All,#4682B4,0
NHP2,5,5.68072,5.68072,0,All,#4682B4,0
NHP2,7,6.43414,6.43414,0,All,#4682B4,0
NHP2,9,2.67761,1.42552,1,All,#4682B4,0
NHP2,14,2.67761,1.02873,1,All,#4682B4,0
NHP2,23,2.67761,-1.88442,1,All,#4682B4,0
NHP20,0,2.67761,-4.01389,1,All,#4682B4,0
NHP20,1,5.29104,5.29104,0,All,#4682B4,0
NHP20,2,6.45138,6.45138,0,All,#4682B4,0
NHP20,3,5.69247,5.69247,0,All,#4682B4,0
NHP20,4,4.26118,4.26118,0,All,#4682B4,0
NHP20,5,5.21907,5.21907,0,All,#4682B4,0
NHP20,7,2.67761,2.54453,1,All,#4682B4,0
NHP20,10,2.67761,-0.0824278,1,All,#4682B4,0
NHP20,14,2.67761,-1.65251,1,All,#4682B4,0
NHP20,23,2.67761,-2.53104,1,All,#4682B4,0
NHP20,29,2.67761,-3.20112,1,All,#4682B4,0
NHP21,0,2.67761,-3.64587,1,All,#4682B4,0
NHP21,1,5.27088,5.27088,0,All,#4682B4,0
NHP21,2,5.44505,5.44505,0,All,#4682B4,0
NHP21,3,2.67761,0.808775,1,All,#4682B4,0
NHP21,4,2.67761,0.382643,1,All,#4682B4,0
NHP21,5,2.67761,1.98894,1,All,#4682B4,0
NHP21,7,2.67761,1.25637,1,All,#4682B4,0
NHP21,10,2.67761,-1.39931,1,All,#4682B4,0
NHP21,14,2.67761,-3.49948,1,All,#4682B4,0
NHP21,23,2.67761,-2.61801,1,All,#4682B4,0
NHP21,29,2.67761,-3.55591,1,All,#4682B4,0
NHP22,0,2.67761,-2.45237,1,All,#4682B4,0
NHP22,1,2.93677,2.93677,0,All,#4682B4,0
NHP22,2,3.02216,3.02216,0,All,#4682B4,0
NHP22,3,2.67761,2.06043,1,All,#4682B4,0
NHP22,4,2.67761,0.0603199,1,All,#4682B4,0
NHP22,5,2.67761,-0.411073,1,All,#4682B4,0
NHP22,7,2.67761,-2.87389,1,All,#4682B4,0
NHP22,10,2.67761,-2.48874,1,All,#4682B4,0
NHP22,14,2.67761,-2.84635,1,All,#4682B4,0
