bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
0,-3.14079,-4.22432,-1.22793,-2.99185,-3.41461,-2.57583,-4.49797,-5.10088,-3.97288,-1.4729,-2.03902,-0.868856,All
1,5.29104,1.69652,7.52059,5.04637,4.43719,5.70152,1.81659,0.998365,2.56438,7.5691,6.87432,8.24309,All
2,6.35153,2.17671,8.70599,5.10363,4.39845,5.69681,1.73883,0.895841,2.62626,7.47782,6.78176,8.16377,All
3,5.28464,0.345996,7.51656,4.3518,3.66045,5.08439,0.721166,-0.26524,1.62641,7.13221,6.38781,7.86827,All
4,3.57603,-0.0296558,6.07617,3.61923,2.95156,4.24122,0.0562254,-0.901793,0.853412,6.8136,6.09315,7.54236,All
5,3.64039,-0.963523,5.90825,3.07089,2.36711,3.85842,-0.751507,-1.88741,0.199444,6.47497,5.63958,7.26506,All
7,1.61415,-2.86355,5.79576,1.76253,0.9402,2.60243,-2.29684,-3.40657,-1.28533,5.61829,4.76914,6.41808,All
9,-1.40485,-4.40976,2.11444,-1.64068,-2.7291,-0.354547,-3.80059,-4.77843,-2.82114,3.55789,1.75692,5.45693,All
10,0.135839,-2.58351,2.74422,0.886963,-0.375774,1.98717,-2.79198,-3.8794,-1.54706,4.39453,3.2624,5.65056,All
14,-2.81497,-4.32523,1.90438,-2.04034,-2.61395,-1.3731,-4.11452,-4.79661,-3.489,2.21638,0.903838,3.40611,All
23,-2.94753,-5.08311,-0.586411,-2.82106,-3.32395,-2.36787,-4.43799,-5.04674,-3.87738,-0.96554,-1.67958,0.0990769,All
29,-3.01189,-4.48736,-1.62023,-2.90595,-3.48254,-2.3078,-4.42131,-5.10465,-3.7955,-1.28657,-2.01394,-0.247696,All
