id,betas_N_SAEM,fact_beta_T_SAEM,delta_N_SAEM,fact_delta_T_SAEM,P_N_SAEM,fact_P_T_SAEM,mu_SAEM,k_SAEM,c_SAEM,cI_SAEM,alpha_VLSG_SAEM,S0_SAEM,gamma_SAEM,rho_SAEM,Smax_SAEM,tauS_SAEM,theta_BAb_SAEM,alpha_NAb_SAEM,tauAb_SAEM,eta_SAEM,thresh_Weight_SAEM,betas_N_mean,fact_beta_T_mean,delta_N_mean,fact_delta_T_mean,P_N_mean,fact_P_T_mean,mu_mean,k_mean,c_mean,cI_mean,alpha_VLSG_mean,S0_mean,gamma_mean,rho_mean,Smax_mean,tauS_mean,theta_BAb_mean,alpha_NAb_mean,tauAb_mean,eta_mean,thresh_Weight_mean,betas_N_mode,fact_beta_T_mode,delta_N_mode,fact_delta_T_mode,P_N_mode,fact_P_T_mode,mu_mode,k_mode,c_mode,cI_mode,alpha_VLSG_mode,S0_mode,gamma_mode,rho_mode,Smax_mode,tauS_mode,theta_BAb_mode,alpha_NAb_mode,tauAb_mode,eta_mode,thresh_Weight_mode,betas_N_sd,fact_beta_T_sd,delta_N_sd,fact_delta_T_sd,P_N_sd,fact_P_T_sd,mu_sd,k_sd,c_sd,cI_sd,alpha_VLSG_sd,S0_sd,gamma_sd,rho_sd,Smax_sd,tauS_sd,theta_BAb_sd,alpha_NAb_sd,tauAb_sd,eta_sd,thresh_Weight_sd,Group
NHP1,10.3421,0,0.961522,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1974.65,1e-05,1.45932,843.297,2.3,5.72847,0.000547042,12,266.118,4.5,10.0353,0,0.971801,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1896.19,1e-05,1.45874,853.153,2.3,5.92315,0.000548382,12,344.405,4.5,10.0353,0,0.956713,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1835.32,1e-05,1.45874,853.153,2.3,5.35443,0.000548382,12,169.866,4.5,0,0,0.294136,0,0,0,0,0,0,0,0,791.341,0,0,0,0,1.88258,0,0,500.468,0,CD40.PanCoV - Conv
NHP10,10.3421,0,1.56937,0,15519.4,-0.244631,0.001,3,3,20,1.6144,9.79872,1e-05,1.45932,843.297,2.3,16.4266,0.000547042,12,0.460648,4.5,10.0353,0,1.63458,0,15993.2,-0.231585,0.001,3,3,20,1.61821,10.0682,1e-05,1.45874,853.153,2.3,15.3209,0.000548382,12,0.435755,4.5,10.0353,0,1.61322,0,15993.2,-0.231585,0.001,3,3,20,1.61821,9.1854,1e-05,1.45874,853.153,2.3,15.6911,0.000548382,12,0.414221,4.5,0,0,0.295673,0,0,0,0,0,0,0,0,3.93726,0,0,0,0,4.04595,0,0,0.267207,0,CD40.RBDv - Naive
NHP11,10.3421,0,2.35581,0,15519.4,-0.244631,0.001,3,3,20,1.6144,830.123,1e-05,1.45932,843.297,2.3,4.3679,0.000547042,12,307.113,4.5,10.0353,0,2.2922,0,15993.2,-0.231585,0.001,3,3,20,1.61821,822.462,1e-05,1.45874,853.153,2.3,4.35404,0.000548382,12,264.304,4.5,10.0353,0,2.11118,0,15993.2,-0.231585,0.001,3,3,20,1.61821,762.38,1e-05,1.45874,853.153,2.3,4.19466,0.000548382,12,139.293,4.5,0,0,0.908773,0,0,0,0,0,0,0,0,299.647,0,0,0,0,1.1654,0,0,353.703,0,CD40.RBDv - Conv
NHP12,10.3421,0,1.9403,0,15519.4,-0.244631,0.001,3,3,20,1.6144,2048.36,1e-05,1.45932,843.297,2.3,3.13987,0.000547042,12,2022.24,4.5,10.0353,0,1.98213,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2127.95,1e-05,1.45874,853.153,2.3,3.02722,0.000548382,12,1793.57,4.5,10.0353,0,1.77826,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1928.82,1e-05,1.45874,853.153,2.3,2.97114,0.000548382,12,725.103,4.5,0,0,0.904033,0,0,0,0,0,0,0,0,813.194,0,0,0,0,0.913073,0,0,2961.82,0,mRNA - Conv
NHP13,10.3421,0,1.09213,0,15519.4,-0.244631,0.001,3,3,20,1.6144,0.828907,1e-05,1.45932,843.297,2.3,7.72953,0.000547042,12,1.77234,4.5,10.0353,0,1.09997,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.784716,1e-05,1.45874,853.153,2.3,7.6701,0.000548382,12,1.70028,4.5,10.0353,0,1.09568,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.742407,1e-05,1.45874,853.153,2.3,7.53141,0.000548382,12,1.11907,4.5,0,0,0.157658,0,0,0,0,0,0,0,0,0.303519,0,0,0,0,2.09079,0,0,2.3409,0,Naive
NHP14,10.3421,0,1.97846,0,15519.4,-0.244631,0.001,3,3,20,1.6144,2482.08,1e-05,1.45932,843.297,2.3,6.70222,0.000547042,12,1370.22,4.5,10.0353,0,1.89132,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2682.21,1e-05,1.45874,853.153,2.3,6.51568,0.000548382,12,994.572,4.5,10.0353,0,1.75016,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2437.15,1e-05,1.45874,853.153,2.3,6.39621,0.000548382,12,341.818,4.5,0,0,0.741793,0,0,0,0,0,0,0,0,1108.05,0,0,0,0,2.11288,0,0,1856.13,0,CD40.PanCoV - Conv
NHP15,10.3421,0,8.07942,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.27778,1e-05,1.45932,843.297,2.3,21.8234,0.000547042,12,5.42582,4.5,10.0353,0,8.1498,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.22928,1e-05,1.45874,853.153,2.3,22.114,0.000548382,12,4.342,4.5,10.0353,0,6.68838,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.20876,1e-05,1.45874,853.153,2.3,21.7606,0.000548382,12,4.69351,4.5,0,0,2.67898,0,0,0,0,0,0,0,0,0.454309,0,0,0,0,5.15283,0,0,3.82316,0,Conv
NHP16,10.3421,0,1.88064,0,15519.4,-0.244631,0.001,3,3,20,1.6144,978.696,1e-05,1.45932,843.297,2.3,2.78152,0.000547042,12,183.052,4.5,10.0353,0,1.88515,0,15993.2,-0.231585,0.001,3,3,20,1.61821,947.543,1e-05,1.45874,853.153,2.3,2.83099,0.000548382,12,198.517,4.5,10.0353,0,1.75967,0,15993.2,-0.231585,0.001,3,3,20,1.61821,864.667,1e-05,1.45874,853.153,2.3,2.74969,0.000548382,12,91.7755,4.5,0,0,0.66917,0,0,0,0,0,0,0,0,382.713,0,0,0,0,0.860518,0,0,341.005,0,CD40.PanCoV - Conv
NHP17,10.3421,0,2.49837,0,15519.4,-0.244631,0.001,3,3,20,1.6144,0.689311,1e-05,1.45932,843.297,2.3,6.47843,0.000547042,12,3.83049,4.5,10.0353,0,2.57645,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.692104,1e-05,1.45874,853.153,2.3,6.31796,0.000548382,12,3.75851,4.5,10.0353,0,2.17259,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.680248,1e-05,1.45874,853.153,2.3,6.14803,0.000548382,12,6.09388,4.5,0,0,0.58423,0,0,0,0,0,0,0,0,0.284766,0,0,0,0,1.66137,0,0,4.37405,0,Naive
NHP18,10.3421,0,2.70517,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.1199,1e-05,1.45932,843.297,2.3,54.1864,0.000547042,12,0.365037,4.5,10.0353,0,2.8069,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.10788,1e-05,1.45874,853.153,2.3,53.1884,0.000548382,12,0.368545,4.5,10.0353,0,2.74189,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.00306,1e-05,1.45874,853.153,2.3,52.2754,0.000548382,12,0.359277,4.5,0,0,0.492443,0,0,0,0,0,0,0,0,0.417583,0,0,0,0,13.6998,0,0,0.365689,0,Conv
