id,eta_betas_N_SAEM,eta_fact_beta_T_SAEM,eta_delta_N_SAEM,eta_fact_delta_T_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_mu_SAEM,eta_k_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_alpha_VLSG_SAEM,eta_S0_SAEM,eta_gamma_SAEM,eta_rho_SAEM,eta_Smax_SAEM,eta_tauS_SAEM,eta_theta_BAb_SAEM,eta_alpha_NAb_SAEM,eta_tauAb_SAEM,eta_eta_SAEM,eta_thresh_Weight_SAEM,eta_betas_N_mean,eta_fact_beta_T_mean,eta_delta_N_mean,eta_fact_delta_T_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_mu_mean,eta_k_mean,eta_c_mean,eta_cI_mean,eta_alpha_VLSG_mean,eta_S0_mean,eta_gamma_mean,eta_rho_mean,eta_Smax_mean,eta_tauS_mean,eta_theta_BAb_mean,eta_alpha_NAb_mean,eta_tauAb_mean,eta_eta_mean,eta_thresh_Weight_mean,eta_betas_N_mode,eta_fact_beta_T_mode,eta_delta_N_mode,eta_fact_delta_T_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_mu_mode,eta_k_mode,eta_c_mode,eta_cI_mode,eta_alpha_VLSG_mode,eta_S0_mode,eta_gamma_mode,eta_rho_mode,eta_Smax_mode,eta_tauS_mode,eta_theta_BAb_mode,eta_alpha_NAb_mode,eta_tauAb_mode,eta_eta_mode,eta_thresh_Weight_mode,eta_betas_N_sd,eta_fact_beta_T_sd,eta_delta_N_sd,eta_fact_delta_T_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_mu_sd,eta_k_sd,eta_c_sd,eta_cI_sd,eta_alpha_VLSG_sd,eta_S0_sd,eta_gamma_sd,eta_rho_sd,eta_Smax_sd,eta_tauS_sd,eta_theta_BAb_sd,eta_alpha_NAb_sd,eta_tauAb_sd,eta_eta_sd,eta_thresh_Weight_sd,Group
NHP1,0,0,-0.511406,0,0,0,0,0,0,0,0,0.328247,0,0,0,0,0.171126,0,0,0.363429,0,0,0,-0.516531,0,0,0,0,0,0,0,0,0.27896,0,0,0,0,0.21469,0,0,0.514872,0,0,0,-0.484689,0,0,0,0,0,0,0,0,0.328998,0,0,0,0,0.162189,0,0,0.426506,0,0,0,0.314277,0,0,0,0,0,0,0,0,0.407407,0,0,0,0,0.310679,0,0,1.08888,0,CD40.PanCoV - Conv
NHP10,0,0,0.00646102,0,0,0,0,0,0,0,0,-0.159131,0,0,0,0,-0.0463104,0,0,-0.751482,0,0,0,0.0348314,0,0,0,0,0,0,0,0,-0.179581,0,0,0,0,-0.107559,0,0,-0.811855,0,0,0,0.0377953,0,0,0,0,0,0,0,0,-0.198256,0,0,0,0,-0.0489142,0,0,-0.669959,0,0,0,0.179574,0,0,0,0,0,0,0,0,0.3851,0,0,0,0,0.265443,0,0,0.654442,0,CD40.RBDv - Naive
NHP11,0,0,0.34385,0,0,0,0,0,0,0,0,0.0454793,0,0,0,0,-0.108515,0,0,2.17936,0,0,0,0.314371,0,0,0,0,0,0,0,0,-0.000187937,0,0,0,0,-0.0795626,0,0,2.19732,0,0,0,0.306808,0,0,0,0,0,0,0,0,-0.00898192,0,0,0,0,-0.0819231,0,0,2.20185,0,0,0,0.389217,0,0,0,0,0,0,0,0,0.372322,0,0,0,0,0.265138,0,0,1.15282,0,CD40.RBDv - Conv
NHP12,0,0,0.155771,0,0,0,0,0,0,0,0,-0.267444,0,0,0,0,-0.440073,0,0,1.23281,0,0,0,0.151682,0,0,0,0,0,0,0,0,-0.247715,0,0,0,0,-0.452606,0,0,1.28423,0,0,0,0.135201,0,0,0,0,0,0,0,0,-0.281044,0,0,0,0,-0.42679,0,0,1.24992,0,0,0,0.424576,0,0,0,0,0,0,0,0,0.356314,0,0,0,0,0.299999,0,0,1.33526,0,mRNA - Conv
NHP13,0,0,-0.349662,0,0,0,0,0,0,0,0,-0.251221,0,0,0,0,0.477583,0,0,0.0119142,0,0,0,-0.355336,0,0,0,0,0,0,0,0,-0.313845,0,0,0,0,0.486162,0,0,-0.0779571,0,0,0,-0.349064,0,0,0,0,0,0,0,0,-0.297858,0,0,0,0,0.503348,0,0,0.323895,0,0,0,0.142679,0,0,0,0,0,0,0,0,0.37879,0,0,0,0,0.265364,0,0,1.40969,0,Naive
NHP14,0,0,0.176628,0,0,0,0,0,0,0,0,0.569513,0,0,0,0,0.324471,0,0,1.40561,0,0,0,0.124482,0,0,0,0,0,0,0,0,0.632116,0,0,0,0,0.307274,0,0,1.28351,0,0,0,0.119273,0,0,0,0,0,0,0,0,0.612607,0,0,0,0,0.339971,0,0,1.12578,0,0,0,0.381249,0,0,0,0,0,0,0,0,0.385764,0,0,0,0,0.321353,0,0,1.33937,0,CD40.PanCoV - Conv
NHP15,0,0,0.619704,0,0,0,0,0,0,0,0,0.203465,0,0,0,0,-0.343485,0,0,1.10529,0,0,0,0.622166,0,0,0,0,0,0,0,0,0.142747,0,0,0,0,-0.326813,0,0,1.16747,0,0,0,0.479386,0,0,0,0,0,0,0,0,0.189598,0,0,0,0,-0.315582,0,0,1.75758,0,0,0,0.335959,0,0,0,0,0,0,0,0,0.355756,0,0,0,0,0.235951,0,0,1.18599,0,Conv
NHP16,0,0,0.134472,0,0,0,0,0,0,0,0,-0.382252,0,0,0,0,-0.553656,0,0,-0.0925258,0,0,0,0.130866,0,0,0,0,0,0,0,0,-0.409189,0,0,0,0,-0.518772,0,0,-0.0792579,0,0,0,0.12469,0,0,0,0,0,0,0,0,-0.423634,0,0,0,0,-0.504245,0,0,-0.189158,0,0,0,0.358737,0,0,0,0,0,0,0,0,0.394327,0,0,0,0,0.29473,0,0,1.10827,0,CD40.PanCoV - Conv
NHP17,0,0,0.458604,0,0,0,0,0,0,0,0,-0.438568,0,0,0,0,0.298949,0,0,0.949645,0,0,0,0.478756,0,0,0,0,0,0,0,0,-0.445032,0,0,0,0,0.295241,0,0,0.892768,0,0,0,0.335482,0,0,0,0,0,0,0,0,-0.385297,0,0,0,0,0.300397,0,0,2.01868,0,0,0,0.237687,0,0,0,0,0,0,0,0,0.391232,0,0,0,0,0.253006,0,0,1.24201,0,Naive
NHP18,0,0,-0.4192,0,0,0,0,0,0,0,0,0.0498501,0,0,0,0,0.562046,0,0,-1.10607,0,0,0,-0.403931,0,0,0,0,0,0,0,0,0.0386305,0,0,0,0,0.546785,0,0,-1.15791,0,0,0,-0.412337,0,0,0,0,0,0,0,0,0.00305923,0,0,0,0,0.560841,0,0,-0.812266,0,0,0,0.172879,0,0,0,0,0,0,0,0,0.352858,0,0,0,0,0.248382,0,0,0.862776,0,Conv
