rep,id,betas_N,fact_beta_T,delta_N,fact_delta_T,P_N,fact_P_T,mu,k,c,cI,alpha_VLSG,S0,gamma,rho,Smax,tauS,theta_BAb,alpha_NAb,tauAb,eta,thresh_Weight,Group
1,NHP1,10.0353,0,0.723946,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2904.29,1e-05,1.45874,853.153,2.3,5.3506,0.000548382,12,46.7192,4.5,CD40.PanCoV - Conv
2,NHP1,10.0353,0,1.63736,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1428.67,1e-05,1.45874,853.153,2.3,4.87653,0.000548382,12,97.5529,4.5,CD40.PanCoV - Conv
3,NHP1,10.0353,0,0.753166,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1688.05,1e-05,1.45874,853.153,2.3,8.34671,0.000548382,12,123.051,4.5,CD40.PanCoV - Conv
4,NHP1,10.0353,0,0.989288,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1099.77,1e-05,1.45874,853.153,2.3,4.59012,0.000548382,12,332.147,4.5,CD40.PanCoV - Conv
5,NHP1,10.0353,0,1.24003,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2423.73,1e-05,1.45874,853.153,2.3,5.13705,0.000548382,12,88.043,4.5,CD40.PanCoV - Conv
6,NHP1,10.0353,0,0.646761,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1166.61,1e-05,1.45874,853.153,2.3,5.71453,0.000548382,12,312.397,4.5,CD40.PanCoV - Conv
7,NHP1,10.0353,0,0.891843,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1410.38,1e-05,1.45874,853.153,2.3,7.23272,0.000548382,12,206.458,4.5,CD40.PanCoV - Conv
8,NHP1,10.0353,0,1.42681,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1033.42,1e-05,1.45874,853.153,2.3,6.48689,0.000548382,12,43.2621,4.5,CD40.PanCoV - Conv
9,NHP1,10.0353,0,1.0206,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1695.33,1e-05,1.45874,853.153,2.3,4.75847,0.000548382,12,288.17,4.5,CD40.PanCoV - Conv
10,NHP1,10.0353,0,1.13075,0,15993.2,-0.231585,0.001,3,3,20,1.61821,793.268,1e-05,1.45874,853.153,2.3,7.18124,0.000548382,12,665.35,4.5,CD40.PanCoV - Conv
1,NHP10,10.0353,0,2.25413,0,15993.2,-0.231585,0.001,3,3,20,1.61821,10.5182,1e-05,1.45874,853.153,2.3,16.23,0.000548382,12,0.153547,4.5,CD40.RBDv - Naive
2,NHP10,10.0353,0,2.02846,0,15993.2,-0.231585,0.001,3,3,20,1.61821,7.78931,1e-05,1.45874,853.153,2.3,18.2526,0.000548382,12,0.406865,4.5,CD40.RBDv - Naive
3,NHP10,10.0353,0,1.10256,0,15993.2,-0.231585,0.001,3,3,20,1.61821,14.8595,1e-05,1.45874,853.153,2.3,11.1428,0.000548382,12,0.42974,4.5,CD40.RBDv - Naive
4,NHP10,10.0353,0,1.78871,0,15993.2,-0.231585,0.001,3,3,20,1.61821,5.77699,1e-05,1.45874,853.153,2.3,21.8576,0.000548382,12,0.751491,4.5,CD40.RBDv - Naive
5,NHP10,10.0353,0,1.51385,0,15993.2,-0.231585,0.001,3,3,20,1.61821,11.143,1e-05,1.45874,853.153,2.3,18.0407,0.000548382,12,0.262582,4.5,CD40.RBDv - Naive
6,NHP10,10.0353,0,1.46889,0,15993.2,-0.231585,0.001,3,3,20,1.61821,11.8161,1e-05,1.45874,853.153,2.3,13.3623,0.000548382,12,0.252472,4.5,CD40.RBDv - Naive
7,NHP10,10.0353,0,1.68204,0,15993.2,-0.231585,0.001,3,3,20,1.61821,13.5326,1e-05,1.45874,853.153,2.3,12.466,0.000548382,12,0.333677,4.5,CD40.RBDv - Naive
8,NHP10,10.0353,0,1.99699,0,15993.2,-0.231585,0.001,3,3,20,1.61821,13.921,1e-05,1.45874,853.153,2.3,17.3098,0.000548382,12,0.202771,4.5,CD40.RBDv - Naive
9,NHP10,10.0353,0,2.13633,0,15993.2,-0.231585,0.001,3,3,20,1.61821,12.8538,1e-05,1.45874,853.153,2.3,11.7793,0.000548382,12,0.508095,4.5,CD40.RBDv - Naive
10,NHP10,10.0353,0,1.61677,0,15993.2,-0.231585,0.001,3,3,20,1.61821,11.3754,1e-05,1.45874,853.153,2.3,14.942,0.000548382,12,0.487152,4.5,CD40.RBDv - Naive
1,NHP11,10.0353,0,1.43052,0,15993.2,-0.231585,0.001,3,3,20,1.61821,980.044,1e-05,1.45874,853.153,2.3,3.35375,0.000548382,12,176.185,4.5,CD40.RBDv - Conv
2,NHP11,10.0353,0,1.61873,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1020.58,1e-05,1.45874,853.153,2.3,3.37232,0.000548382,12,113.069,4.5,CD40.RBDv - Conv
3,NHP11,10.0353,0,2.18698,0,15993.2,-0.231585,0.001,3,3,20,1.61821,773.545,1e-05,1.45874,853.153,2.3,5.9711,0.000548382,12,49.2424,4.5,CD40.RBDv - Conv
4,NHP11,10.0353,0,1.41735,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1036.73,1e-05,1.45874,853.153,2.3,4.11453,0.000548382,12,111.152,4.5,CD40.RBDv - Conv
5,NHP11,10.0353,0,2.16114,0,15993.2,-0.231585,0.001,3,3,20,1.61821,785.166,1e-05,1.45874,853.153,2.3,2.9965,0.000548382,12,142.848,4.5,CD40.RBDv - Conv
6,NHP11,10.0353,0,1.44014,0,15993.2,-0.231585,0.001,3,3,20,1.61821,524.07,1e-05,1.45874,853.153,2.3,5.27222,0.000548382,12,289.466,4.5,CD40.RBDv - Conv
7,NHP11,10.0353,0,2.79736,0,15993.2,-0.231585,0.001,3,3,20,1.61821,549.697,1e-05,1.45874,853.153,2.3,4.68587,0.000548382,12,355.777,4.5,CD40.RBDv - Conv
8,NHP11,10.0353,0,2.0691,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1415.52,1e-05,1.45874,853.153,2.3,3.10061,0.000548382,12,183.085,4.5,CD40.RBDv - Conv
9,NHP11,10.0353,0,2.21035,0,15993.2,-0.231585,0.001,3,3,20,1.61821,763.784,1e-05,1.45874,853.153,2.3,5.06109,0.000548382,12,81.8804,4.5,CD40.RBDv - Conv
10,NHP11,10.0353,0,1.7975,0,15993.2,-0.231585,0.001,3,3,20,1.61821,776.593,1e-05,1.45874,853.153,2.3,4.21081,0.000548382,12,59.3129,4.5,CD40.RBDv - Conv
1,NHP12,10.0353,0,1.93605,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2768.51,1e-05,1.45874,853.153,2.3,1.86759,0.000548382,12,1464.18,4.5,mRNA - Conv
2,NHP12,10.0353,0,1.72885,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3094.54,1e-05,1.45874,853.153,2.3,2.24384,0.000548382,12,244.844,4.5,mRNA - Conv
3,NHP12,10.0353,0,1.47818,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1551.27,1e-05,1.45874,853.153,2.3,2.84463,0.000548382,12,278.637,4.5,mRNA - Conv
4,NHP12,10.0353,0,1.24118,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2849.07,1e-05,1.45874,853.153,2.3,1.61063,0.000548382,12,8849.25,4.5,mRNA - Conv
5,NHP12,10.0353,0,1.50837,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2192.19,1e-05,1.45874,853.153,2.3,1.43139,0.000548382,12,380.986,4.5,mRNA - Conv
6,NHP12,10.0353,0,1.31634,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1933.89,1e-05,1.45874,853.153,2.3,3.10151,0.000548382,12,1501.33,4.5,mRNA - Conv
7,NHP12,10.0353,0,2.27064,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2720.15,1e-05,1.45874,853.153,2.3,3.32946,0.000548382,12,520.59,4.5,mRNA - Conv
8,NHP12,10.0353,0,1.81854,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1823.82,1e-05,1.45874,853.153,2.3,3.15521,0.000548382,12,1531.87,4.5,mRNA - Conv
9,NHP12,10.0353,0,2.02536,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1584.7,1e-05,1.45874,853.153,2.3,2.74736,0.000548382,12,458.732,4.5,mRNA - Conv
10,NHP12,10.0353,0,2.54453,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1467.5,1e-05,1.45874,853.153,2.3,3.54536,0.000548382,12,6961.53,4.5,mRNA - Conv
1,NHP13,10.0353,0,1.39294,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.94591,1e-05,1.45874,853.153,2.3,6.34221,0.000548382,12,0.785959,4.5,Naive
2,NHP13,10.0353,0,1.05647,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.397687,1e-05,1.45874,853.153,2.3,9.85372,0.000548382,12,0.494035,4.5,Naive
3,NHP13,10.0353,0,0.975114,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.475862,1e-05,1.45874,853.153,2.3,7.03332,0.000548382,12,0.719638,4.5,Naive
4,NHP13,10.0353,0,0.966855,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.672594,1e-05,1.45874,853.153,2.3,8.441,0.000548382,12,0.869237,4.5,Naive
5,NHP13,10.0353,0,1.30111,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.11719,1e-05,1.45874,853.153,2.3,5.67712,0.000548382,12,1.82923,4.5,Naive
6,NHP13,10.0353,0,1.10613,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.0942,1e-05,1.45874,853.153,2.3,6.97428,0.000548382,12,0.295933,4.5,Naive
7,NHP13,10.0353,0,1.03655,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.42891,1e-05,1.45874,853.153,2.3,4.87092,0.000548382,12,0.0904673,4.5,Naive
8,NHP13,10.0353,0,1.04026,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.637441,1e-05,1.45874,853.153,2.3,10.3531,0.000548382,12,0.315491,4.5,Naive
9,NHP13,10.0353,0,1.35416,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.604593,1e-05,1.45874,853.153,2.3,11.0602,0.000548382,12,4.63857,4.5,Naive
10,NHP13,10.0353,0,1.25762,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.843406,1e-05,1.45874,853.153,2.3,12.3094,0.000548382,12,1.35444,4.5,Naive
1,NHP14,10.0353,0,2.70496,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1790.85,1e-05,1.45874,853.153,2.3,7.95343,0.000548382,12,133.867,4.5,CD40.PanCoV - Conv
2,NHP14,10.0353,0,1.22766,0,15993.2,-0.231585,0.001,3,3,20,1.61821,5616.02,1e-05,1.45874,853.153,2.3,5.73854,0.000548382,12,664.57,4.5,CD40.PanCoV - Conv
3,NHP14,10.0353,0,2.90503,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2532.34,1e-05,1.45874,853.153,2.3,5.2275,0.000548382,12,838.799,4.5,CD40.PanCoV - Conv
4,NHP14,10.0353,0,2.69672,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1776.46,1e-05,1.45874,853.153,2.3,10.1536,0.000548382,12,218.458,4.5,CD40.PanCoV - Conv
5,NHP14,10.0353,0,2.12015,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1840.56,1e-05,1.45874,853.153,2.3,9.09467,0.000548382,12,45.0682,4.5,CD40.PanCoV - Conv
6,NHP14,10.0353,0,1.67581,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2210.16,1e-05,1.45874,853.153,2.3,4.99081,0.000548382,12,1610.32,4.5,CD40.PanCoV - Conv
7,NHP14,10.0353,0,2.02957,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2633.35,1e-05,1.45874,853.153,2.3,7.2042,0.000548382,12,294.18,4.5,CD40.PanCoV - Conv
8,NHP14,10.0353,0,1.24554,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3444.79,1e-05,1.45874,853.153,2.3,4.37771,0.000548382,12,434.849,4.5,CD40.PanCoV - Conv
9,NHP14,10.0353,0,3.54484,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1689.23,1e-05,1.45874,853.153,2.3,5.91826,0.000548382,12,1200.09,4.5,CD40.PanCoV - Conv
10,NHP14,10.0353,0,1.83904,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2351.04,1e-05,1.45874,853.153,2.3,6.19354,0.000548382,12,136.297,4.5,CD40.PanCoV - Conv
1,NHP15,10.0353,0,5.8455,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.635033,1e-05,1.45874,853.153,2.3,28.099,0.000548382,12,9.13676,4.5,Conv
2,NHP15,10.0353,0,6.68067,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.75838,1e-05,1.45874,853.153,2.3,15.3813,0.000548382,12,4.54418,4.5,Conv
3,NHP15,10.0353,0,6.62767,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.07735,1e-05,1.45874,853.153,2.3,17.8017,0.000548382,12,2.40242,4.5,Conv
4,NHP15,10.0353,0,6.52715,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.54585,1e-05,1.45874,853.153,2.3,21.6859,0.000548382,12,4.59482,4.5,Conv
5,NHP15,10.0353,0,10.3862,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.60652,1e-05,1.45874,853.153,2.3,17.9808,0.000548382,12,0.964919,4.5,Conv
6,NHP15,10.0353,0,4.6966,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.00966,1e-05,1.45874,853.153,2.3,20.7357,0.000548382,12,11.0127,4.5,Conv
7,NHP15,10.0353,0,6.9329,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.981296,1e-05,1.45874,853.153,2.3,16.7661,0.000548382,12,8.6897,4.5,Conv
8,NHP15,10.0353,0,9.84783,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.44447,1e-05,1.45874,853.153,2.3,16.3193,0.000548382,12,0.500095,4.5,Conv
