rep,id,eta_betas_N,eta_fact_beta_T,eta_delta_N,eta_fact_delta_T,eta_P_N,eta_fact_P_T,eta_mu,eta_k,eta_c,eta_cI,eta_alpha_VLSG,eta_S0,eta_gamma,eta_rho,eta_Smax,eta_tauS,eta_theta_BAb,eta_alpha_NAb,eta_tauAb,eta_eta,eta_thresh_Weight,Group
1,NHP1,0,0,-0.763475,0,0,0,0,0,0,0,0,0.787967,0,0,0,0,0.161474,0,0,-0.864349,0,CD40.PanCoV - Conv
2,NHP1,0,0,0.052648,0,0,0,0,0,0,0,0,0.078523,0,0,0,0,0.0686986,0,0,-0.128109,0,CD40.PanCoV - Conv
3,NHP1,0,0,-0.723907,0,0,0,0,0,0,0,0,0.245349,0,0,0,0,0.606132,0,0,0.1041,0,CD40.PanCoV - Conv
4,NHP1,0,0,-0.451207,0,0,0,0,0,0,0,0,-0.183119,0,0,0,0,0.00817042,0,0,1.09707,0,CD40.PanCoV - Conv
5,NHP1,0,0,-0.225298,0,0,0,0,0,0,0,0,0.607086,0,0,0,0,0.120744,0,0,-0.230677,0,CD40.PanCoV - Conv
6,NHP1,0,0,-0.876215,0,0,0,0,0,0,0,0,-0.124123,0,0,0,0,0.227277,0,0,1.03577,0,CD40.PanCoV - Conv
7,NHP1,0,0,-0.554902,0,0,0,0,0,0,0,0,0.0656396,0,0,0,0,0.462881,0,0,0.621593,0,CD40.PanCoV - Conv
8,NHP1,0,0,-0.0849956,0,0,0,0,0,0,0,0,-0.245352,0,0,0,0,0.354048,0,0,-0.941227,0,CD40.PanCoV - Conv
9,NHP1,0,0,-0.420043,0,0,0,0,0,0,0,0,0.249652,0,0,0,0,0.0441919,0,0,0.955048,0,CD40.PanCoV - Conv
10,NHP1,0,0,-0.317555,0,0,0,0,0,0,0,0,-0.509817,0,0,0,0,0.455737,0,0,1.79181,0,CD40.PanCoV - Conv
1,NHP10,0,0,0.372329,0,0,0,0,0,0,0,0,-0.062767,0,0,0,0,-0.0151466,0,0,-1.66235,0,CD40.RBDv - Naive
2,NHP10,0,0,0.266838,0,0,0,0,0,0,0,0,-0.363119,0,0,0,0,0.102301,0,0,-0.687878,0,CD40.RBDv - Naive
3,NHP10,0,0,-0.342805,0,0,0,0,0,0,0,0,0.282768,0,0,0,0,-0.391211,0,0,-0.633178,0,CD40.RBDv - Naive
4,NHP10,0,0,0.141056,0,0,0,0,0,0,0,0,-0.661989,0,0,0,0,0.282543,0,0,-0.0742998,0,CD40.RBDv - Naive
5,NHP10,0,0,-0.0257785,0,0,0,0,0,0,0,0,-0.0050585,0,0,0,0,0.0906221,0,0,-1.12579,0,CD40.RBDv - Naive
6,NHP10,0,0,-0.0559285,0,0,0,0,0,0,0,0,0.0535897,0,0,0,0,-0.209571,0,0,-1.16506,0,CD40.RBDv - Naive
7,NHP10,0,0,0.0795702,0,0,0,0,0,0,0,0,0.189232,0,0,0,0,-0.279001,0,0,-0.886185,0,CD40.RBDv - Naive
8,NHP10,0,0,0.251205,0,0,0,0,0,0,0,0,0.21753,0,0,0,0,0.0492671,0,0,-1.38428,0,CD40.RBDv - Naive
9,NHP10,0,0,0.318654,0,0,0,0,0,0,0,0,0.137766,0,0,0,0,-0.335661,0,0,-0.46569,0,CD40.RBDv - Naive
10,NHP10,0,0,0.0399921,0,0,0,0,0,0,0,0,0.0155826,0,0,0,0,-0.0978326,0,0,-0.507783,0,CD40.RBDv - Naive
1,NHP11,0,0,-0.0823972,0,0,0,0,0,0,0,0,0.24217,0,0,0,0,-0.305655,0,0,2.43681,0,CD40.RBDv - Conv
2,NHP11,0,0,0.0412068,0,0,0,0,0,0,0,0,0.282696,0,0,0,0,-0.300135,0,0,1.99327,0,CD40.RBDv - Conv
3,NHP11,0,0,0.342086,0,0,0,0,0,0,0,0,0.00555618,0,0,0,0,0.271197,0,0,1.16203,0,CD40.RBDv - Conv
