id,importanceSampling
NHP1,20.181830
NHP10,85.435693
NHP11,15.510767
NHP12,8.190536
NHP13,104.881739
NHP14,10.737471
NHP15,59.886785
NHP16,21.439662
NHP17,84.801654
NHP18,83.370710
NHP19,105.116472
NHP2,103.419662
NHP20,48.807657
NHP21,25.017094
NHP22,22.054008
NHP23,29.358456
NHP24,109.611160
NHP25,99.256338
NHP26,91.113811
NHP27,19.192862
NHP28,76.217735
NHP29,24.364620
NHP3,94.646422
NHP30,38.822633
NHP31,83.026727
NHP32,20.857696
NHP33,84.229398
NHP34,85.064257
NHP4,20.400287
NHP5,82.237450
NHP6,98.483088
NHP7,11.804119
NHP8,5.513595
NHP9,109.240750
