parameter,value,CV,se_sa,rse_sa
betas_N_pop,10.0353216356558,,1.27769164649759,12.7319451521904
fact_beta_T_pop,0,,,
delta_N_pop,1.55338594756205,,0.21490595049019,13.8346784215136
beta_delta_N_Conv_1,0.980547776741017,,0.299455787917662,30.539642740606
fact_delta_T_pop,0,,,
P_N_pop,15993.2342109952,,2549.63171294151,15.941939443297
fact_P_T_pop,-0.231585146779021,,0.0103656810945769,4.47596974104211
mu_pop,0.001,,,
k_pop,3,,,
c_pop,3,,,
cI_pop,20,,,
alpha_VLSG_pop,1.61821188506194,,0.0411247760478269,2.54137152417792
S0_pop,1,,,
beta_S0_GroupEffect_CD40RBDv,2.41587152438892,,0.880615433042908,36.4512526495239
beta_S0_GroupEffect_Conv,0,,,
beta_S0_GroupEffect_CD40RBDvConv,6.64542763851549,,0.679662323875785,10.2275182403102
beta_S0_GroupEffect_mRNAConv,7.84570585797007,,0.687579661690819,8.76377057893829
beta_S0_GroupEffect_PanCoVConv,7.185977905897,,0.78342432459137,10.9021254288644
gamma_pop,1e-05,,,
rho_pop,1.45874202976259,,0.0501130983928969,3.43536398968726
beta_rho_Convalescence_1,-4.1150428292826e-08,,0.0735464678635896,178725886.739826
Smax_pop,853.153084638429,,526.33755237284,61.6932133107044
tauS_pop,2.3,,,
theta_BAb_pop,4.55276662778933,,2.92093380178073,64.1573364193948
beta_theta_BAb_CD40RBDvNaive_1,1.2862730878829,,0.329499122063857,25.6165759174971
beta_theta_BAb_Conv_1,1.87994977885347,,0.328439630566194,17.4706598155245
alpha_NAb_pop,0.000548382451702393,,6.06535259327353e-05,11.0604425332071
tauAb_pop,12,,,
eta_pop,0.809453231879167,,0.530505956445095,65.5388026820909
beta_eta_ConvXVacc_CD40,2.946123587962,,1.05453528944945,35.7939936314395
beta_eta_ConvXVacc_PanCov,4.91989938539374,,1.19657419870671,24.3211111645722
beta_eta_ConvXVacc_mRNA,5.54779334325348,,1.17729928169032,21.2210370655208
thresh_Weight_pop,4.5,,,
omega_delta_N,0.439036852139987,46.1067979811978,0.120441089914654,27.4330251156801
omega_S0,0.49411376509564,52.5864783433309,0.160950053906798,32.573481104224
omega_theta_BAb,0.401353429801686,41.8072150133524,0.096514387369364,24.0472312438075
omega_eta,1.62782627936273,362.649533925933,0.349143097644538,21.448424937655
a1,1.19198539793765,,0.0857304478970792,7.19223977453148
a2,1.39530542797114,,0.121012040015328,8.67279934482061
a3,1.30470018247838,,0.0797479752444864,6.11236024302526
a4,1.17840439035621,,0.10671403982112,9.05580806507877
a5,0.368554213557887,,0.024768556889047,6.72046498938119
a6,0.350367645188316,,0.0278690676881694,7.95423552114531
