id,time,epsilon_mean,S_mean,BAb_mean,NAb_mean,epsilon_mode,S_mode,BAb_mode,NAb_mode,epsilon_popPred,S_popPred,BAb_popPred,NAb_popPred,epsilon_popPred_medianCOV,S_popPred_medianCOV,BAb_popPred_medianCOV,NAb_popPred_medianCOV,epsilon_SAEM,S_SAEM,BAb_SAEM,NAb_SAEM
NHP1,0,0.999973,853.153,194442,106.629,0.999937,853.153,170130,93.2964,0.999842,853.153,104103,57.0881,0.0338043,1,78.819,0.043223,0.999965,843.297,195832,107.128
NHP1,1,0.999972,724.489,188040,103.118,0.999935,724.485,164656,90.2947,0.999838,724.487,101702,55.7718,0.0353978,3.1357,82.671,0.0453353,0.999964,716.144,189159,103.478
NHP1,2,0.999971,691.167,181540,99.5531,0.999933,691.166,159079,87.2362,0.999834,691.167,99109.8,54.3501,0.0442043,9.87769,104.189,0.0571357,0.999962,683.23,182417,99.7898
NHP1,3,0.99997,681.318,175294,96.1284,0.99993,681.317,153716,84.295,0.99983,681.318,96578.6,52.962,0.0739339,30.4583,179.856,0.0986301,0.999961,673.507,175949,96.2517
NHP1,4,0.999969,678.28,169367,92.8777,0.999928,678.28,148624,81.5026,0.999825,678.28,94164,51.6379,0.155005,88.2444,413.253,0.226621,0.99996,670.509,169813,92.8948
NHP1,5,0.999968,677.33,163761,89.8038,0.999925,677.33,143808,78.8617,0.999821,677.33,91877,50.3837,0.315926,218.589,1040.42,0.570546,0.999958,669.573,164011,89.7209
NHP1,7,0.999966,676.939,153469,84.1599,0.99992,676.939,134966,74.0128,0.999812,676.939,87675.3,48.0796,0.661784,560.748,4408.05,2.4173,0.999955,669.187,153359,83.8939
NHP1,9,0.999963,676.9,144299,79.1309,0.999916,676.9,127087,69.6921,0.999804,676.9,83930.8,46.0262,0.805563,663.323,9333.54,5.11835,0.999952,669.149,143868,78.7017
NHP1,14,0.999958,676.896,125514,68.8294,0.999903,676.896,110947,60.8415,0.999784,676.896,76260.3,41.8198,0.900256,676.854,20333.1,11.1503,0.999945,669.145,124426,68.066
NHP1,23,0.999948,676.896,102770,56.3572,0.999883,676.896,91406.9,50.126,0.999755,676.896,66973.6,36.7271,0.937373,676.896,33718.9,18.4908,0.999932,669.145,100886,55.1891
NHP10,0,0.389553,10.0682,2670.5,1.46446,0.361753,9.1854,2495.21,1.36833,0.586464,11.1995,3194.86,1.75201,0.0338043,1,78.819,0.043223,0.412526,9.79872,2786.59,1.52438
NHP10,1,0.400615,30.6861,2797.02,1.53384,0.37254,28.0723,2613.79,1.43336,0.5976,34.0132,3345.62,1.83468,0.0353978,3.1357,82.671,0.0453353,0.423802,29.8956,2918.78,1.5967
NHP10,2,0.452973,88.8443,3465.27,1.9003,0.424204,81.9044,3243.32,1.77858,0.647422,97.5252,4136.73,2.26851,0.0442043,9.8777,104.189,0.0571357,0.476895,86.712,3617.8,1.97909
NHP10,3,0.56667,219.744,5472.5,3.00102,0.539582,206.164,5159.29,2.82926,0.741869,236.08,6474.59,3.55055,0.0739339,30.4584,179.857,0.0986302,0.590514,215.162,5722.7,3.13056
NHP10,4,0.701637,409.277,9841.05,5.39666,0.681662,394.081,9426.82,5.1695,0.835285,426.555,11424.2,6.26485,0.155005,88.2445,413.253,0.226621,0.722296,402.422,10321.5,5.64631
NHP10,5,0.798887,561.497,16623.4,9.11597,0.786523,552.313,16219.7,8.89461,0.893463,571.477,18893,10.3606,0.315926,218.589,1040.42,0.570546,0.815055,553.835,17488.6,9.56701
NHP10,7,0.887499,663.427,33013.2,18.1039,0.882201,662.141,32969.5,18.0799,0.94194,664.782,36548.9,20.0428,0.661784,560.748,4408.05,2.4173,0.897791,655.675,34857.5,19.0685
NHP10,9,0.921093,675.541,48849.5,26.7882,0.91797,675.41,49265.4,27.0163,0.959581,675.68,53483.5,29.3294,0.805564,663.323,9333.55,5.11835,0.928657,667.792,51655,28.2574
NHP10,10,0.930667,676.47,56172.8,30.8042,0.928078,676.428,56807.3,31.1521,0.964557,676.514,61307.9,33.6202,0.83933,672.571,11768.5,6.45364,0.9374,668.719,59423.4,32.5071
NHP10,13,0.947678,676.883,75796.3,41.5654,0.945932,676.882,77019.4,42.2361,0.973347,676.884,82271.3,45.1161,0.890762,676.761,18370.1,10.0738,0.952875,669.132,80240.2,43.8948
NHP10,14,0.951228,676.892,81618.9,44.7584,0.949641,676.892,83016.8,45.525,0.975174,676.893,88491.3,48.5271,0.900256,676.854,20333.1,11.1503,0.956095,669.141,86416.9,47.2737
NHP10,22,0.965709,676.896,117854,64.629,0.964708,676.896,120340,65.9922,0.982597,676.896,127199,69.7539,0.935272,676.896,32551.4,17.8506,0.969195,669.145,124855,68.3012
NHP10,23,0.966655,676.896,121316,66.5276,0.965689,676.896,123906,67.9478,0.983081,676.896,130898,71.7821,0.937373,676.896,33718.9,18.4908,0.970049,669.145,128528,70.3103
NHP10,29,0.970644,676.896,138370,75.8796,0.969821,676.896,141471,77.5805,0.985117,676.896,149115,81.7723,0.946005,676.896,39469.4,21.6443,0.973647,669.145,146619,80.2067
NHP11,0,0.999889,822.462,61996,33.9975,0.999764,762.38,55363.6,30.3604,0.998052,769.259,60632.3,33.2497,0.0338043,1,78.819,0.043223,0.999905,830.123,62772.7,34.3393
NHP11,1,0.999888,717.261,61722.9,33.8477,0.999763,701.922,55214.4,30.2786,0.998046,703.767,60456.6,33.1534,0.0353978,3.1357,82.671,0.0453353,0.999905,713.092,62466.7,34.1719
NHP11,2,0.999887,689.085,61221,33.5725,0.999762,684.568,54933.7,30.1247,0.998035,685.118,60127,32.9726,0.0442043,9.8777,104.189,0.0571357,0.999904,682.355,61908.1,33.8663
NHP11,3,0.999886,680.681,60678.8,33.2752,0.99976,679.289,54627.8,29.9569,0.998023,679.459,59768.1,32.7758,0.0739339,30.4584,179.857,0.0986302,0.999903,673.239,61306.2,33.5371
NHP11,4,0.999885,678.081,60146.3,32.9832,0.999759,677.646,54326.4,29.7916,0.998012,677.7,59414.7,32.582,0.155005,88.2445,413.253,0.226621,0.999902,670.426,60715.5,33.214
NHP11,5,0.999884,677.268,59637.2,32.704,0.999758,677.132,54038,29.6335,0.998,677.149,59076.5,32.3965,0.315926,218.589,1040.42,0.570546,0.999901,669.547,60151,32.9051
NHP11,7,0.999882,676.933,58698.6,32.1893,0.999755,676.919,53506.1,29.3418,0.997979,676.921,58452.8,32.0545,0.661784,560.748,4408.05,2.4173,0.999899,669.185,59110.2,32.3358
NHP11,9,0.999881,676.9,57861.4,31.7302,0.999753,676.898,53031.5,29.0815,0.99796,676.899,57896.4,31.7494,0.805564,663.323,9333.55,5.11835,0.999898,669.149,58181.8,31.8279
NHP11,10,0.99988,676.897,57477.6,31.5197,0.999752,676.897,52814,28.9623,0.997951,676.897,57641.4,31.6095,0.83933,672.571,11768.5,6.45364,0.999897,669.146,57756.3,31.5951
NHP11,13,0.999878,676.896,56450.7,30.9566,0.999749,676.896,52231.9,28.6431,0.997926,676.896,56959,31.2353,0.890762,676.761,18370.1,10.0738,0.999895,669.145,56617.7,30.9722
