id,betas_N_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,betas_N_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,betas_N_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,betas_N_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,Group
NHP1,0.00303089,0,0,1.03464,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0031908,0,0,1.06038,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00306781,0,0,1.1005,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00058823,0,0,0.303751,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP10,13.2969,0,0,1.58871,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.3595,0,0,1.55007,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,13.7591,0,0,1.11473,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.2282,0,0,0.677262,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP11,0.0721829,0,0,13.6527,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0708778,0,0,13.6597,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.070938,0,0,9.15086,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0119636,0,0,11.4751,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP12,0.000285876,0,0,4.40537,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000276186,0,0,4.11164,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000273086,0,0,2.77813,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,5.24618e-05,0,0,3.1877,0,0,0,0,0,0,0,0,mRNA - Conv
NHP13,14.3506,0,0,0.990012,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.7936,0,0,0.97353,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.1438,0,0,0.979154,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.19545,0,0,0.162788,0,0,0,0,0,0,0,0,Naive
NHP14,0.00319721,0,0,6.41735,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.00323243,0,0,6.75484,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00311751,0,0,4.37837,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000535295,0,0,6.07957,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP15,14.9134,0,0,13.8306,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.8261,0,0,14.0042,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.8878,0,0,13.3375,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.50507,0,0,2.32242,0,0,0,0,0,0,0,0,Conv
NHP16,0.00334518,0,0,2.16188,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.00332784,0,0,2.20635,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00322807,0,0,1.80603,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000563182,0,0,1.11054,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP17,14.4902,0,0,2.53982,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.7272,0,0,2.49248,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.5043,0,0,2.76681,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,1.61466,0,0,0.665686,0,0,0,0,0,0,0,0,Naive
NHP18,15.8014,0,0,2.20288,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,16.2107,0,0,2.22308,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,15.657,0,0,2.3082,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,1.67788,0,0,0.552973,0,0,0,0,0,0,0,0,Conv
NHP19,14.2865,0,0,0.8021,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.5262,0,0,0.813983,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,13.9804,0,0,0.802542,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.66978,0,0,0.112703,0,0,0,0,0,0,0,0,Naive
NHP2,14.3362,0,0,1.0633,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.3241,0,0,1.0818,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.2723,0,0,1.01886,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.23396,0,0,0.186247,0,0,0,0,0,0,0,0,Naive
NHP20,0.0766652,0,0,1.15441,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.075417,0,0,1.12502,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0762096,0,0,1.13789,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0127156,0,0,0.254152,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP21,0.0741299,0,0,4.85703,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0747829,0,0,5.01037,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0734578,0,0,3.87079,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.013895,0,0,2.36183,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP22,0.0725645,0,0,11.4563,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0722316,0,0,11.884,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0709712,0,0,9.00051,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0148427,0,0,7.47085,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP23,0.000289019,0,0,0.889553,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000289671,0,0,0.881996,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000284178,0,0,0.885556,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,4.58579e-05,0,0,0.399041,0,0,0,0,0,0,0,0,mRNA - Conv
NHP24,13.2273,0,0,7.56154,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,12.4921,0,0,7.424,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,12.9721,0,0,7.59723,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.078,0,0,0.568644,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP25,14.1047,0,0,1.04642,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,14.4903,0,0,1.06603,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.7296,0,0,0.978283,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.50668,0,0,0.23216,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP26,18.5852,0,0,3.94973,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,18.6658,0,0,3.36636,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,18.7205,0,0,3.04403,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.46191,0,0,1.61513,0,0,0,0,0,0,0,0,Conv
NHP27,0.00323704,0,0,2.86542,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.00321703,0,0,2.8578,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00314988,0,0,2.28927,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000599133,0,0,1.79318,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP28,12.7641,0,0,2.87479,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.0341,0,0,2.94997,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,12.8055,0,0,3.18218,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,1.52032,0,0,0.723785,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP29,0.000280469,0,0,0.53478,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000283287,0,0,0.546959,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000277874,0,0,0.541133,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,5.52093e-05,0,0,0.232831,0,0,0,0,0,0,0,0,mRNA - Conv
NHP3,12.6545,0,0,1.26005,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.3334,0,0,1.19509,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,12.4317,0,0,1.162,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.41298,0,0,0.27867,0,0,0,0,0,0,0,0,Naive
NHP30,0.00350515,0,0,1.22783,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.00347025,0,0,1.17959,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.00340861,0,0,1.09962,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000619147,0,0,0.393712,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP31,14.4078,0,0,7.90613,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.8252,0,0,7.65459,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,13.7388,0,0,8.05544,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.43111,0,0,1.08526,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP32,0.000288537,0,0,0.847251,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000282365,0,0,0.842091,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000280997,0,0,0.791189,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,4.84559e-05,0,0,0.418827,0,0,0,0,0,0,0,0,mRNA - Conv
NHP33,15.8235,0,0,6.7026,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,15.659,0,0,7.08601,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,14.4969,0,0,8.9016,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.54731,0,0,2.63581,0,0,0,0,0,0,0,0,Conv
NHP34,0.0816934,0,0,0.446865,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0840288,0,0,0.462809,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0823301,0,0,0.458786,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0158264,0,0,0.0917326,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP4,0.0745373,0,0,5.50967,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.0756345,0,0,4.81376,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0733807,0,0,3.85197,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.0147148,0,0,2.81268,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP5,13.951,0,0,9.19076,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.8345,0,0,9.19147,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,13.3821,0,0,8.89101,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.19824,0,0,1.18311,0,0,0,0,0,0,0,0,Conv
NHP6,16.1319,0,0,3.16369,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,16.2096,0,0,3.12851,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,16.2567,0,0,3.16926,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,1.99811,0,0,0.701488,0,0,0,0,0,0,0,0,Conv
NHP7,0.000278746,0,0,2.17111,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000283197,0,0,2.42901,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000276589,0,0,1.66577,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,4.53012e-05,0,0,2.37621,0,0,0,0,0,0,0,0,mRNA - Conv
NHP8,0.000279796,0,0,3.74532,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,0.000275403,0,0,4.10402,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,0.000273086,0,0,2.77813,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,4.8063e-05,0,0,3.98503,0,0,0,0,0,0,0,0,mRNA - Conv
NHP9,13.1075,0,0,1.33329,3,20,3,0.001,10897.1,0.524529,1.55014,4.5,13.9408,0,0,1.14529,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,13.9142,0,0,0.857002,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,2.18301,0,0,0.759826,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
