id,eta_betas_N_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_betas_N_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_betas_N_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_betas_N_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group
NHP1,-0.0757489,0,0,-0.674518,0,0,0,0,0,0,0,0,-0.0157655,0,0,-0.628462,0,0,0,0,0,0,0,0,-0.0386402,0,0,-0.54473,0,0,0,0,0,0,0,0,0.180309,0,0,0.320539,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP10,-0.0791872,0,0,-0.278291,0,0,0,0,0,0,0,0,-0.0767886,0,0,-0.284719,0,0,0,0,0,0,0,0,-0.0337567,0,0,-0.53189,0,0,0,0,0,0,0,0,0.16388,0,0,0.392573,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP11,-0.0443836,0,0,1.75408,0,0,0,0,0,0,0,0,-0.0606614,0,0,1.71253,0,0,0,0,0,0,0,0,-0.0458544,0,0,1.57335,0,0,0,0,0,0,0,0,0.16664,0,0,0.704312,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP12,0.00559629,0,0,0.490684,0,0,0,0,0,0,0,0,-0.0171685,0,0,0.517623,0,0,0,0,0,0,0,0,-0.0108215,0,0,0.38128,0,0,0,0,0,0,0,0,0.187452,0,0,0.712556,0,0,0,0,0,0,0,0,mRNA - Conv
NHP13,-0.00475797,0,0,-0.685295,0,0,0,0,0,0,0,0,0.0280142,0,0,-0.678612,0,0,0,0,0,0,0,0,-0.006182,0,0,-0.661565,0,0,0,0,0,0,0,0,0.14584,0,0,0.144007,0,0,0,0,0,0,0,0,Naive
NHP14,-0.0211802,0,0,0.926204,0,0,0,0,0,0,0,0,0.000161475,0,0,0.97878,0,0,0,0,0,0,0,0,-0.0225704,0,0,0.836179,0,0,0,0,0,0,0,0,0.163842,0,0,0.735174,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP15,0.0307317,0,0,0.990542,0,0,0,0,0,0,0,0,0.026773,0,0,1.01779,0,0,0,0,0,0,0,0,0.0450849,0,0,0.982436,0,0,0,0,0,0,0,0,0.168332,0,0,0.163595,0,0,0,0,0,0,0,0,Conv
NHP16,0.0201069,0,0,0.000174014,0,0,0,0,0,0,0,0,0.0285375,0,0,0.0424691,0,0,0,0,0,0,0,0,0.0122792,0,0,-0.0493651,0,0,0,0,0,0,0,0,0.16848,0,0,0.457559,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP17,0.011825,0,0,0.230834,0,0,0,0,0,0,0,0,0.0283439,0,0,0.233489,0,0,0,0,0,0,0,0,0.0189884,0,0,0.377196,0,0,0,0,0,0,0,0,0.108213,0,0,0.289185,0,0,0,0,0,0,0,0,Naive
NHP18,0.0957061,0,0,-0.867532,0,0,0,0,0,0,0,0,0.124907,0,0,-0.837884,0,0,0,0,0,0,0,0,0.095461,0,0,-0.771676,0,0,0,0,0,0,0,0,0.103006,0,0,0.236027,0,0,0,0,0,0,0,0,Conv
NHP19,-0.00925527,0,0,-0.891569,0,0,0,0,0,0,0,0,0.00296472,0,0,-0.855769,0,0,0,0,0,0,0,0,-0.0177997,0,0,-0.86047,0,0,0,0,0,0,0,0,0.189544,0,0,0.137335,0,0,0,0,0,0,0,0,Naive
NHP2,-0.00442168,0,0,-0.614923,0,0,0,0,0,0,0,0,-0.00538112,0,0,-0.575021,0,0,0,0,0,0,0,0,0.00286199,0,0,-0.621819,0,0,0,0,0,0,0,0,0.153513,0,0,0.158179,0,0,0,0,0,0,0,0,Naive
NHP20,0.019876,0,0,-0.545078,0,0,0,0,0,0,0,0,0.00124637,0,0,-0.550036,0,0,0,0,0,0,0,0,0.0258267,0,0,-0.511323,0,0,0,0,0,0,0,0,0.168401,0,0,0.239034,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP21,-0.0150895,0,0,0.808218,0,0,0,0,0,0,0,0,-0.0101809,0,0,0.872443,0,0,0,0,0,0,0,0,-0.0109492,0,0,0.712961,0,0,0,0,0,0,0,0,0.18524,0,0,0.439045,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
