rep,id,betas_N,fact_beta_T,fact_delta_T,delta_N,c,cI,k,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group
1,NHP1,0.00334073,0,0,1.3774,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
2,NHP1,0.00291693,0,0,1.00836,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
3,NHP1,0.00270142,0,0,0.782942,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
4,NHP1,0.00433638,0,0,1.24518,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
5,NHP1,0.00359691,0,0,1.3805,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
6,NHP1,0.00393845,0,0,1.29199,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
7,NHP1,0.00291942,0,0,1.63258,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
8,NHP1,0.00223326,0,0,0.701274,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
9,NHP1,0.00319058,0,0,0.388033,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
10,NHP1,0.00366103,0,0,1.01202,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
1,NHP10,10.205,0,0,2.21755,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP10,15.2087,0,0,1.25365,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP10,17.6428,0,0,0.991697,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP10,12.7802,0,0,1.49732,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP10,15.8618,0,0,1.26922,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
