rep,id,eta_betas_N,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group
1,NHP1,0.0465831,0,0,-0.320301,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
2,NHP1,-0.0890716,0,0,-0.632177,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
3,NHP1,-0.165828,0,0,-0.885195,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
4,NHP1,0.307436,0,0,-0.421219,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
5,NHP1,0.120469,0,0,-0.318051,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
6,NHP1,0.211181,0,0,-0.384312,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
7,NHP1,-0.088221,0,0,-0.150339,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
8,NHP1,-0.356143,0,0,-0.995356,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
9,NHP1,0.000598066,0,0,-1.58716,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
10,NHP1,0.13814,0,0,-0.628554,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
1,NHP10,-0.332583,0,0,0.155904,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP10,0.066408,0,0,-0.414437,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP10,0.21487,0,0,-0.648836,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP10,-0.107558,0,0,-0.236819,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP10,0.108456,0,0,-0.402098,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP10,0.0200027,0,0,-0.234195,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP10,-0.0520447,0,0,-0.617372,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP10,-0.365789,0,0,-0.237563,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP10,-0.193211,0,0,-0.372492,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP10,-0.336011,0,0,0.145946,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
1,NHP11,-0.115681,0,0,1.42867,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP11,0.0747621,0,0,2.14343,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP11,-0.298636,0,0,1.26291,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP11,-0.0179831,0,0,1.85454,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP11,0.106973,0,0,0.943329,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
6,NHP11,-0.248444,0,0,1.55299,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP11,-0.343713,0,0,3.2526,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP11,-0.0862249,0,0,1.91733,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP11,-0.0565524,0,0,0.936139,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP11,0.245906,0,0,1.99203,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP12,0.333668,0,0,0.687314,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP12,0.290431,0,0,0.285455,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP12,0.0248815,0,0,-0.171456,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP12,0.335027,0,0,0.299475,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP12,-0.236725,0,0,0.0318185,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP12,-0.0395672,0,0,0.213395,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP12,0.18217,0,0,0.798724,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP12,-0.00705462,0,0,0.448944,0,0,0,0,0,0,0,0,mRNA - Conv
