id,importanceSampling
NHP1,20.865708
NHP10,81.501154
NHP11,13.378853
NHP12,1.697237
NHP13,88.601334
NHP14,4.484337
NHP15,53.934301
NHP16,15.525320
NHP17,80.361288
NHP18,69.274927
NHP19,90.421518
NHP2,90.050071
NHP20,41.906957
NHP21,17.079599
NHP22,14.807084
NHP23,18.523723
NHP24,93.813544
NHP25,91.098079
NHP26,73.752370
NHP27,13.368304
NHP28,73.531851
NHP29,17.478629
NHP3,83.383145
NHP30,35.012095
NHP31,77.555893
NHP32,16.618460
NHP33,78.025153
NHP34,81.919862
NHP4,14.741800
NHP5,72.631681
NHP6,79.361169
NHP7,9.472315
NHP8,1.690870
NHP9,102.664078
