parameter,value,CV,se_sa,rse_sa
betas_N_pop,14.2314848644348,,2.03703142821273,14.3135551041717
beta_betas_N_CD40PanCovConv_1,-8.40360706938209,,1.02238907150236,12.1660741995822
beta_betas_N_CD40RBDvConv_1,-5.25555118328764,,1.09219254492345,20.7816936194355
beta_betas_N_mRNAConv_1,-10.850358493171,,0.856394718889551,7.89277809971486
fact_beta_T_pop,0,,,
fact_delta_T_pop,0,,,
delta_N_pop,1.89742631879347,,0.535462868898691,28.2204828506427
beta_delta_N_Conv_1,0.967645760192017,,0.485327671424044,50.1555105587128
c_pop,3,,,
cI_pop,20,,,
k_pop,3,,,
mu_pop,0.001,,,
P_N_pop,10936.78103972,,1163.23009126361,10.6359456867519
fact_P_T_pop,0.505118271610628,,0.107118776026583,21.2066721888761
alpha_VLSG_pop,1.54711018647503,,0.0455363891887419,2.94331907234694
thresh_Weight_pop,4.5,,,
omega_betas_N,0.176448392546553,17.7830730054096,0.141434756254826,80.1564436000801
omega_delta_N,0.931489109486535,117.531293510239,0.161183748634434,17.3038790247675
a1,1.12933632906464,,0.0793880792732311,7.02962237467231
a2,1.54752595729985,,0.138048264691517,8.92057829727048
a3,1.28302391676306,,0.0833054411676607,6.49289854064698
a4,1.3491881454053,,0.125320102815525,9.28855647318767
