id,time,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,TT_popPred,I1T_popPred,I2T_popPred,VIT_popPred,VNIT_popPred,ViniT_popPred,TN_popPred,I1N_popPred,I2N_popPred,VIN_popPred,VNIN_popPred,ViniN_popPred,TT_popPred_medianCOV,I1T_popPred_medianCOV,I2T_popPred_medianCOV,VIT_popPred_medianCOV,VNIT_popPred_medianCOV,ViniT_popPred_medianCOV,TN_popPred_medianCOV,I1N_popPred_medianCOV,I2N_popPred_medianCOV,VIN_popPred_medianCOV,VNIN_popPred_medianCOV,ViniN_popPred_medianCOV,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM
NHP1,0,7500,0,0,0,0,8.31681e+07,22727.3,0,0,0,0,5.04049e+06,7500,0,0,0,0,8.31681e+07,22727.3,0,0,0,0,5.04049e+06,7500,0,0,0,0,8.31681e+07,22727.3,0,0,0,0,5.04049e+06,7500,0,0,0,0,8.31681e+07,22727.3,0,0,0,0,5.04049e+06,7500,0,0,0,0,8.31681e+07,22727.3,0,0,0,0,5.04049e+06
NHP1,1,7499,0.0602396,0.47614,2.88014,2877.44,0.2094,22727.1,0.0110914,0.0874763,0.319213,318.954,0.0126909,7499.04,0.0579091,0.446834,2.72318,2720.62,0.209396,22727.1,0.010661,0.0820912,0.301815,301.568,0.0126907,7499.01,0.0601603,0.293654,2.06931,2067.38,0.209397,22727.1,0.0110709,0.0539521,0.229345,229.163,0.0126907,2086.46,1030.68,1740.63,8676.14,9.50006e+06,0.209292,20118.1,894.005,859.263,1310.08,2.15369e+06,0.0126525,7499.05,0.0572161,0.459374,2.80941,2806.77,0.20938,22727.1,0.0105329,0.0843938,0.305386,305.135,0.0126897
NHP1,2,7499,0.0031547,0.192799,1.63781,1636.33,3.80539e-09,22727.1,0.00060448,0.0354732,0.181678,181.552,2.30629e-10,7499.04,0.00302204,0.174778,1.50703,1505.67,3.82989e-09,22727.1,0.000577459,0.0321561,0.167166,167.048,2.32115e-10,7499,0.00307604,0.0605507,0.708837,708.216,3.71004e-09,22727.1,0.000578349,0.0111479,0.0786377,78.5885,2.2485e-10,602.601,390.632,1079.28,7616.35,7.98916e+06,2.67825e-09,13784,2435.11,2595.31,4625.71,7.05135e+06,1.61663e-10,7499.05,0.00299441,0.190182,1.6258,1624.33,3.84438e-09,22727.1,0.00057245,0.0349863,0.176866,176.74,2.32993e-10
NHP1,3,7499,0.000221613,0.0683414,0.625358,624.805,-4.07906e-15,22727.1,5.18248e-05,0.012604,0.0694996,69.4546,-2.47215e-16,7499.04,0.000206303,0.0596057,0.555824,555.331,-3.23552e-16,22727.1,4.75477e-05,0.0109922,0.0617676,61.7271,0,7499,0.000171809,0.00994918,0.141353,141.234,2.38234e-13,22727.1,3.50786e-05,0.00183973,0.0157227,15.7147,1.44384e-14,276.187,90.9519,385.721,3449.22,3.53614e+06,7.09199e-16,4402.05,2922.57,4464.02,11678.7,1.45866e+07,0,7499.05,0.000210842,0.069097,0.634728,634.162,-5.44867e-16,22727.1,4.88855e-05,0.0127386,0.069168,69.1218,0
NHP1,4,7499,3.42789e-05,0.0238152,0.221317,221.122,0,22727.1,1.04233e-05,0.0044041,0.0246575,24.6419,0,7499.04,2.96474e-05,0.0199606,0.189307,189.14,0,22727.1,8.90437e-06,0.00369101,0.0210893,21.0758,0,7499,1.1868e-05,0.00154445,0.0237923,23.7729,0,22727.1,2.86658e-06,0.000287364,0.00265823,2.65708,0,205.019,20.6389,108.253,1098.48,1.11798e+06,0,703.732,905.39,2804.73,11840,1.27327e+07,0,7499.05,3.32685e-05,0.0246966,0.230203,229.999,0,22727.1,9.96635e-06,0.00456419,0.0251426,25.1261,0
NHP1,5,7499,9.84148e-06,0.00827938,0.0771684,77.1007,0,22727.1,3.27069e-06,0.0015354,0.00862109,8.61567,0,7499.04,7.99572e-06,0.00666685,0.0634411,63.3853,0,22727.1,2.64849e-06,0.00123627,0.00708682,7.08231,0,7499,1.12523e-06,0.000235763,0.00375569,3.75269,0,22727.1,3.24297e-07,4.41893e-05,0.000422139,0.421973,0,187.696,5.00327,28.1006,300.686,305383,0,215.285,140.029,841.863,4924.99,5.05996e+06,0,7499.05,9.82741e-06,0.00880751,0.0823207,82.2479,0,22727.1,3.2053e-06,0.00163185,0.00901322,9.00735,0
NHP1,7,7499,1.1492e-06,0.000999954,0.00932589,9.31771,0,22727.1,3.90588e-07,0.000186494,0.00104776,1.0471,0,7499.04,8.56274e-07,0.000743121,0.00707668,7.07046,0,22727.1,2.90961e-07,0.000138585,0.000794993,0.794488,0,7499,1.9607e-08,5.42972e-06,8.81228e-05,0.0880534,0,22727.1,6.58906e-09,1.03424e-06,1.00529e-05,0.0100493,0,182.226,0.316597,1.81215,19.8443,20140.7,0,131.176,4.02028,39.2744,292.114,295838,0,7499.05,1.20944e-06,0.00111946,0.0104689,10.4597,0,22727.1,4.02719e-07,0.000208473,0.00115208,1.15133,0
NHP1,9,7499,1.387e-07,0.000120764,0.00112631,1.12532,0,22727.1,4.74258e-08,2.26509e-05,0.00012726,0.12718,0,7499.04,9.53599e-08,8.28269e-05,0.000788771,0.788077,0,22727.1,3.26026e-08,1.55345e-05,8.91153e-05,0.0890588,0,7499,4.37316e-10,1.24714e-07,2.0295e-06,0.0020279,0,22727.1,1.52205e-10,2.41552e-08,2.3534e-07,0.000235257,0,181.875,0.0202821,0.116177,1.27432,1293.31,0,127.89,0.160746,1.61174,12.3844,12532.6,0,7499.05,1.53626e-07,0.000142278,0.00133058,1.3294,0,22727.1,5.14319e-08,2.66318e-05,0.000147176,0.14708,0
NHP1,14,7499,7.03045e-10,6.1214e-07,5.70911e-06,0.00570411,0,22727.1,2.43828e-10,1.16454e-07,6.54276e-07,0.000653866,0,7499.04,3.95519e-10,3.43542e-07,3.2716e-06,0.00326872,0,22727.1,1.37161e-10,6.53548e-08,3.74915e-07,0.000374677,0,7499,3.53046e-14,1.00947e-11,1.64337e-10,1.64208e-07,0,22727.1,1.28362e-14,2.0382e-12,1.98641e-11,1.98571e-08,0,181.851,2.10929e-05,0.000120827,0.00132546,1.34521,0,127.749,5.45441e-05,0.000546277,0.00420653,4.25681,0,7499.05,8.84763e-10,8.19418e-07,7.66316e-06,0.00765638,0,22727.1,3.00016e-10,1.55351e-07,8.58522e-07,0.000857963,0
NHP1,23,7499,5.25624e-14,4.5766e-11,4.26836e-10,4.26461e-07,0,22727.1,1.86969e-14,8.92982e-12,5.01705e-11,5.0139e-08,0,7499.04,2.07164e-14,1.7994e-11,1.71359e-10,1.71208e-07,0,22727.1,7.36806e-15,3.51076e-12,2.01398e-11,2.01271e-08,0,7499,0,-5.02143e-15,-8.17472e-14,-8.16831e-11,0,22727.1,0,-1.03792e-15,-1.01155e-14,-1.01119e-11,0,181.851,9.01371e-11,5.16333e-10,5.66415e-09,5.74854e-06,0,127.749,3.10105e-11,3.1058e-10,2.39158e-09,2.42017e-06,0,7499.05,8.28695e-14,7.67491e-11,7.17754e-10,7.17119e-07,0,22727.1,2.87505e-14,1.48872e-11,8.22719e-11,8.22183e-08,0
