beta_N_pow_pop,1,0.18281,-0.78168,0.2305,-0.73656,-0.82395,0.54523,0.36197,-0.097342,-0.29218,-0.089548,-0.5143
delta_N_pop,0.18281,1,0.12351,-0.033159,-0.0082361,-0.12429,-0.12408,0.46513,0.096284,0.17619,-0.0034819,0.047364
P_N_pop,-0.78168,0.12351,1,-0.54951,0.74745,0.49023,-0.54561,-0.16759,0.13864,0.36962,-0.01582,0.54538
fact_P_T_pop,0.2305,-0.033159,-0.54951,1,-0.26477,-0.054518,0.29851,0.028765,-0.18771,-0.13311,0.15044,-0.20477
alpha_VLSG_pop,-0.73656,-0.0082361,0.74745,-0.26477,1,0.49489,-0.44695,-0.26357,0.10348,0.13152,0.086079,0.38432
beta_immuno_pop,-0.82395,-0.12429,0.49023,-0.054518,0.49489,1,-0.54755,-0.2277,0.072466,0.2169,0.10727,0.33283
omega_beta_N_pow,0.54523,-0.12408,-0.54561,0.29851,-0.44695,-0.54755,1,-0.086786,-0.050815,-0.25083,-0.0076521,-0.33813
omega_delta_N,0.36197,0.46513,-0.16759,0.028765,-0.26357,-0.2277,-0.086786,1,-0.0042658,0.065419,-0.074782,-0.10247
a1,-0.097342,0.096284,0.13864,-0.18771,0.10348,0.072466,-0.050815,-0.0042658,1,0.057786,-0.024319,0.075858
a2,-0.29218,0.17619,0.36962,-0.13311,0.13152,0.2169,-0.25083,0.065419,0.057786,1,-0.0073177,0.26231
a3,-0.089548,-0.0034819,-0.01582,0.15044,0.086079,0.10727,-0.0076521,-0.074782,-0.024319,-0.0073177,1,0.033808
a4,-0.5143,0.047364,0.54538,-0.20477,0.38432,0.33283,-0.33813,-0.10247,0.075858,0.26231,0.033808,1
