id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group
101,-7.54521,0,0,1.1483,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.53266,0,0,1.13513,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.56202,0,0,1.1482,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.328254,0,0,0.1389,0,0,0,0,0,0,0,0,0,0,Naive
102,-7.51787,0,0,0.814957,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.54034,0,0,0.795269,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.54503,0,0,0.807667,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.280561,0,0,0.0866918,0,0,0,0,0,0,0,0,0,0,Naive
103,-7.5289,0,0,1.84124,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.51795,0,0,1.87682,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.54324,0,0,1.82134,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.274093,0,0,0.324837,0,0,0,0,0,0,0,0,0,0,Naive
104,-7.2511,0,0,0.969241,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.24271,0,0,0.966426,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.23652,0,0,0.961801,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.191255,0,0,0.155503,0,0,0,0,0,0,0,0,0,0,Naive
105,-7.2825,0,0,1.16504,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.28155,0,0,1.15577,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.2931,0,0,1.15412,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.231639,0,0,0.219147,0,0,0,0,0,0,0,0,0,0,Naive
106,-7.42564,0,0,1.15272,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.41321,0,0,1.16608,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.42082,0,0,1.15651,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.229973,0,0,0.159127,0,0,0,0,0,0,0,0,0,0,Naive
201,-7.40228,0,0,1.34454,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.4083,0,0,1.34638,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.38541,0,0,1.34743,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.216395,0,0,0.266949,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-7.6918,0,0,2.21729,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.72087,0,0,2.2795,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.69592,0,0,2.14531,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.264605,0,0,0.742379,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-7.4657,0,0,1.68425,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.45071,0,0,1.66835,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.46308,0,0,1.63302,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.254963,0,0,0.414235,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-7.62752,0,0,1.68956,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.60026,0,0,1.71383,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.59485,0,0,1.67256,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.244954,0,0,0.394897,0,0,0,0,0,0,0,0,0,0,Convalescent
205,-7.8823,0,0,1.88046,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.92067,0,0,1.85443,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.88346,0,0,1.84468,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.21661,0,0,0.344459,0,0,0,0,0,0,0,0,0,0,Convalescent
206,-7.8031,0,0,3.13724,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.77495,0,0,3.22717,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.79246,0,0,3.02489,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.258882,0,0,0.82422,0,0,0,0,0,0,0,0,0,0,Convalescent
301,-7.56681,0,0,1.97069,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.61294,0,0,1.93636,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.55882,0,0,1.89719,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.246559,0,0,0.611446,0,0,0,0,0,0,0,0,0,0,Conv-CD40
302,-7.76935,0,0,2.51725,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.74778,0,0,2.46651,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.74475,0,0,2.38969,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.249711,0,0,0.836795,0,0,0,0,0,0,0,0,0,0,Conv-CD40
303,-7.63187,0,0,2.04314,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.62021,0,0,2.00722,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.61263,0,0,1.95924,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.247326,0,0,0.595998,0,0,0,0,0,0,0,0,0,0,Conv-CD40
304,-7.52505,0,0,1.34383,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.54629,0,0,1.34218,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.53053,0,0,1.29847,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.248247,0,0,0.370696,0,0,0,0,0,0,0,0,0,0,Conv-CD40
305,-7.61029,0,0,2.16624,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.60693,0,0,2.1994,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.60175,0,0,2.07611,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.250814,0,0,0.705443,0,0,0,0,0,0,0,0,0,0,Conv-CD40
306,-7.68811,0,0,1.77926,3,20,3,0,0.001,4845.41,-2.63401,1.27397,4.5,1.31713e-5,-7.68371,0,0,1.83204,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,-7.6714,0,0,1.70599,3,20,3,0,0.001,4790.13,-2.62562,1.27382,4.5,1.32288e-5,0.280293,0,0,0.701641,0,0,0,0,0,0,0,0,0,0,Conv-CD40
