id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_immuno_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_immuno_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_immuno_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,eta_beta_immuno_sd,Group
101,0.0189385,0,0,-0.325172,0,0,0,0,0,0,0,0,0,0,0.0293429,0,0,-0.338026,0,0,0,0,0,0,0,0,0,0,-1.996e-5,0,0,-0.319119,0,0,0,0,0,0,0,0,0,0,0.328254,0,0,0.122318,0,0,0,0,0,0,0,0,0,0,Naive
102,0.0462746,0,0,-0.666984,0,0,0,0,0,0,0,0,0,0,0.0216552,0,0,-0.692446,0,0,0,0,0,0,0,0,0,0,0.0169732,0,0,-0.670916,0,0,0,0,0,0,0,0,0,0,0.280561,0,0,0.110896,0,0,0,0,0,0,0,0,0,0,Naive
103,0.0352421,0,0,0.138398,0,0,0,0,0,0,0,0,0,0,0.0440471,0,0,0.157598,0,0,0,0,0,0,0,0,0,0,0.0187627,0,0,0.142264,0,0,0,0,0,0,0,0,0,0,0.274093,0,0,0.171184,0,0,0,0,0,0,0,0,0,0,Naive
104,0.313048,0,0,-0.501746,0,0,0,0,0,0,0,0,0,0,0.319286,0,0,-0.504348,0,0,0,0,0,0,0,0,0,0,0.325482,0,0,-0.496259,0,0,0,0,0,0,0,0,0,0,0.191255,0,0,0.160797,0,0,0,0,0,0,0,0,0,0,Naive
105,0.281648,0,0,-0.321569,0,0,0,0,0,0,0,0,0,0,0.280445,0,0,-0.33026,0,0,0,0,0,0,0,0,0,0,0.268898,0,0,-0.313973,0,0,0,0,0,0,0,0,0,0,0.231639,0,0,0.188739,0,0,0,0,0,0,0,0,0,0,Naive
106,0.138507,0,0,-0.324614,0,0,0,0,0,0,0,0,0,0,0.148785,0,0,-0.313019,0,0,0,0,0,0,0,0,0,0,0.14118,0,0,-0.311905,0,0,0,0,0,0,0,0,0,0,0.229973,0,0,0.137248,0,0,0,0,0,0,0,0,0,0,Naive
201,0.161865,0,0,-0.180217,0,0,0,0,0,0,0,0,0,0,0.153703,0,0,-0.179937,0,0,0,0,0,0,0,0,0,0,0.176589,0,0,-0.159113,0,0,0,0,0,0,0,0,0,0,0.216395,0,0,0.202209,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-0.127654,0,0,0.304221,0,0,0,0,0,0,0,0,0,0,-0.158868,0,0,0.32059,0,0,0,0,0,0,0,0,0,0,-0.133922,0,0,0.305973,0,0,0,0,0,0,0,0,0,0,0.264605,0,0,0.29835,0,0,0,0,0,0,0,0,0,0,Convalescent
203,0.0984443,0,0,0.0409859,0,0,0,0,0,0,0,0,0,0,0.111286,0,0,0.0235186,0,0,0,0,0,0,0,0,0,0,0.0989234,0,0,0.0331173,0,0,0,0,0,0,0,0,0,0,0.254963,0,0,0.251338,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-0.0633773,0,0,0.0428393,0,0,0,0,0,0,0,0,0,0,-0.0382637,0,0,0.0545954,0,0,0,0,0,0,0,0,0,0,-0.0328539,0,0,0.0570454,0,0,0,0,0,0,0,0,0,0,0.244954,0,0,0.233359,0,0,0,0,0,0,0,0,0,0,Convalescent
205,-0.318151,0,0,0.151427,0,0,0,0,0,0,0,0,0,0,-0.358668,0,0,0.143654,0,0,0,0,0,0,0,0,0,0,-0.321456,0,0,0.154993,0,0,0,0,0,0,0,0,0,0,0.21661,0,0,0.181455,0,0,0,0,0,0,0,0,0,0,Convalescent
206,-0.238951,0,0,0.651082,0,0,0,0,0,0,0,0,0,0,-0.212954,0,0,0.68291,0,0,0,0,0,0,0,0,0,0,-0.230462,0,0,0.649565,0,0,0,0,0,0,0,0,0,0,0.258882,0,0,0.249395,0,0,0,0,0,0,0,0,0,0,Convalescent
301,-0.00266261,0,0,0.174924,0,0,0,0,0,0,0,0,0,0,-0.05094,0,0,0.156318,0,0,0,0,0,0,0,0,0,0,0.00317653,0,0,0.183064,0,0,0,0,0,0,0,0,0,0,0.246559,0,0,0.306077,0,0,0,0,0,0,0,0,0,0,Conv-CD40
302,-0.205202,0,0,0.414874,0,0,0,0,0,0,0,0,0,0,-0.185784,0,0,0.392729,0,0,0,0,0,0,0,0,0,0,-0.182746,0,0,0.413852,0,0,0,0,0,0,0,0,0,0,0.249711,0,0,0.322735,0,0,0,0,0,0,0,0,0,0,Conv-CD40
303,-0.0677217,0,0,0.210919,0,0,0,0,0,0,0,0,0,0,-0.0582138,0,0,0.198981,0,0,0,0,0,0,0,0,0,0,-0.0506348,0,0,0.215247,0,0,0,0,0,0,0,0,0,0,0.247326,0,0,0.280596,0,0,0,0,0,0,0,0,0,0,Conv-CD40
304,0.0390933,0,0,-0.189836,0,0,0,0,0,0,0,0,0,0,0.0157129,0,0,-0.199503,0,0,0,0,0,0,0,0,0,0,0.0314684,0,0,-0.196125,0,0,0,0,0,0,0,0,0,0,0.248247,0,0,0.270506,0,0,0,0,0,0,0,0,0,0,Conv-CD40
305,-0.0461481,0,0,0.27209,0,0,0,0,0,0,0,0,0,0,-0.0449349,0,0,0.281342,0,0,0,0,0,0,0,0,0,0,-0.0397496,0,0,0.273183,0,0,0,0,0,0,0,0,0,0,0.250814,0,0,0.315633,0,0,0,0,0,0,0,0,0,0,Conv-CD40
306,-0.123961,0,0,0.0690313,0,0,0,0,0,0,0,0,0,0,-0.121713,0,0,0.0831939,0,0,0,0,0,0,0,0,0,0,-0.109403,0,0,0.0768323,0,0,0,0,0,0,0,0,0,0,0.280293,0,0,0.355577,0,0,0,0,0,0,0,0,0,0,Conv-CD40
