time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6
1,101,-4.73191e-9,373.408,3249.05,399.913,399513,13.509,3.7811e-41,1131.78,9846.16,16880.8,1.68639e+7,0.818684,832748,4.39811e-9,373.408,3276.83,401.031,400630,13.5106,-3.80053e-26,1131.76,9930.3,16786.6,1.67698e+7,0.818776,832748,1.69752e-9,373.408,3249.27,398.699,398300,13.5116,-1.2573e-35,1131.78,9846.82,16688.9,1.66722e+7,0.81884,832748
2,101,-3.92988e-9,18.5909,1192.28,203.022,202819,2.75089e-8,1.48869e-44,56.3482,3613.25,8570.28,8.56171e+6,1.66711e-9,605524,3.59778e-9,18.5909,1216.25,205.425,205219,2.7505e-8,-8.47721e-30,56.3471,3685.87,8599.21,8.59061e+6,1.66688e-9,605524,1.40904e-9,18.5909,1192.47,202.42,202218,2.75024e-8,-5.16737e-39,56.3479,3613.82,8473.48,8.46501e+6,1.66672e-9,605524
3,101,-3.91368e-9,0.925597,386.215,70.9879,70916.9,-7.94518e-15,1.25038e-44,2.80544,1170.44,2996.68,2.99368e+6,-4.81499e-16,378300,3.58179e-9,0.925596,399,72.6469,72574.2,-1.5156e-14,-7.03517e-30,2.80539,1209.18,3041.07,3.03803e+6,-9.18497e-16,378300,1.40329e-9,0.925597,386.315,70.7838,70713,-7.99174e-15,-4.35387e-39,2.80543,1170.75,2963.1,2.96014e+6,-4.84321e-16,378300
4,101,-3.9134e-9,0.0460826,122.899,22.9834,22960.4,-5.88159e-21,1.24666e-44,0.139674,372.451,970.222,969252,-3.5644e-22,151076,3.58152e-9,0.0460826,128.635,23.8174,23793.6,-1.12326e-20,-7.01283e-30,0.139672,389.832,997.023,996026,-6.80725e-22,151076,1.40319e-9,0.0460826,122.943,22.9196,22896.7,-5.91663e-21,-4.34131e-39,0.139674,372.586,959.446,958487,-3.58564e-22,151076
6,101,-3.91338e-9,0.00011423,12.371,2.32357,2321.25,7.74728e-30,1.24641e-44,0.000346225,37.4909,98.0875,97989.4,4.69505e-31,203887,3.5815e-9,0.000114229,13.2935,2.4716,2469.13,1.09306e-29,-7.0113e-30,0.000346218,40.2864,103.464,103361,6.62426e-31,203887,1.40318e-9,0.00011423,12.3781,2.31761,2315.29,7.76865e-30,-4.34046e-39,0.000346223,37.5123,97.0183,96921.2,4.70801e-31,203887
9,101,-3.91338e-9,1.416e-8,0.39474,0.0741541,74.08,-3.94293e-38,1.24635e-44,4.29182e-8,1.19628,3.13035,3127.22,-2.38952e-39,283103,3.58149e-9,1.4173e-8,0.441269,0.0820559,81.9739,-1.16582e-38,-7.01093e-30,4.2957e-8,1.33728,3.43495,3431.52,-7.06517e-40,283103,1.40318e-9,1.416e-8,0.395091,0.0739871,73.9131,-3.96087e-38,-4.34027e-39,4.29181e-8,1.19734,3.0972,3094.1,-2.40039e-39,283103
14,101,-3.91338e-9,4.44159e-15,0.00126714,0.00023804,0.237802,-1.4645e-46,1.24635e-44,1.34644e-14,0.00384013,0.0100486,10.0386,-8.87524e-48,296957,3.58149e-9,4.3464e-15,0.00151287,0.000281325,0.281044,6.37942e-48,-7.01091e-30,1.31711e-14,0.0045848,0.0117766,11.7648,3.8661e-49,296957,1.40318e-9,4.44259e-15,0.00126893,0.000237628,0.237391,-1.47072e-46,-4.34025e-39,1.34645e-14,0.00384556,0.00994745,9.9375,-8.91297e-48,296957
20,101,-3.91338e-9,-8.21045e-22,1.29012e-6,2.42356e-7,0.000242114,1.50555e-56,1.24635e-44,2.097e-22,3.90977e-6,1.02309e-5,0.0102206,9.12401e-58,313581,3.58149e-9,1.15183e-21,1.66694e-6,3.09976e-7,0.000309666,7.65168e-57,-7.01091e-30,2.04151e-22,5.05172e-6,1.29759e-5,0.012963,4.63712e-58,313581,1.40318e-9,3.81493e-22,1.29276e-6,2.4209e-7,0.000241848,1.40196e-56,-4.34025e-39,2.09775e-22,3.91776e-6,1.01342e-5,0.0101241,8.49625e-58,313581
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049
1,102,7.89962e-7,564.236,6076.21,698.504,697805,20.2667,2059.8,4099.42,15486,19138.8,2.1937e+7,1.12522,673531,1.24226e-6,564.324,6156.78,702.778,702075,20.2677,2211.72,4141.1,15552.8,18826.1,2.16773e+7,1.12527,673531,1.58798e-6,564.373,6106.1,698.72,698022,20.2667,2307.95,4155.69,15383.8,18588.8,2.14609e+7,1.12521,673531
2,102,5.84956e-7,28.0917,2994.04,449.842,449392,4.18288e-8,0.0282021,397.13,10256.5,19474,1.97877e+7,2.32214e-9,795014,9.18369e-7,28.0961,3087.98,459.224,458765,4.18528e-8,0.0336721,416.277,10577.2,19662.8,1.99959e+7,2.32342e-9,795014,1.18159e-6,28.0985,3028.6,452.427,451975,4.18646e-8,0.0453507,429.163,10452.7,19436.8,1.97834e+7,2.32405e-9,795014
3,102,2.72621e-7,1.3986,1340.49,211.4,211188,2.13347e-16,1.32552e-9,19.7736,4754.37,10248.6,1.0255e+7,1.1844e-17,916496,4.18617e-7,1.39882,1409.46,219.714,219494,9.12646e-17,-3.79013e-11,20.7272,5002.72,10568.9,1.05759e+7,5.06648e-18,916496,5.52104e-7,1.39895,1365.68,214.031,213817,5.27066e-16,-1.53147e-9,21.3695,4893.48,10382.5,1.03904e+7,2.92593e-17,916496
