id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group,groupVsnaive
101,-5.86084,0,0,1.47118,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.85627,0,0,1.473,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.86268,0,0,1.4756,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.061193,0,0,0.134183,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,-5.86248,0,0,1.34326,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.86833,0,0,1.31802,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.8714,0,0,1.33518,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0604139,0,0,0.145529,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-5.9005,0,0,1.9686,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.89544,0,0,1.96674,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.89973,0,0,1.92756,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0668617,0,0,0.217814,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-5.89864,0,0,1.3611,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.89713,0,0,1.36465,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.89179,0,0,1.36705,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0646508,0,0,0.126743,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-5.90378,0,0,1.80209,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.89925,0,0,1.82772,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.90061,0,0,1.81343,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0608162,0,0,0.205627,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-5.88629,0,0,1.42822,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-5.88753,0,0,1.43169,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-5.88399,0,0,1.42688,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0591831,0,0,0.141091,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,-7.30679,0,0,1.36882,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.31257,0,0,1.37716,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.30622,0,0,1.36627,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0634789,0,0,0.176741,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-7.33962,0,0,1.77884,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.3443,0,0,1.78014,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.34096,0,0,1.76639,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0646245,0,0,0.270485,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-7.32621,0,0,1.63296,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.32453,0,0,1.62501,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.32844,0,0,1.6137,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0676426,0,0,0.249121,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-7.33947,0,0,1.62178,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.33703,0,0,1.60564,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.33337,0,0,1.60785,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0643307,0,0,0.215367,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-7.33658,0,0,1.63081,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.34236,0,0,1.61914,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.33969,0,0,1.6049,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0619608,0,0,0.220662,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-7.34696,0,0,1.94588,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-7.34161,0,0,1.93416,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-7.34443,0,0,1.89728,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0691853,0,0,0.309574,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,-8.19031,0,0,1.63372,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.19461,0,0,1.62614,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.18663,0,0,1.63024,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0704978,0,0,0.225617,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
302,-8.20493,0,0,1.81231,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.19481,0,0,1.7968,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.20051,0,0,1.77114,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0637568,0,0,0.306425,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
303,-8.19351,0,0,1.68162,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.18832,0,0,1.67324,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.19005,0,0,1.6536,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0649697,0,0,0.268717,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
304,-8.17874,0,0,1.42321,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.1834,0,0,1.39806,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.17615,0,0,1.4006,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0706056,0,0,0.21853,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
305,-8.19461,0,0,1.72715,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.19222,0,0,1.7244,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.19084,0,0,1.68818,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0630922,0,0,0.288573,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
306,-8.19708,0,0,1.61477,3,20,3,0,0.001,9841.39,-2.48588,1.39892,4.5,2.5944e-6,-8.19068,0,0,1.60428,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,-8.1929,0,0,1.60311,3,20,3,0,0.001,9852.75,-2.49066,1.3992,4.5,2.58685e-6,0.0711733,0,0,0.272237,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
