id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_immuno_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_immuno_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_immuno_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,eta_beta_immuno_sd,Group,groupVsnaive
101,0.0267151,0,0,-0.0875602,0,0,0,0,0,0,0,0,0,0,0.027489,0,0,-0.0856261,0,0,0,0,0,0,0,0,0,0,0.0210824,0,0,-0.079626,0,0,0,0,0,0,0,0,0,0,0.061193,0,0,0.0926264,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,0.0250759,0,0,-0.178283,0,0,0,0,0,0,0,0,0,0,0.0154291,0,0,-0.198724,0,0,0,0,0,0,0,0,0,0,0.0123584,0,0,-0.179625,0,0,0,0,0,0,0,0,0,0,0.0604139,0,0,0.111481,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-0.0129448,0,0,0.200579,0,0,0,0,0,0,0,0,0,0,-0.0116842,0,0,0.201568,0,0,0,0,0,0,0,0,0,0,-0.015969,0,0,0.187562,0,0,0,0,0,0,0,0,0,0,0.0668617,0,0,0.110721,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-0.0110813,0,0,-0.165486,0,0,0,0,0,0,0,0,0,0,-0.0133724,0,0,-0.162049,0,0,0,0,0,0,0,0,0,0,-0.00802669,0,0,-0.156036,0,0,0,0,0,0,0,0,0,0,0.0646508,0,0,0.0919959,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-0.0162184,0,0,0.112707,0,0,0,0,0,0,0,0,0,0,-0.0154919,0,0,0.128063,0,0,0,0,0,0,0,0,0,0,-0.0168458,0,0,0.126528,0,0,0,0,0,0,0,0,0,0,0.0608162,0,0,0.112462,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,0.00126975,0,0,-0.11753,0,0,0,0,0,0,0,0,0,0,-0.00376853,0,0,-0.114675,0,0,0,0,0,0,0,0,0,0,-0.00022808,0,0,-0.113203,0,0,0,0,0,0,0,0,0,0,0.0591831,0,0,0.098415,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,0.0260593,0,0,-0.163504,0,0,0,0,0,0,0,0,0,0,0.0202238,0,0,-0.157063,0,0,0,0,0,0,0,0,0,0,0.0265682,0,0,-0.156609,0,0,0,0,0,0,0,0,0,0,0.0634789,0,0,0.130497,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-0.00676991,0,0,0.0963493,0,0,0,0,0,0,0,0,0,0,-0.0115062,0,0,0.0967618,0,0,0,0,0,0,0,0,0,0,-0.00817221,0,0,0.100248,0,0,0,0,0,0,0,0,0,0,0.0646245,0,0,0.149375,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,0.00664376,0,0,0.0124497,0,0,0,0,0,0,0,0,0,0,0.00825645,0,0,0.00554314,0,0,0,0,0,0,0,0,0,0,0.00434666,0,0,0.00983982,0,0,0,0,0,0,0,0,0,0,0.0676426,0,0,0.149213,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-0.00661722,0,0,0.00531162,0,0,0,0,0,0,0,0,0,0,-0.00424467,0,0,-0.00413489,0,0,0,0,0,0,0,0,0,0,-0.000579013,0,0,0.00620765,0,0,0,0,0,0,0,0,0,0,0.0643307,0,0,0.134147,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-0.00372643,0,0,0.0102144,0,0,0,0,0,0,0,0,0,0,-0.00956715,0,0,0.00393715,0,0,0,0,0,0,0,0,0,0,-0.00690351,0,0,0.00436925,0,0,0,0,0,0,0,0,0,0,0.0619608,0,0,0.136298,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-0.0141097,0,0,0.185392,0,0,0,0,0,0,0,0,0,0,-0.00881989,0,0,0.178454,0,0,0,0,0,0,0,0,0,0,-0.0116418,0,0,0.171728,0,0,0,0,0,0,0,0,0,0,0.0691853,0,0,0.158397,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
