rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group,groupVsnaive
1,101,-0.0345055831833565,0,0,-0.232029951465688,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,101,0.00171200954208423,0,0,0.00630099496335233,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,101,0.0657191100747437,0,0,-0.115363285713485,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,101,0.053796341437823,0,0,-0.02417795949227,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,101,0.125331739871884,0,0,-0.0666126623534053,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,101,0.0350169503207115,0,0,0.0251130601387378,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,101,0.0413725202735468,0,0,-0.0277289629766998,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,101,0.0995462105708328,0,0,-0.0881324938744064,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,101,0.0574684053922025,0,0,0.109214889158816,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,101,-0.0294477379675315,0,0,-0.015102108548374,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,102,0.086760694550329,0,0,-0.351875883365135,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,102,-0.0532107211106819,0,0,-0.254376236471575,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,102,0.113625971305,0,0,-0.227368965687929,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,102,-0.00698079716381591,0,0,-0.174562448142969,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,102,-0.013891839338673,0,0,-0.324772801156206,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,102,-0.125144532826067,0,0,-0.376432241372528,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,102,0.107018100255719,0,0,-0.41544400619023,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,102,0.0432142576510085,0,0,-0.218261115713454,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,102,-0.0178405952417198,0,0,-0.146267509963741,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,102,0.0920218418983361,0,0,-0.00984653343944465,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,103,0.0126908803062573,0,0,0.237772998242025,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,103,0.0452932196694264,0,0,0.266673235779604,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,103,-0.0409044634155932,0,0,0.342013250834055,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,103,2.72524914788214e-5,0,0,0.106532534378975,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,103,0.0623256589624892,0,0,0.10704361428031,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,103,-0.0778063958779978,0,0,0.00703667661524871,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,103,-0.0018228235685455,0,0,0.313594403703037,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,103,-0.0904676732544748,0,0,0.224402349052773,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,103,0.0328816133073773,0,0,0.481617559598278,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,103,-0.0176056070153523,0,0,0.129394114032638,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,104,-0.115454022003493,0,0,-0.110563152728204,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,104,-0.0253381370913338,0,0,-0.162531930354189,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,104,0.0469183556789319,0,0,-0.155805863892096,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,104,-0.0682074098187166,0,0,-0.19566682128109,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,104,-0.0431574948309597,0,0,0.011122584570669,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,104,-0.138829787178585,0,0,-0.187741318442861,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,104,-0.0223731286124363,0,0,-0.344635919004216,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,104,-0.085267806506882,0,0,-0.149691407799345,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,104,0.0262723111660398,0,0,-0.120170803897266,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,104,0.161759938868843,0,0,-0.11011746874178,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,105,-0.0417494592366147,0,0,0.194263398104809,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,105,-0.0346897018898752,0,0,-0.104054168271863,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,105,-0.0127097662437981,0,0,0.127199138333317,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,105,-0.138722701506461,0,0,-0.136723928296749,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,105,0.00826875747600071,0,0,0.207197598084578,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,105,-0.0535278117029611,0,0,0.0760120867373816,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,105,0.0423454840883668,0,0,0.203149666985355,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,105,0.0297903175828873,0,0,0.234460020410576,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,105,-0.0204134750438489,0,0,0.19350782949876,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,105,-0.0288115408806648,0,0,0.0325633551361812,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,106,-0.18392480967176,0,0,-0.233569606864717,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,106,-0.0446946046884701,0,0,-0.0376451140826811,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,106,-0.0499142247993125,0,0,-0.105748640049212,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,106,-0.0174318270243743,0,0,-0.186089586354943,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,106,0.0206546083251399,0,0,-0.126448894443858,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,106,0.0130239269013659,0,0,-0.0534744958600232,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,106,0.0551921591053804,0,0,-0.0705633313536612,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,106,0.0206184162982139,0,0,-0.258751848582062,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,106,0.0179973274389304,0,0,-0.00243092159982661,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,106,0.0767425951383278,0,0,-0.142945830686537,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,201,0.0548753705887395,0,0,-0.0952267201840366,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,201,-0.0621663480703086,0,0,-0.127186335316123,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,201,-0.0274764041275202,0,0,-0.119232404353659,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,201,0.048170934180124,0,0,0.080618581942087,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,201,0.0408427817832072,0,0,-0.0400771591816096,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,201,0.011547123376502,0,0,-0.270429679605532,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,201,0.161646627139289,0,0,-0.133114333543474,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,201,0.0787430641633333,0,0,-0.319598971892637,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,201,0.130652249124258,0,0,-0.155375998152362,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,201,0.043625554066616,0,0,-0.329284258788425,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,202,-0.0586527064927653,0,0,0.0652687022363553,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,202,-0.0745495550927396,0,0,-0.156361000088162,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,202,0.00762633320248822,0,0,0.22411448113123,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,202,-0.0435181837631103,0,0,-0.0785285999662207,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,202,-0.0691388701148243,0,0,0.114468857651806,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,202,-0.0652311326487017,0,0,0.235486501616915,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,202,-0.017044040406858,0,0,-0.0646583176334641,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,202,0.0166971574050885,0,0,0.0801379044161711,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,202,0.00847404913007337,0,0,0.16883922689168,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
