parameter,value,se_sa,rse_sa
beta_N_pow_pop,-5.8837604634668,0.181625587476442,3.08689635827604
beta_beta_N_pow_groupVsnaive_G_conv,-1.44902920388838,0.180719297194277,12.4717498245949
beta_beta_N_pow_groupVsnaive_G_convCD40,-2.30688984565931,0.214711637121161,9.30740743972526
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.59790326749994,0.189095609182672,11.8339835100612
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,9852.75449597818,4288.72968057577,43.5282304286217
fact_P_T_pop,-2.49065724460841,0.370133042864452,14.8608582600311
alpha_VLSG_pop,1.39920136867465,0.0894518520533948,6.39306493375754
thresh_Weight_pop,4.5,,
beta_immuno_pop,2.58685362902494e-6,6.51573818128098e-7,25.1878889016885
omega_beta_N_pow,0.0659052102656321,0.0553386585140617,83.9670464459763
omega_delta_N,0.175543339230947,0.104089209134413,59.2954478309608
a1,1.07740960096401,0.109822214367826,10.1931720554154
a2,1.10031033708258,0.163608524905956,14.8693072665078
a3,1.21931786459535,0.105239026169112,8.63097550071872
a4,1.43291276020962,0.207738045859388,14.4976059693263
