beta_N_pow_pop,1,0.24228,-0.61307,0.037448,-0.59661,-0.55779,0.019381,0.41104,0.054825,-0.30669,-0.11757,-0.44986
delta_N_pop,0.24228,1,0.21074,0.0058237,0.04948,-0.083408,-0.26319,0.67834,0.19483,0.23083,-0.086698,0.017242
P_N_pop,-0.61307,0.21074,1,-0.31108,0.79847,0.10018,-0.15766,-0.11703,0.052439,0.46911,-0.023731,0.5097
fact_P_T_pop,0.037448,0.0058237,-0.31108,1,-0.14144,0.097932,0.16062,0.020473,-0.13776,-0.011368,0.10558,-0.060493
alpha_VLSG_pop,-0.59661,0.04948,0.79847,-0.14144,1,0.10216,-0.10428,-0.22663,0.032225,0.26175,0.034308,0.40674
beta_immuno_pop,-0.55779,-0.083408,0.10018,0.097932,0.10216,1,-0.15641,-0.093391,-0.038305,0.10881,0.14324,0.18379
omega_beta_N_pow,0.019381,-0.26319,-0.15766,0.16062,-0.10428,-0.15641,1,-0.22544,-0.0233,-0.085885,0.05869,-0.040197
omega_delta_N,0.41104,0.67834,-0.11703,0.020473,-0.22663,-0.093391,-0.22544,1,0.12983,0.054186,-0.1313,-0.13626
a1,0.054825,0.19483,0.052439,-0.13776,0.032225,-0.038305,-0.0233,0.12983,1,0.015416,-0.03172,-0.013195
a2,-0.30669,0.23083,0.46911,-0.011368,0.26175,0.10881,-0.085885,0.054186,0.015416,1,0.0033248,0.2983
a3,-0.11757,-0.086698,-0.023731,0.10558,0.034308,0.14324,0.05869,-0.1313,-0.03172,0.0033248,1,0.037252
a4,-0.44986,0.017242,0.5097,-0.060493,0.40674,0.18379,-0.040197,-0.13626,-0.013195,0.2983,0.037252,1
