time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557
1,101,328.412,382.68,1783.91,600.854,600957,13.5111,18138.1,524.566,1243.41,4788.97,5.08005e+6,0.818689,237367,269.616,384.286,1772.01,593.294,593309,13.5111,17857.8,562.198,1305.88,4941.49,5.25714e+6,0.818685,237367,663.282,370.874,1767.46,579.448,579920,13.5113,19193.8,372.417,977.522,3784.59,3.97192e+6,0.818738,237367
2,101,326.658,19.497,309.23,176.711,177013,2.67975e-8,17205.7,294.938,592.245,2548.02,2.82876e+6,1.62334e-9,320177,268.111,19.5127,301.842,172.265,172503,2.67984e-8,16852.5,317.709,625.682,2633.08,2.93584e+6,1.62336e-9,320177,660.59,19.1522,320.137,176.171,176734,2.67732e-8,18595.8,189.285,423.816,1894.56,2.07275e+6,1.62201e-9,320177
3,101,326.131,1.08904,42.3915,30.3405,30452.2,1.05769e-13,16586.6,196.176,351.333,1380.82,1.57485e+6,6.40715e-15,402987,267.665,1.07138,40.5555,29.1394,29230.6,-2.3515e-15,16184.7,211.624,372.896,1433.54,1.64292e+6,-1.42449e-16,402987,659.754,1.14319,46.1506,31.398,31592.8,9.56083e-14,18222.6,116.903,229.287,935.806,1.05121e+6,5.79213e-15,402987
4,101,326.019,0.0782764,5.4429,4.32776,4354.54,3.68949e-19,16112.9,154.373,249.161,887.62,1.04092e+6,2.23484e-20,485797,267.571,0.0733432,5.0915,4.08372,4105.6,-5.93366e-21,15673.2,166.739,265.349,924.579,1.0902e+6,-3.59424e-22,485797,659.569,0.0971254,6.27215,4.68171,4728.46,1.06307e-18,17958.4,85.1315,148.899,549.465,633939,6.44028e-20,485797
6,101,326,0.00071844,0.0854864,0.073196,73.7237,-3.57651e-26,15556.3,63.4151,118.615,459.078,521970,-2.16756e-27,385481,267.555,0.000603431,0.076142,0.0661543,66.5737,3.35821e-28,15071.9,68.4464,126.318,479.726,547624,2.03409e-29,385481,659.535,0.00119525,0.111624,0.0884454,89.438,-3.4742e-26,17677.3,30.3802,61.3558,242.653,272760,-2.10291e-27,385481
9,101,326,7.93451e-7,0.000161803,0.000142518,0.143154,-4.15763e-34,15367.7,6.70509,15.7313,72.8754,79500.9,-2.52055e-35,235006,267.555,6.04549e-7,0.000133743,0.00011975,0.12022,3.86296e-36,14869.1,7.17238,16.5825,75.5875,82677.1,2.34013e-37,235006,659.535,1.66361e-6,0.000254838,0.000207324,0.208764,1.02532e-33,17594,2.72964,6.95391,32.6405,35334.7,6.20674e-35,235006
14,101,326,1.55598e-11,4.51669e-9,4.01993e-9,4.03145e-6,1.10959e-47,15351.9,0.0702662,0.181204,0.912955,982.238,6.7271e-49,177866,267.555,1.03925e-11,3.30246e-9,2.98776e-9,2.99515e-6,-5.40748e-49,14852.3,0.0734144,0.186393,0.924963,997.379,-3.27562e-50,177866,659.535,4.49391e-11,9.62654e-9,7.92493e-9,7.96189e-6,-2.26724e-45,17587.9,0.0230118,0.0647263,0.32974,352.399,-1.37279e-46,177866
20,101,326,4.10406e-17,1.51651e-14,1.35453e-14,1.35728e-11,-1.33994e-63,15351.8,0.000148854,0.000428812,0.00232415,2.47053,-8.12321e-65,109298,267.555,2.36502e-17,9.57991e-15,8.69613e-15,8.71106e-12,4.77771e-65,14852.1,0.000150432,0.000426241,0.00227766,2.42567,2.8936e-66,109298,659.535,1.70888e-16,4.6502e-14,3.84576e-14,3.85898e-11,7.33146e-55,17587.9,3.87473e-5,0.000122334,0.000668709,0.706749,4.43916e-56,109298
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6
1,102,0.100996,568.055,5222.37,1454.61,1.45315e+6,20.2673,12414.1,2476.29,8851.69,28632.8,3.02342e+7,1.12562,1.51619e+6,0.185157,568.557,5334.56,1459.12,1.45766e+6,20.2669,13188.7,2367.26,8637.6,27420.7,2.89452e+7,1.1256,1.51619e+6,1.30271,570.702,5110.12,1415.54,1.41414e+6,20.2679,15860.2,1968.84,7097.4,22892.2,2.41306e+7,1.12568,1.51619e+6
2,102,0.0995908,28.2821,2095.7,794.648,793854,4.62811e-8,8892.22,1012.9,5968.87,24860.3,2.58053e+7,2.57008e-9,1.38075e+6,0.18269,28.3074,2202.53,815.545,814730,4.62071e-8,9729.61,1000.72,5953.89,24192.3,2.51273e+7,2.56598e-9,1.38075e+6,1.28908,28.4169,1989.66,755.63,754878,4.2808e-8,12929,855.548,4700.85,19285.7,2.0086e+7,2.37726e-9,1.38075e+6
