id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group
101,-4.74631,0,0,2.01667,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-4.70997,0,0,2.00663,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-4.75814,0,0,2.07711,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.218953,0,0,0.262643,0,0,0,0,0,0,0,0,0,0,Naive
102,-5.06698,0,0,1.28272,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-5.0369,0,0,1.25227,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-5.07281,0,0,1.32736,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.228648,0,0,0.137986,0,0,0,0,0,0,0,0,0,0,Naive
103,-5.92184,0,0,1.87289,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-5.88017,0,0,1.90946,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-5.90291,0,0,1.81508,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.298705,0,0,0.351396,0,0,0,0,0,0,0,0,0,0,Naive
104,-5.89864,0,0,1.25299,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-5.85623,0,0,1.20677,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-5.84651,0,0,1.24393,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.403216,0,0,0.177499,0,0,0,0,0,0,0,0,0,0,Naive
105,-6.24788,0,0,1.544,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-6.19644,0,0,1.57257,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-6.23942,0,0,1.51436,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.348699,0,0,0.302637,0,0,0,0,0,0,0,0,0,0,Naive
106,-5.6328,0,0,1.37127,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-5.63704,0,0,1.34763,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-5.63544,0,0,1.36987,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.334694,0,0,0.199663,0,0,0,0,0,0,0,0,0,0,Naive
201,-6.6659,0,0,1.58573,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-6.62872,0,0,1.60473,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-6.60999,0,0,1.59194,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.324669,0,0,0.312652,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-7.31463,0,0,1.92268,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-7.3226,0,0,1.8958,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-7.30314,0,0,1.85045,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.346037,0,0,0.439903,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-7.05503,0,0,1.84317,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-7.12086,0,0,1.7484,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-7.05537,0,0,1.77379,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.373141,0,0,0.371198,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-7.16297,0,0,1.72358,3,20,3,0,0.001,10608.8,-2.5011,1.43138,4.5,1.52122e-7,-7.19143,0,0,1.69406,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,-7.14664,0,0,1.67536,3,20,3,0,0.001,10316.6,-2.50618,1.42712,4.5,1.30557e-7,0.360507,0,0,0.32143,0,0,0,0,0,0,0,0,0,0,Convalescent
