rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-4.82948635658887,0,0,2.0832966263658,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,101,-4.61980458004532,0,0,1.99982812827773,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,101,-4.37550957008059,0,0,2.08873176188456,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,101,-4.73878412348506,0,0,2.33924969569099,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,101,-4.61000965708573,0,0,2.13887784464353,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,101,-4.78932389566574,0,0,2.0007805021675,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,101,-4.8060282738435,0,0,1.89340275381613,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,101,-4.41909172775487,0,0,1.95037007095975,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,101,-4.49403766935892,0,0,2.2292197237737,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,101,-5.00411221868095,0,0,1.83584927701567,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,102,-4.78830149751246,0,0,1.42614355117103,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,102,-5.09177157657038,0,0,1.03033628871152,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,102,-5.00016259336114,0,0,1.17299786223375,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,102,-4.74384861884802,0,0,1.01231829981979,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,102,-5.18757699778537,0,0,1.06514952407065,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,102,-5.2137243128068,0,0,1.19161636159149,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,102,-5.48513344615315,0,0,1.24499358230371,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,102,-4.69413191967011,0,0,1.38498235631591,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,102,-5.40771866725292,0,0,1.01021214999869,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,102,-5.01648704587748,0,0,1.22459949041837,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,103,-6.5065390970816,0,0,1.53574001800154,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,103,-5.54009944316978,0,0,1.80202485020587,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,103,-6.24910711375335,0,0,1.59374420493451,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,103,-5.65534245393532,0,0,2.22198608414464,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,103,-6.30294255261087,0,0,1.4311157173195,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,103,-5.38346542019754,0,0,2.1488459258612,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,103,-6.18026030787851,0,0,1.50784482383406,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,103,-5.38263288136278,0,0,2.46328801697322,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,103,-5.907294444706,0,0,2.22513342429848,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,103,-6.3026394751126,0,0,1.53446534548328,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,104,-5.81686629050888,0,0,1.35770803036637,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,104,-5.58762432937929,0,0,1.31697922665043,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,104,-6.1910146755805,0,0,1.19382447277725,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,104,-6.5354179966354,0,0,1.02957410714796,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,104,-5.83565588134412,0,0,1.16062739258697,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,104,-6.06040223692608,0,0,1.20152804384522,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,104,-5.57854019503618,0,0,1.37187087642478,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,104,-5.95334368702711,0,0,1.06877566163451,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,104,-6.07358008099777,0,0,1.31421834641524,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,104,-5.91510103932121,0,0,1.12055349923834,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,105,-6.59787150646711,0,0,1.28591858301813,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,105,-5.8063945892375,0,0,1.82604692324172,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,105,-6.36375982522175,0,0,1.88651930283583,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,105,-6.34100692162998,0,0,1.46078208387368,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,105,-6.97431683566116,0,0,1.21309792579925,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,105,-6.33332081658571,0,0,1.55742587654568,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,105,-6.35947893166617,0,0,1.45994578931695,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,105,-5.95811331591688,0,0,1.76578002365325,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,105,-5.695779822417,0,0,1.88110530703301,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,105,-6.20480819526041,0,0,1.30097247388216,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,106,-5.3848539862322,0,0,1.43302382684018,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
2,106,-5.40709975752256,0,0,1.74722563652602,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
3,106,-5.76217414024119,0,0,1.4244337127563,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
4,106,-5.13805008227753,0,0,1.59596248784853,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
5,106,-5.56416498295024,0,0,1.68138077488626,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
6,106,-5.59674078603504,0,0,1.24524260787868,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
7,106,-5.66744297379765,0,0,1.24112169292565,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
8,106,-5.58972462788189,0,0,1.13330754288458,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
9,106,-5.5617766510018,0,0,1.40769804913383,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
10,106,-5.96951243972479,0,0,1.08042325669936,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Naive
1,201,-6.61239028198533,0,0,1.48849240813124,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,201,-5.8002588439828,0,0,2.50756881017297,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,201,-6.69362003220716,0,0,1.53759536966033,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,201,-6.45732105554549,0,0,1.40787233641281,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,201,-6.45505933405274,0,0,1.3842198726166,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,201,-6.55909043164656,0,0,1.27638846136085,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,201,-6.76488114663458,0,0,1.47861738733169,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,201,-6.56056109431641,0,0,1.33027586509655,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,201,-6.61848723304928,0,0,1.64464429830607,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,201,-6.11747247994318,0,0,2.19283313222954,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,202,-7.63716800737109,0,0,1.53558514965935,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,202,-7.35897800390491,0,0,2.45032706236688,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,202,-7.14141488745738,0,0,2.64354613087089,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,202,-7.4671347423942,0,0,1.54356629127453,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,202,-7.40656004304881,0,0,1.30419848688443,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,202,-7.15894170940729,0,0,2.05817957768304,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,202,-8.05532736856029,0,0,1.65764501773334,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,202,-7.33025989658681,0,0,1.17801297313069,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,202,-7.30219597079866,0,0,1.7400487872647,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,202,-6.99434455893025,0,0,1.54908514247422,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,203,-7.54843774008624,0,0,1.09342026787387,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,203,-6.90441468097861,0,0,1.84236835917924,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,203,-7.24735855146228,0,0,1.85087413775841,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,203,-7.59459018493309,0,0,1.41699939014347,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,203,-6.7221673259522,0,0,3.15513374897526,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,203,-6.95273526229247,0,0,1.90229878608873,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,203,-6.79898410146296,0,0,1.67288429525102,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,203,-7.45079540410984,0,0,1.57823684934611,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,203,-7.64292667076207,0,0,1.76022402058332,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,203,-7.52494837616174,0,0,1.16260901057011,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,204,-7.98356148866426,0,0,1.30076216626774,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,204,-7.45230474845013,0,0,1.40206023943592,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,204,-7.10461409185978,0,0,1.9038729316372,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,204,-7.44405221366304,0,0,1.30022872927698,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,204,-7.40895690027548,0,0,1.5402116067816,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,204,-6.73038299803655,0,0,1.85817521702804,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,204,-6.80301776458398,0,0,2.22202009645934,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,204,-6.26727169827742,0,0,1.47905893389,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,204,-7.3282457757909,0,0,1.15253474399372,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,204,-7.06968170463859,0,0,1.616075646129,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,205,-6.73030763061158,0,0,1.76111771812017,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,205,-6.76197132010112,0,0,1.86763820744747,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,205,-6.78901789416916,0,0,1.67366651289595,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,205,-7.33850695080952,0,0,1.90351530080283,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,205,-7.70360772953572,0,0,1.72714317095567,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,205,-7.55865665196562,0,0,1.56577132913994,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,205,-7.40018921515376,0,0,1.69271383163834,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,205,-7.1749352029785,0,0,1.37781661921405,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,205,-7.63194324740677,0,0,1.18216937104261,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,205,-7.86150124281409,0,0,1.35263693555167,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,206,-8.270419332594,0,0,1.7408944882149,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
2,206,-7.30417275787428,0,0,2.46914821045009,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
3,206,-7.93162289334227,0,0,1.35046785827445,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
4,206,-7.38300700148254,0,0,2.25944292334807,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
5,206,-7.1937156568271,0,0,3.71904067221991,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
6,206,-7.35396870630122,0,0,2.10692879251817,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
7,206,-7.42212172667439,0,0,1.31352324568287,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
8,206,-8.01181177995949,0,0,1.89370442842009,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
9,206,-8.48231898443777,0,0,1.42117131422608,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
10,206,-7.83426157247929,0,0,1.6359508106831,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Convalescent
1,301,-7.9444836385092,0,0,1.5119661370515,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
2,301,-7.62250369383964,0,0,2.70596401304826,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
3,301,-7.98542202083095,0,0,1.62790472553929,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
4,301,-8.15138675256734,0,0,1.18432560049086,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
5,301,-7.5446238145251,0,0,2.32748568889124,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
6,301,-7.26543111944098,0,0,2.71907950642435,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
7,301,-8.14289950281088,0,0,1.16131297155257,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
8,301,-7.96947973475513,0,0,2.07926076732377,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
9,301,-7.94549655331097,0,0,2.27080837581462,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
10,301,-8.51835923563276,0,0,1.26522947371087,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
1,302,-8.22840260432295,0,0,1.91441808591775,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
2,302,-8.46370207392149,0,0,1.7120289042952,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
3,302,-8.50369973232857,0,0,1.4934088388516,3,20,3,0,0.001,10316.6193376122,-2.50617668856309,1.42712485442714,4.5,1.30557468013315e-7,Conv-CD40
