parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.89835483370588,0.363047900374495,5.26281858684067
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.69268761579932,0.956930112873395,56.5331785937073
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,10316.6193376122,8928.95782416717,86.5492612644345
fact_P_T_pop,-2.50617668856309,0.372102441614296,14.8474145223831
alpha_VLSG_pop,1.42712485442714,0.11773946666912,8.25011675074369
thresh_Weight_pop,4.5,,
beta_immuno_pop,1.30557468013315e-7,3.08608170313915e-8,23.6377263598924
omega_beta_N_pow,1.11888027824129,0.356099815717518,31.8264449416566
omega_delta_N,0.250377192695949,0.480619486373595,191.958173665301
a1,1.05561320527389,0.114800153884235,10.8752100969074
a2,1.06649031406037,0.241634955014767,22.657022931114
a3,1.19868637783455,0.11021825277088,9.19491993977535
a4,1.46749301811464,0.24970763127259,17.0159331724387
