id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_immuno_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_immuno_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_immuno_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,eta_beta_immuno_sd,Group
101,1.98234,0,0,0.117241,0,0,0,0,0,0,0,0,0,0,1.99872,0,0,0.119459,0,0,0,0,0,0,0,0,0,0,1.9668,0,0,0.157454,0,0,0,0,0,0,0,0,0,0,0.222068,0,0,0.11969,0,0,0,0,0,0,0,0,0,0,Naive
102,1.84424,0,0,-0.0278132,0,0,0,0,0,0,0,0,0,0,1.7985,0,0,-0.0407782,0,0,0,0,0,0,0,0,0,0,1.77902,0,0,0.00365123,0,0,0,0,0,0,0,0,0,0,0.222484,0,0,0.107834,0,0,0,0,0,0,0,0,0,0,Naive
103,0.914339,0,0,0.0554882,0,0,0,0,0,0,0,0,0,0,0.918975,0,0,0.0695645,0,0,0,0,0,0,0,0,0,0,0.885978,0,0,0.0446037,0,0,0,0,0,0,0,0,0,0,0.275416,0,0,0.145353,0,0,0,0,0,0,0,0,0,0,Naive
104,1.03135,0,0,-0.229752,0,0,0,0,0,0,0,0,0,0,1.0443,0,0,-0.256462,0,0,0,0,0,0,0,0,0,0,1.07391,0,0,-0.224128,0,0,0,0,0,0,0,0,0,0,0.35423,0,0,0.124792,0,0,0,0,0,0,0,0,0,0,Naive
105,0.709268,0,0,-0.066407,0,0,0,0,0,0,0,0,0,0,0.75335,0,0,-0.0378644,0,0,0,0,0,0,0,0,0,0,0.72647,0,0,-0.0525213,0,0,0,0,0,0,0,0,0,0,0.322143,0,0,0.152316,0,0,0,0,0,0,0,0,0,0,Naive
106,1.29803,0,0,-0.147955,0,0,0,0,0,0,0,0,0,0,1.33971,0,0,-0.140175,0,0,0,0,0,0,0,0,0,0,1.24774,0,0,-0.135822,0,0,0,0,0,0,0,0,0,0,0.468623,0,0,0.124691,0,0,0,0,0,0,0,0,0,0,Naive
201,0.284656,0,0,-0.0794308,0,0,0,0,0,0,0,0,0,0,0.310772,0,0,-0.0520224,0,0,0,0,0,0,0,0,0,0,0.319573,0,0,-0.0587679,0,0,0,0,0,0,0,0,0,0,0.313707,0,0,0.148347,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-0.465045,0,0,0.0547929,0,0,0,0,0,0,0,0,0,0,-0.463542,0,0,0.0600677,0,0,0,0,0,0,0,0,0,0,-0.458115,0,0,0.0502238,0,0,0,0,0,0,0,0,0,0,0.333238,0,0,0.163347,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-0.169032,0,0,0.0322444,0,0,0,0,0,0,0,0,0,0,-0.198506,0,0,0.0053605,0,0,0,0,0,0,0,0,0,0,-0.178831,0,0,0.0246588,0,0,0,0,0,0,0,0,0,0,0.349984,0,0,0.159578,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-0.265154,0,0,-0.0158515,0,0,0,0,0,0,0,0,0,0,-0.268229,0,0,0.0071102,0,0,0,0,0,0,0,0,0,0,-0.249908,0,0,-0.00890857,0,0,0,0,0,0,0,0,0,0,0.318894,0,0,0.155157,0,0,0,0,0,0,0,0,0,0,Convalescent
