parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.73246625904302,0.371839438421692,5.52307912308121
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.91589872601455,0.511015541762762,26.6723671154465
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,7863.17743726075,4628.32002533861,58.8606840207709
fact_P_T_pop,-2.52321480220147,0.381407414014801,15.1159312192536
alpha_VLSG_pop,1.35250861904682,0.120638966097344,8.91964490269682
thresh_Weight_pop,4.5,,
beta_immuno_pop,-6.7716875516815e-7,6.16305490439742e-7,91.012097905596
omega_beta_N_pow,1.08067183087221,0.252925413864113,23.404460691825
omega_delta_N,0.175313130483338,0.223637589109,127.564654451399
a1,1.05347214742262,0.107568440758617,10.2108481009004
a2,1.08055812383745,0.170172449107333,15.7485696838768
a3,1.20872896227137,0.110007520652108,9.10109082232867
a4,1.41914092177519,0.22027004788278,15.5213653910597
