time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6
1,101,26.9057,385.342,3211.6,746.719,746067,13.5116,14864.8,954.893,3431.44,8407.94,8.97471e+6,0.81866,832748,17.525,384.624,3225.62,724.76,724101,13.5112,14363.5,1016.06,3661.93,8590.81,9.19502e+6,0.818624,832748,26.9261,385.339,3149.39,712.519,711898,13.5116,14925,927.522,3349.58,7948.96,8.48887e+6,0.81866,832748
2,101,26.6483,19.2526,982.718,343.88,343608,2.67936e-8,13060.9,560.123,2018.91,6114.84,6.64943e+6,1.62301e-9,605524,17.3498,19.1953,992.144,334.89,334605,2.68006e-8,12456.9,591.005,2155.46,6259.95,6.82407e+6,1.6234e-9,605524,26.6825,19.2485,934.539,320.842,320590,2.67898e-8,13231.3,524.601,1893.9,5585.7,6.08533e+6,1.62278e-9,605524
3,101,26.559,0.979388,211.394,91.1815,91114.7,7.64457e-17,12065.2,296.38,996.062,3275.89,3.56776e+6,4.62975e-18,378300,17.2887,0.969989,214.829,89.2624,89189.7,7.64643e-17,11415.6,309.525,1057.72,3344.7,3.64957e+6,4.63075e-18,378300,26.6,0.977359,193.167,82.4662,82406.1,-3.95572e-16,12322.1,269.551,898.691,2879.39,3.14485e+6,-2.39749e-17,378300
4,101,26.538,0.053304,34.2914,17.9735,17961.2,3.65711e-23,11602.7,135.313,409.495,1457.37,1.59105e+6,2.21474e-24,151076,17.2743,0.0514203,35.1071,17.7029,17689.2,3.75259e-23,10936.9,139.862,431.053,1477.79,1.61598e+6,2.2725e-24,151076,26.5812,0.0526825,29.85,15.6459,15635.4,5.72586e-24,11912.5,119.342,355.627,1233.54,1.35148e+6,3.46415e-25,151076
6,101,26.5336,0.000288944,0.71705,0.427092,426.835,-2.07399e-30,11340.9,21.663,64.8422,231.812,253221,-1.2561e-31,203887,17.2712,0.000236648,0.745445,0.426495,426.187,-2.48313e-30,10669.6,21.9173,66.8341,230.427,252091,-1.50381e-31,203887,26.5775,0.000259321,0.562226,0.339122,338.924,4.5839e-32,11690.3,17.8941,52.5788,182.832,200526,2.77202e-33,203887
9,101,26.5335,6.29382e-7,0.00277982,0.00154843,1.5475,4.24494e-38,11294,1.49303,4.69888,16.452,17927,2.57088e-39,283103,17.2712,4.51566e-7,0.0029557,0.00158177,1.58062,5.60011e-38,10622.9,1.46264,4.6923,15.8431,17288.4,3.39147e-39,283103,26.5774,4.54084e-7,0.00187558,0.00105576,1.05514,3.29784e-40,11653.3,1.1187,3.45904,11.7683,12874.1,1.99461e-41,283103
14,101,26.5335,7.17706e-11,3.54256e-7,1.90583e-7,0.000190464,-2.4319e-48,11290.3,0.0210629,0.0671822,0.23416,254.967,-1.47293e-49,296957,17.2712,5.29846e-11,3.9084e-7,2.02086e-7,0.000201937,1.02225e-49,10619.3,0.0195813,0.0636764,0.214015,233.363,6.18957e-51,296957,26.5774,3.99327e-11,1.87512e-7,1.01595e-7,0.000101534,-3.09226e-58,11650.7,0.0134569,0.0421822,0.142845,156.145,-1.87041e-59,296957
20,101,26.5335,1.64947e-15,8.41756e-12,4.4548e-12,4.45199e-9,-8.11875e-57,11290.2,0.00013517,0.000435332,0.00151032,1.64384,-4.91749e-58,313581,17.2712,1.27305e-15,9.70627e-12,4.93767e-12,4.934e-9,2.45927e-58,10619.3,0.000118053,0.000387666,0.00129688,1.41351,1.48913e-59,313581,26.5774,6.85247e-16,3.33538e-12,1.77561e-12,1.77452e-9,-7.30352e-67,11650.7,7.13957e-5,0.000226037,0.00076182,0.832382,-4.41825e-68,313581
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049
1,102,24.1275,576.721,4648.37,1077.6,1.07662e+6,20.2673,20487.6,1288.1,4572.06,11153.6,1.19083e+7,1.12565,673531,36.4778,577.754,4714.54,1051.41,1.05048e+6,20.2675,21221.1,1164.09,4315.62,10160.2,1.08212e+7,1.12568,673531,46.9091,578.365,4573.5,1028.85,1.02797e+6,20.268,21654.8,1094.2,4024.54,9578.88,1.01889e+7,1.12571,673531
2,102,23.8788,28.78,1728.18,546.214,545739,4.28161e-8,18009.9,784.865,3161.01,8944.28,9.69347e+6,2.37746e-9,795014,36.1332,28.8575,1785.71,541.23,540787,4.28382e-8,19031.4,695.71,2936.23,8037.71,8.7002e+6,2.37873e-9,795014,46.4995,28.9047,1668.82,514.149,513752,4.28638e-8,19661.2,632.084,2636.5,7316.22,7.91678e+6,2.38018e-9,795014
3,102,23.7753,1.45905,614.111,201.753,201580,1.25915e-16,16381.8,507.155,2239.59,6383.69,6.88267e+6,6.99033e-18,916496,35.9873,1.47372,646.86,203.544,203382,1.26358e-16,17587.5,450.046,2061.67,5664.15,6.10687e+6,7.01503e-18,916496,46.3315,1.4813,581.435,186.466,186328,1.25824e-16,18376.6,399.185,1795.78,4986.6,5.37922e+6,6.98547e-18,916496
