id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group
101,-4.62935,0,0,2.20723,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-4.61538,0,0,2.22259,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-4.63964,0,0,2.25257,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.204575,0,0,0.222058,0,0,0,0,0,0,0,0,0,0,Naive
102,-4.90746,0,0,2.21265,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-4.91289,0,0,2.16882,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-5.0779,0,0,2.25011,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.29763,0,0,0.255329,0,0,0,0,0,0,0,0,0,0,Naive
103,-5.87477,0,0,2.21482,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-5.82185,0,0,2.24101,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-5.87192,0,0,2.16743,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.34045,0,0,0.342436,0,0,0,0,0,0,0,0,0,0,Naive
104,-5.61806,0,0,1.59351,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-5.60461,0,0,1.57601,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-5.5805,0,0,1.59432,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.239389,0,0,0.155941,0,0,0,0,0,0,0,0,0,0,Naive
105,-6.16427,0,0,1.9977,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-6.12119,0,0,2.03496,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-6.13578,0,0,1.99552,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.324735,0,0,0.307223,0,0,0,0,0,0,0,0,0,0,Naive
106,-5.53012,0,0,1.99326,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-5.51633,0,0,2.04147,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-5.54177,0,0,2.00615,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.350674,0,0,0.256868,0,0,0,0,0,0,0,0,0,0,Naive
201,-6.44813,0,0,1.99121,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-6.43889,0,0,2.00628,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-6.40638,0,0,1.99731,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.302398,0,0,0.277263,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-7.08212,0,0,2.18076,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-7.0578,0,0,2.1624,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-7.0579,0,0,2.14214,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.314616,0,0,0.337077,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-6.93865,0,0,2.16111,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-6.94762,0,0,2.1086,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-6.92707,0,0,2.11639,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.322006,0,0,0.323665,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-6.91108,0,0,2.05183,3,20,3,0,0.001,8113.03,-2.50054,1.36437,4.5,-5.75955e-7,-6.86301,0,0,2.04073,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,-6.871,0,0,2.01825,3,20,3,0,0.001,7802.62,-2.50434,1.35882,4.5,-5.82422e-7,0.313662,0,0,0.274698,0,0,0,0,0,0,0,0,0,0,Convalescent
