rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-4.52348408984684,0,0,2.19216509527625,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,101,-4.56835389679608,0,0,2.39959127866609,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,101,-4.73083429818374,0,0,2.14285973904073,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,101,-4.76625602078767,0,0,2.52057398586998,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,101,-4.4831000448045,0,0,2.18237843751392,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,101,-4.23182176857418,0,0,2.397255746479,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
7,101,-4.65921148660564,0,0,2.71947450765479,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,101,-4.57371703992589,0,0,2.1061544812009,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
9,101,-4.28531875661371,0,0,2.23779667782117,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,101,-4.67195050972434,0,0,2.4914389256092,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
1,102,-4.61821612730336,0,0,1.89094737032598,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,102,-4.8042809415255,0,0,1.98707583782632,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,102,-4.77210754586083,0,0,2.34919376185366,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,102,-4.5667508216841,0,0,2.0323119676238,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,102,-5.21282186334687,0,0,1.97793888227635,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,102,-5.08365176334211,0,0,1.99050127634549,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
7,102,-4.48533203974419,0,0,1.79932625658478,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,102,-5.19464416324094,0,0,1.85180335552127,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
