time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,154557
1,101,3.38286,382.138,1992.53,543.769,543238,13.5112,12656.8,1162.99,2944.31,7790.48,8.45807e+6,0.818594,237367,2.6309,381.823,1979.29,518.676,518167,13.5124,12444.3,1172.69,2987.22,7621.9,8.28725e+6,0.818661,237367,4.05317,382.373,1950.25,513.359,512860,13.5111,12930,1104.34,2807.39,7217.19,7.83553e+6,0.818587,237367
2,101,3.35512,19.0322,410.053,176.531,176361,2.68076e-8,10954.3,513.617,1394.62,4415.86,4.90033e+6,1.62371e-9,320177,2.6097,19.015,404.442,167.451,167289,2.67874e-8,10765.2,506.048,1387.37,4249.55,4.72602e+6,1.62247e-9,320177,4.02274,19.0445,391.228,163.577,163422,2.68056e-8,11369.1,470.738,1278.52,3945.11,4.38765e+6,1.62359e-9,320177
3,101,3.34802,0.949122,73.8582,36.473,36438.5,-3.57863e-16,10169.2,233.569,677.016,2173.96,2.40391e+6,-2.16125e-17,402987,2.6043,0.94789,72.3369,34.3865,34353.6,-6.52217e-15,10004.4,225.934,661.184,2053.49,2.27591e+6,-3.94939e-16,402987,4.0151,0.949847,68.5335,33.0312,33000.2,9.16118e-14,10665.4,208.87,602.484,1878.35,2.08395e+6,5.54862e-15,402987
4,101,3.34663,0.0475532,13.6644,6.85738,6850.92,-1.29754e-21,9804.15,109.281,335.019,1072.96,1.181e+6,-7.83647e-23,485797,2.60324,0.0474186,13.2964,6.42392,6417.79,-2.67952e-20,9656.55,103.938,321.783,996.103,1.09888e+6,-1.62259e-21,485797,4.01363,0.0476,12.3273,6.05051,6044.88,-1.63792e-22,10345.3,95.6151,291.075,902.657,997214,-9.92181e-24,485797
6,101,3.34632,0.000130957,0.443506,0.23245,232.231,-1.81964e-29,9544.32,25.0046,75.8354,250.171,274901,-1.09894e-30,385481,2.60301,0.000127301,0.425562,0.214904,214.7,-5.31672e-28,9414.05,23.0505,70.5165,224.832,247635,-3.21959e-29,385481,4.01332,0.000131001,0.376902,0.19379,193.61,7.38875e-31,10123.3,21.0249,63.0931,201.272,222075,4.47478e-32,385481
9,101,3.34631,8.45713e-8,0.00174345,0.0010368,1.03583,-1.48454e-36,9480.15,2.26735,6.4143,21.9802,24223.3,-8.96516e-38,235006,2.603,6.56216e-8,0.0016276,0.000935188,0.934304,-2.58224e-35,9356.2,1.99084,5.66965,18.7882,20758.2,-1.56353e-36,235006,4.01331,7.8444e-8,0.0013375,0.000785805,0.785083,-3.75142e-38,10070.9,1.79201,5.00159,16.5788,18352.4,-2.27214e-39,235006
14,101,3.34631,4.80144e-12,9.68056e-8,6.31271e-8,6.30688e-5,-8.33293e-48,9474.57,0.0292501,0.079848,0.277801,306.744,-5.03375e-49,177866,2.603,3.33729e-12,8.55224e-8,5.40271e-8,5.39764e-5,9.03832e-46,9351.43,0.0235432,0.064638,0.217537,240.839,5.47335e-47,177866,4.01331,3.68876e-12,6.15526e-8,3.99287e-8,3.98925e-5,6.72123e-50,10066.6,0.0207127,0.0557245,0.187583,208.088,4.0709e-51,177866
20,101,3.34631,2.85918e-17,4.92139e-13,3.47774e-13,3.47455e-10,-4.63118e-57,9474.5,0.00012653,0.00033315,0.00117917,1.30439,-2.79832e-58,109298,2.603,1.85635e-17,4.04436e-13,2.77517e-13,2.77258e-10,8.7561e-55,9351.37,9.14113e-5,0.000241857,0.000828394,0.918886,5.30299e-56,109298,4.01331,1.74979e-17,2.46515e-13,1.74296e-13,1.74139e-10,1.26571e-59,10066.6,7.82014e-5,0.000202723,0.000694548,0.771977,7.66592e-61,109298
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.65162e+6
1,102,25.3991,576.867,5766.55,1288.24,1.28706e+6,20.2672,20419,1357.9,5515.64,12760.4,1.35868e+7,1.12565,1.51619e+6,27.4075,577.054,5867.82,1249.06,1.24792e+6,20.2673,20603.4,1313.23,5509.34,12243.3,1.3031e+7,1.12566,1.51619e+6,183.661,579.945,5681.59,1212.72,1.21201e+6,20.2668,23887.4,815.436,3761.26,8637.79,9.07401e+6,1.1257,1.51619e+6
2,102,25.0665,28.8128,2486.74,758.151,757491,4.28103e-8,17467.7,943.689,4201.75,11539.2,1.24447e+7,2.37715e-9,1.38075e+6,27.0608,28.8265,2594.13,749.828,749180,4.28196e-8,17766.5,909.429,4206.49,11099.2,1.19712e+7,2.37768e-9,1.38075e+6,182.127,29.2998,2439.46,713.553,713290,4.2855e-8,22303.3,510.409,2589.83,7151.73,7.63606e+6,2.3799e-9,1.38075e+6
3,102,24.9115,1.47424,893.282,299.068,298814,1.28823e-16,15444.9,625.758,2882.61,8329.13,8.94465e+6,7.1519e-18,1.24532e+6,26.8956,1.47777,958.735,303.374,303118,1.29192e-16,15803.5,608.177,2901.68,8041.41,8.63966e+6,7.17241e-18,1.24532e+6,181.412,1.64123,869.524,279.787,279712,1.30873e-16,21229.4,331.775,1651.17,4733.1,5.05889e+6,7.26667e-18,1.24532e+6
4,102,24.8544,0.0875327,291.196,102.9,102814,3.87467e-25,14196.5,382.676,1787.41,5389.88,5.76672e+6,2.15075e-26,1.10989e+6,26.8331,0.0891441,322.189,107.396,107307,3.91252e-25,14579.6,375.817,1815.3,5242.34,5.61248e+6,2.17176e-26,1.10989e+6,181.15,0.146413,280.719,95.4567,95436.1,4.39975e-25,20572.8,201.181,977.574,2888.82,3.08687e+6,2.44256e-26,1.10989e+6
6,102,24.8293,0.00193385,30.6117,10.7554,10746.4,4.00916e-38,13049.5,129.323,650.719,1979.18,2.1064e+6,2.22527e-39,1.23451e+6,26.8047,0.00222144,36.0099,11.9295,11919.6,-5.5958e-38,13437.2,129.941,675.128,1964.72,2.09257e+6,-3.10581e-39,1.23451e+6,181.036,0.00808999,28.9396,9.7842,9782.32,5.45577e-33,19972.3,67.6356,341.03,1001.31,1.06788e+6,3.02891e-34,1.23451e+6
9,102,24.8264,7.14039e-5,1.39248,0.461866,461.475,8.28768e-47,12550.9,29.6659,162.969,486.464,515614,4.59873e-48,1.42145e+6,26.8012,9.09407e-5,1.78711,0.559914,559.445,-1.00851e-45,12927.3,30.8501,174.898,499.539,529859,-5.59754e-47,1.42145e+6,181.023,0.000313134,1.28565,0.409793,409.696,-8.25693e-41,19711,15.6097,84.463,241.655,257008,-4.58546e-42,1.42145e+6
14,102,24.8263,3.83779e-7,0.00645563,0.0023308,2.32885,1.95962e-55,12405.3,2.51164,12.6775,39.8783,42347.5,1.08738e-56,1.09068e+6,26.801,5.65123e-7,0.00961459,0.00327121,3.2685,-5.11484e-60,12772.4,2.7678,14.4386,43.4325,46154.1,-2.9307e-61,1.09068e+6,181.023,1.61638e-6,0.00570421,0.00198296,1.98259,-1.70615e-49,19633.9,1.3426,6.62922,19.96,21281.2,-9.47491e-51,1.09068e+6
20,102,24.8263,1.88049e-10,2.26026e-6,9.69604e-7,0.000968822,3.0911e-65,12395.6,0.0488189,0.209765,0.714313,762.368,1.71458e-66,693761,26.801,3.3535e-10,4.12035e-6,1.65637e-6,0.00165505,-3.31266e-69,12761.4,0.057896,0.257413,0.837771,894.772,-1.89767e-70,693761,181.023,7.35161e-10,1.83657e-6,7.62257e-7,0.00076223,3.10733e-59,19628.7,0.0262201,0.109944,0.358604,384.44,1.72557e-60,693761
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411
