parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.85720430125294,2.06682116514741,30.1408719114547
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.77165383377099,5.01872760244154,283.27924489397
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,10126.2605708232,10654.6244984178,105.217759546076
fact_P_T_pop,-2.51068660655337,0.521615648213536,20.7758167368249
alpha_VLSG_pop,1.42053507041004,0.127833568785741,8.99897309461299
thresh_Weight_pop,4.5,,
beta_immuno_pop,-1.01654320348335e-7,2.83138473213615e-7,278.530683441093
omega_beta_N_pow,1.11334547438574,1.3551298550197,121.716923111162
omega_delta_N,0.262579551590235,2.60991313731659,993.951403112097
a1,1.05905570630829,0.155331666440534,14.6669967892432
a2,1.06757232916022,0.500169929964038,46.8511515615514
a3,1.1925993005773,0.124500009694593,10.4393830882113
a4,1.49065627637712,0.230396356381307,15.4560350385577
