beta_N_pow_pop,1,-0.54282,-0.45878,-0.098933,-0.72264,0.36586,-0.13964,0.19054,-0.096627,-0.33837,0.14809,-0.36468
beta_beta_N_pow_groupVsnaive_G_conv,-0.54282,1,0.43125,0.33042,0.32555,-0.27726,-0.025212,0.16435,0.074557,-0.0036016,-0.10463,0.14018
beta_beta_N_pow_groupVsnaive_G_convCD40,-0.45878,0.43125,1,0.083572,0.14743,-0.30449,-0.090886,0.040725,-0.055537,-0.011842,-0.1039,-0.003093
delta_N_pop,-0.098933,0.33042,0.083572,1,0.4431,0.040118,-0.18895,0.4809,0.21611,0.26649,-0.023684,0.19163
P_N_pop,-0.72264,0.32555,0.14743,0.4431,1,-0.40492,0.072134,-0.058535,0.21521,0.48733,-0.19013,0.42403
fact_P_T_pop,0.36586,-0.27726,-0.30449,0.040118,-0.40492,1,-0.030125,0.11374,-0.14738,-0.032699,0.16847,-0.083408
omega_beta_N_pow,-0.13964,-0.025212,-0.090886,-0.18895,0.072134,-0.030125,1,-0.24487,-0.016651,0.051314,-0.054124,0.075473
omega_delta_N,0.19054,0.16435,0.040725,0.4809,-0.058535,0.11374,-0.24487,1,-0.052942,-0.065122,0.059071,-0.0094265
a1,-0.096627,0.074557,-0.055537,0.21611,0.21521,-0.14738,-0.016651,-0.052942,1,0.13708,-0.02607,0.088323
a2,-0.33837,-0.0036016,-0.011842,0.26649,0.48733,-0.032699,0.051314,-0.065122,0.13708,1,-0.047567,0.25207
a3,0.14809,-0.10463,-0.1039,-0.023684,-0.19013,0.16847,-0.054124,0.059071,-0.02607,-0.047567,1,-0.040096
a4,-0.36468,0.14018,-0.003093,0.19163,0.42403,-0.083408,0.075473,-0.0094265,0.088323,0.25207,-0.040096,1
