id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,Group,groupVsnaive
101,-4.74712,0,0,1.69133,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-4.75371,0,0,1.7042,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-4.77163,0,0,1.71137,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.187213,0,0,0.217201,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,-4.88678,0,0,1.23162,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-4.87073,0,0,1.22592,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-4.90123,0,0,1.24769,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.173464,0,0,0.13834,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-5.41721,0,0,2.00303,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-5.46146,0,0,1.95034,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-5.42498,0,0,1.94061,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.211045,0,0,0.283711,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-5.47026,0,0,1.34129,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-5.48709,0,0,1.32599,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-5.45569,0,0,1.34313,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.172765,0,0,0.138981,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-5.53411,0,0,1.87022,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-5.52941,0,0,1.88543,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-5.50568,0,0,1.87034,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.219871,0,0,0.287339,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-5.32626,0,0,1.41364,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-5.33615,0,0,1.41925,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-5.31808,0,0,1.41661,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.194573,0,0,0.165111,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,-6.75904,0,0,1.46175,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-6.74732,0,0,1.45137,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-6.73814,0,0,1.44951,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.222832,0,0,0.243641,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-7.12875,0,0,1.79924,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-7.12458,0,0,1.80195,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-7.10876,0,0,1.78548,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.237081,0,0,0.325507,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-7.02816,0,0,1.69733,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-6.9959,0,0,1.68677,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-6.99881,0,0,1.68515,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.232684,0,0,0.275737,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-7.05138,0,0,1.66555,3,20,3,0,0.001,6764.45,-2.30564,1.33,4.5,-7.06549,0,0,1.65281,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,-7.03847,0,0,1.63937,3,20,3,0,0.001,6728.34,-2.31084,1.33,4.5,0.24686,0,0,0.249762,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
