parameter,value,se_sa,rse_sa
beta_N_pow_pop,-5.22522359568038,0.2496152371264,4.77712068307955
beta_beta_N_pow_groupVsnaive_G_conv,-1.79883334418216,0.290037436544516,16.1236413302302
beta_beta_N_pow_groupVsnaive_G_convCD40,-2.77591878474928,0.288755431723561,10.4021570555293
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.62952562804352,0.223711933031926,13.7286538598675
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,6728.34220247181,3432.06249680095,51.0090360080096
fact_P_T_pop,-2.31083560775043,0.392769773398093,16.9968721306164
alpha_VLSG_pop,1.33,,
thresh_Weight_pop,4.5,,
omega_beta_N_pow,0.298890302344378,0.0969288648352686,32.4295783687181
omega_delta_N,0.202102212020079,0.0909165319305852,44.9854214963034
a1,1.05870395026279,0.109515470286758,10.3442959912991
a2,1.05808070728864,0.173305359708984,16.3792193275203
a3,1.20930227195579,0.107468521314792,8.88682042587957
a4,1.37093627200193,0.210359738553939,15.3442390321148
