id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,Group,groupVsnaive
101,-4.74683,0,0,1.60557,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-4.74292,0,0,1.62453,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-4.78222,0,0,1.61537,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.204461,0,0,0.199624,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,-4.85232,0,0,1.22949,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-4.87504,0,0,1.21523,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-4.88412,0,0,1.23582,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.171685,0,0,0.128336,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-5.47381,0,0,1.81362,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-5.5206,0,0,1.75752,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-5.49174,0,0,1.76076,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.214918,0,0,0.227853,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-5.48095,0,0,1.31808,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-5.49854,0,0,1.29946,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-5.46405,0,0,1.31754,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.185301,0,0,0.141433,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-5.60301,0,0,1.70122,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-5.62457,0,0,1.69969,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-5.59388,0,0,1.69727,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.215392,0,0,0.22748,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-5.31634,0,0,1.38356,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-5.31958,0,0,1.38889,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-5.32008,0,0,1.38531,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.18826,0,0,0.144197,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,-6.67367,0,0,1.55948,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-6.65882,0,0,1.57115,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-6.64183,0,0,1.56228,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.220244,0,0,0.23841,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-7.06917,0,0,1.8661,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-7.07506,0,0,1.87956,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-7.05688,0,0,1.85378,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.257483,0,0,0.303071,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-6.95046,0,0,1.78469,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-6.93003,0,0,1.76319,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-6.93454,0,0,1.7722,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.220226,0,0,0.25321,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-6.9778,0,0,1.75872,3,20,3,0,0.001,6378.93,-2.31813,1.33,4.5,-6.97787,0,0,1.75558,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,-6.96949,0,0,1.73385,3,20,3,0,0.001,6410.5,-2.3256,1.33,4.5,0.249622,0,0,0.234711,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
