id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group,groupVsnaive
101,0.489882,0,0,0.0670936,0,0,0,0,0,0,0,0,0,0.499123,0,0,0.0794238,0,0,0,0,0,0,0,0,0,0.459828,0,0,0.0812074,0,0,0,0,0,0,0,0,0,0.204461,0,0,0.121647,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,0.384395,0,0,-0.197914,0,0,0,0,0,0,0,0,0,0.367002,0,0,-0.209196,0,0,0,0,0,0,0,0,0,0.357928,0,0,-0.186619,0,0,0,0,0,0,0,0,0,0.171685,0,0,0.108533,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-0.237095,0,0,0.18693,0,0,0,0,0,0,0,0,0,-0.27856,0,0,0.157195,0,0,0,0,0,0,0,0,0,-0.249696,0,0,0.16739,0,0,0,0,0,0,0,0,0,0.214918,0,0,0.129328,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-0.244237,0,0,-0.129736,0,0,0,0,0,0,0,0,0,-0.2565,0,0,-0.14224,0,0,0,0,0,0,0,0,0,-0.222002,0,0,-0.122592,0,0,0,0,0,0,0,0,0,0.185301,0,0,0.107725,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-0.366295,0,0,0.121583,0,0,0,0,0,0,0,0,0,-0.38253,0,0,0.123029,0,0,0,0,0,0,0,0,0,-0.351834,0,0,0.130665,0,0,0,0,0,0,0,0,0,0.215392,0,0,0.13538,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-0.0796248,0,0,-0.0812053,0,0,0,0,0,0,0,0,0,-0.0775373,0,0,-0.0752728,0,0,0,0,0,0,0,0,0,-0.0780334,0,0,-0.0724271,0,0,0,0,0,0,0,0,0,0.18826,0,0,0.104401,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,0.289335,0,0,-0.11788,0,0,0,0,0,0,0,0,0,0.300988,0,0,-0.11864,0,0,0,0,0,0,0,0,0,0.31797,0,0,-0.11226,0,0,0,0,0,0,0,0,0,0.220244,0,0,0.157295,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-0.106166,0,0,0.0601844,0,0,0,0,0,0,0,0,0,-0.115253,0,0,0.0595664,0,0,0,0,0,0,0,0,0,-0.0970797,0,0,0.0588188,0,0,0,0,0,0,0,0,0,0.257483,0,0,0.162353,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,0.0125383,0,0,0.0157618,0,0,0,0,0,0,0,0,0,0.0297759,0,0,-0.00148625,0,0,0,0,0,0,0,0,0,0.0252644,0,0,0.0138159,0,0,0,0,0,0,0,0,0,0.220226,0,0,0.142789,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-0.0147956,0,0,0.000770025,0,0,0,0,0,0,0,0,0,-0.0180645,0,0,-0.00426121,0,0,0,0,0,0,0,0,0,-0.00968776,0,0,-0.00806209,0,0,0,0,0,0,0,0,0,0.249622,0,0,0.130906,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-0.0311407,0,0,-0.0457867,0,0,0,0,0,0,0,0,0,-0.0450663,0,0,-0.0540777,0,0,0,0,0,0,0,0,0,-0.0296798,0,0,-0.0499763,0,0,0,0,0,0,0,0,0,0.232682,0,0,0.132793,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-0.123738,0,0,0.110672,0,0,0,0,0,0,0,0,0,-0.102309,0,0,0.116115,0,0,0,0,0,0,0,0,0,-0.11401,0,0,0.114158,0,0,0,0,0,0,0,0,0,0.248391,0,0,0.157253,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,0.0495447,0,0,0.0153039,0,0,0,0,0,0,0,0,0,0.0275484,0,0,0.00923066,0,0,0,0,0,0,0,0,0,0.0436891,0,0,0.015488,0,0,0,0,0,0,0,0,0,0.25203,0,0,0.157467,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
302,-0.161807,0,0,0.068892,0,0,0,0,0,0,0,0,0,-0.157166,0,0,0.0633538,0,0,0,0,0,0,0,0,0,-0.164928,0,0,0.0727599,0,0,0,0,0,0,0,0,0,0.259096,0,0,0.172273,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
303,-0.00937307,0,0,0.0210387,0,0,0,0,0,0,0,0,0,-0.00578018,0,0,0.0230511,0,0,0,0,0,0,0,0,0,-0.00674373,0,0,0.0204729,0,0,0,0,0,0,0,0,0,0.235252,0,0,0.15855,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
304,0.192209,0,0,-0.12361,0,0,0,0,0,0,0,0,0,0.187937,0,0,-0.132244,0,0,0,0,0,0,0,0,0,0.191061,0,0,-0.128982,0,0,0,0,0,0,0,0,0,0.23636,0,0,0.157864,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
305,-0.0141433,0,0,0.0405327,0,0,0,0,0,0,0,0,0,-0.0345014,0,0,0.0459551,0,0,0,0,0,0,0,0,0,-0.0215562,0,0,0.04013,0,0,0,0,0,0,0,0,0,0.274875,0,0,0.153358,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
306,-0.0609329,0,0,-0.00643192,0,0,0,0,0,0,0,0,0,-0.0231428,0,0,0.00832769,0,0,0,0,0,0,0,0,0,-0.0530311,0,0,-0.0115961,0,0,0,0,0,0,0,0,0,0.274283,0,0,0.169047,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
