rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
1,101,-4.70555355650631,0,0,1.70676343166861,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,101,-4.58082986583576,0,0,2.06730065271326,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,101,-4.63218673672864,0,0,1.82416879200269,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,101,-4.94134354691483,0,0,1.64408471656631,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,101,-4.61601477574722,0,0,1.74010605474308,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,101,-4.28010576035807,0,0,2.051183041793,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,101,-4.571354226488,0,0,2.02331110445368,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,101,-4.73504329632345,0,0,1.93329012925611,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,101,-4.68369716491227,0,0,1.65659886073243,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,101,-4.82660846336365,0,0,1.57945972201917,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,102,-4.63551535479275,0,0,1.15818102364075,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,102,-5.21328500434723,0,0,1.08111392232448,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,102,-4.60262058878563,0,0,1.25487708188433,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,102,-4.72814146340477,0,0,1.27647806124509,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,102,-4.95096218933605,0,0,1.02614473743067,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,102,-4.91010220067231,0,0,1.33929703216792,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,102,-4.62365730955814,0,0,1.05106635678083,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,102,-5.00131850101145,0,0,1.02237140355798,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,102,-4.9639373310666,0,0,1.17240500101841,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,102,-5.09933727677935,0,0,1.40123572974447,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,103,-5.53828543478133,0,0,1.80857239878001,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,103,-5.41837012297323,0,0,2.10095800195023,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,103,-5.42563758628363,0,0,1.67455328782858,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,103,-5.81768838509005,0,0,1.54322865781318,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,103,-5.41764270682678,0,0,1.65031299025683,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,103,-5.54374186320159,0,0,1.5065623408959,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,103,-5.39509680030733,0,0,1.99193597725271,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,103,-5.26791241937465,0,0,2.05818771240047,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,103,-5.11787583798472,0,0,1.75497062978328,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,103,-5.25925509581506,0,0,1.65768360333275,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,104,-5.25340745822425,0,0,1.41710101691858,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,104,-5.53351645538678,0,0,1.26789556817797,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,104,-5.52064486027656,0,0,1.34256430753931,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,104,-5.27520964773459,0,0,1.20213496802477,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,104,-5.3440053121846,0,0,1.46523061174097,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,104,-5.57197602685931,0,0,1.3637264238754,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,104,-5.65110606810344,0,0,1.23322723772827,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,104,-5.82893273478798,0,0,1.38053576882852,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,104,-5.34755584152832,0,0,1.45507158009827,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,104,-5.10029494688556,0,0,1.39173573639068,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,105,-5.31410227908248,0,0,1.96473051821648,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,105,-5.46816420795835,0,0,1.5167494531504,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,105,-5.68101381986459,0,0,1.81681381808473,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,105,-5.68931947134062,0,0,1.60186854499626,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,105,-5.64802272498199,0,0,1.71076881929407,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,105,-5.51774707405868,0,0,1.87905556458164,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,105,-5.78957238332776,0,0,1.79433955024968,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,105,-5.80678375557928,0,0,1.62532385779797,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,105,-5.52024918546218,0,0,1.81031580634199,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,105,-5.66453845561687,0,0,1.61776313835933,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,106,-5.57701590946022,0,0,1.2168548600652,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,106,-5.44880911802476,0,0,1.17260955068151,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
