time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,101,20.9989,384.915,2459.29,593.494,592965,13.5125,14961.2,809.128,2695.04,5537.23,5.94751e+6,0.818706,19.9123,384.826,2431.33,587.461,586936,13.5125,14897.3,817.068,2690.4,5566.35,5.98164e+6,0.818709,33.2635,385.662,2443.82,588.839,588344,13.513,15514.8,738.917,2489.2,5178.05,5.54408e+6,0.818748
2,101,20.8453,19.2024,618.859,227.186,227000,2.67576e-8,13819.8,350.876,1257.04,3173.62,3.50143e+6,1.62078e-9,19.7676,19.1957,602.607,222.343,222160,2.67573e-8,13748.7,352.642,1245.54,3167.57,3.497e+6,1.62076e-9,33.0413,19.2568,610.493,224.335,224171,2.67439e-8,14496,313.589,1136.7,2916.69,3.20878e+6,1.61999e-9
3,101,20.7993,0.966469,130.507,54.9067,54864.4,3.02394e-17,13275.9,161.307,582.108,1501.02,1.6597e+6,1.83131e-18,19.7247,0.965408,124.897,52.9695,52928.2,-5.89328e-15,13205.5,160.992,572.766,1487.89,1.64625e+6,-3.56986e-16,32.9751,0.973745,127.621,53.8342,53798.4,2.34853e-17,14015.3,142.367,517.356,1353.63,1.49359e+6,1.42223e-18
4,101,20.7888,0.0504253,26.5206,11.6836,11674.8,5.33679e-25,13029.2,73.2759,267.139,693.901,766361,3.23693e-26,19.7151,0.0501734,24.9192,11.0857,11077.3,1.87329e-21,12960.8,72.6268,261.003,683.031,754853,1.13453e-22,32.9601,0.0517688,25.6938,11.3596,11352.4,-1.97879e-24,13800,63.8583,233.976,615.872,679005,-1.1978e-25
6,101,20.7862,0.000245444,1.07366,0.482381,482.026,-3.57378e-38,12866.4,15.0926,55.4218,144.715,159647,-2.16756e-39,19.7127,0.00023098,0.971566,0.441316,440.988,2.62702e-33,12800.8,14.752,53.3914,140.455,155052,1.59078e-34,32.9564,0.000297272,1.0205,0.460407,460.126,-4.56463e-36,13660.2,12.8274,47.2764,124.973,137663,-2.76278e-37
9,101,20.7861,1.05975e-6,0.00870059,0.00391654,3.91367,-7.52236e-54,12828.2,1.41034,5.18777,13.5631,14958.4,-4.56365e-55,19.7126,8.91072e-7,0.00743814,0.00338579,3.38328,3.11813e-48,12763.7,1.34996,4.89388,12.8901,14225.8,1.88842e-49,32.9562,1.441e-6,0.00803465,0.0036322,3.62999,-2.59209e-51,13628.3,1.15473,4.26155,11.2765,12418.8,-1.56915e-52
14,101,20.7861,3.41729e-10,2.84362e-6,1.2801e-6,0.00127916,-7.71059e-82,12824.3,0.0271365,0.0998358,0.261047,287.895,-4.67615e-83,19.7126,2.60672e-10,2.21111e-6,1.00654e-6,0.00100579,-3.21982e-76,12760.1,0.025084,0.0909492,0.239583,264.402,-1.94933e-77,32.9562,4.44472e-10,2.50264e-6,1.13141e-6,0.00113073,-3.52539e-79,13625.2,0.0208789,0.0770638,0.203937,224.591,-2.13334e-80
20,101,20.7861,2.2426e-14,1.86615e-10,8.40078e-11,8.39462e-8,9.21051e-115,12824.2,0.000236932,0.00087168,0.00227924,2.51366,5.59076e-116,19.7126,1.52662e-14,1.29495e-10,5.89484e-11,5.89047e-8,1.23212e-107,12760,0.000210028,0.00076152,0.00200604,2.21385,7.45792e-109,32.9562,2.75324e-14,1.55025e-10,7.00849e-11,7.00424e-8,2.17731e-111,13625.1,0.000169189,0.000624476,0.00165258,1.81995,1.31801e-112
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
