id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group,groupVsnaive
101,1.54166,0,0,0.0971881,0,0,0,0,0,0,0,0,0,1.53217,0,0,0.0813227,0,0,0,0,0,0,0,0,0,1.39171,0,0,0.0939695,0,0,0,0,0,0,0,0,0,0.307396,0,0,0.0917873,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,1.50016,0,0,-0.0632539,0,0,0,0,0,0,0,0,0,1.48556,0,0,-0.0598108,0,0,0,0,0,0,0,0,0,1.44831,0,0,-0.0377784,0,0,0,0,0,0,0,0,0,0.191795,0,0,0.085695,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,0.298028,0,0,0.0698599,0,0,0,0,0,0,0,0,0,0.30195,0,0,0.0655245,0,0,0,0,0,0,0,0,0,0.280696,0,0,0.0503316,0,0,0,0,0,0,0,0,0,0.272555,0,0,0.113073,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,0.592859,0,0,-0.0554478,0,0,0,0,0,0,0,0,0,0.626658,0,0,-0.0545096,0,0,0,0,0,0,0,0,0,0.627498,0,0,-0.0482525,0,0,0,0,0,0,0,0,0,0.210887,0,0,0.0902279,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,0.0485168,0,0,0.0036359,0,0,0,0,0,0,0,0,0,0.0653632,0,0,0.00864711,0,0,0,0,0,0,0,0,0,0.0463542,0,0,0.00405016,0,0,0,0,0,0,0,0,0,0.283465,0,0,0.112486,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,0.75904,0,0,-0.0273164,0,0,0,0,0,0,0,0,0,0.792273,0,0,-0.0273626,0,0,0,0,0,0,0,0,0,0.791153,0,0,-0.0143563,0,0,0,0,0,0,0,0,0,0.273438,0,0,0.0962613,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,0.104007,0,0,-0.0498535,0,0,0,0,0,0,0,0,0,0.153038,0,0,-0.0292679,0,0,0,0,0,0,0,0,0,0.131858,0,0,-0.0386102,0,0,0,0,0,0,0,0,0,0.26514,0,0,0.107041,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-0.575741,0,0,0.0283159,0,0,0,0,0,0,0,0,0,-0.625897,0,0,0.00611264,0,0,0,0,0,0,0,0,0,-0.578632,0,0,0.0180966,0,0,0,0,0,0,0,0,0,0.319171,0,0,0.110291,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-0.346333,0,0,0.0122409,0,0,0,0,0,0,0,0,0,-0.362752,0,0,-0.00139396,0,0,0,0,0,0,0,0,0,-0.33451,0,0,0.00443467,0,0,0,0,0,0,0,0,0,0.306359,0,0,0.100096,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-0.391553,0,0,0.00395231,0,0,0,0,0,0,0,0,0,-0.397723,0,0,-0.0107417,0,0,0,0,0,0,0,0,0,-0.38423,0,0,-0.00831868,0,0,0,0,0,0,0,0,0,0.31514,0,0,0.0941563,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
