rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
1,101,-4.92725746030376,0,0,1.37666831850241,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
2,101,-4.79262549893245,0,0,1.3648292984005,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
3,101,-5.12710083976695,0,0,1.16601673992978,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
4,101,-5.03001208204238,0,0,1.50062690907027,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
5,101,-4.69920560900684,0,0,1.50126968063947,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
6,101,-4.51632506523204,0,0,1.39056173166374,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
7,101,-5.1666469350352,0,0,1.33951059249468,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
8,101,-4.532349658984,0,0,1.3537699323686,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
9,101,-4.35356389974349,0,0,1.44154823752143,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
10,101,-4.67346302538434,0,0,1.87116592114665,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
1,102,-4.85651627842404,0,0,1.23050378512151,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
2,102,-4.79754498255844,0,0,1.19182258767673,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
3,102,-4.7502448116646,0,0,1.06704332570388,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
4,102,-4.37364279844888,0,0,0.991106196455721,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
5,102,-5.23399259457277,0,0,1.14247697781998,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
6,102,-4.82372607702509,0,0,1.128227206464,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
7,102,-4.71352298996041,0,0,1.21167890075835,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
