rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
1,101,1.41303395209248,0,0,0.0882435049081671,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,101,1.54766591346378,0,0,0.079606551423276,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,101,1.21319057262929,0,0,-0.0778293687363075,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,101,1.31027933035386,0,0,0.174460146899375,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,101,1.6410858033894,0,0,0.174888390551227,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,101,1.8239663471642,0,0,0.0982849757291537,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,101,1.17364447736104,0,0,0.0608815044920787,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,101,1.80794175341223,0,0,0.0714704297660244,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,101,1.98672751265275,0,0,0.134294887680841,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,101,1.6668283870119,0,0,0.39513891054664,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,102,1.48377513397219,0,0,-0.0239991463482702,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,102,1.5427464298378,0,0,-0.0559390915522935,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,102,1.59004660073164,0,0,-0.166531236623111,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,102,1.96664861394735,0,0,-0.240356402766245,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,102,1.10629881782347,0,0,-0.0982241203980524,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,102,1.51656533537115,0,0,-0.110775256313676,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,102,1.62676842243583,0,0,-0.0394158940982541,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,102,1.53840423215078,0,0,-0.0231827840677,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,102,1.18911059263619,0,0,-0.0731087115301545,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,102,1.93024976726591,0,0,-0.271627126254736,0,0,0,0,0,0,0,0,0,Naive,G_Naive
