parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.34029141239624,0.286594300022249,4.52020705959846
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.26039203729142,0.21306122706332,16.9043615604862
beta_delta_N_groupVsnaive_G_conv,0.48207963408407,0.199158880529525,41.3124443449926
beta_delta_N_groupVsnaive_G_convCD40,1.75522131395859,0.472175105630809,26.9011720559558
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,7020.49899648843,2599.7059595063,37.0302162397096
fact_P_T_pop,-2.53924554795717,0.43061878483787,16.9585326312496
alpha_VLSG_pop,1.33,,
thresh_Weight_pop,4.5,,
omega_beta_N_pow,0.74627701505947,0.170570531702062,22.8561952545824
omega_delta_N,0.109449927987986,0.316177778432453,288.878927784364
a1,1.16888224390425,0.123463598658466,10.5625352170701
a2,1.07889115922686,0.165860391352818,15.3732274042985
a3,1.20198958903148,0.106927173473769,8.89584855389038
a4,1.40685427415678,0.227507716332746,16.171377555725
