time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,101,40.1143,385.936,2786.19,569.74,569273,13.5114,15610.7,772.291,2757.81,6102.31,6.51135e+6,0.818657,45.5407,386.113,2832.42,575.479,575018,13.5126,15774.3,749.998,2734.26,5984.81,6.37896e+6,0.818733,186.623,385.636,2773.06,562.216,561985,13.5112,17625.2,505.928,1993.96,4482.4,4.71928e+6,0.818697
2,101,39.8504,19.283,829.487,247.737,247562,2.67822e-8,14375.2,384.666,1488.56,3983.25,4.34581e+6,1.62234e-9,45.2433,19.3008,862.667,254.67,254498,2.67609e-8,14572.9,374.888,1487.98,3939.05,4.29224e+6,1.62106e-9,185.76,19.4239,838.524,248.194,248186,2.67557e-8,16903.7,226.41,995.573,2759.75,2.97003e+6,1.62091e-9
3,101,39.7596,0.981488,211.674,70.3646,70319.3,1.92352e-15,13705.4,201.87,793.058,2166.09,2.36471e+6,1.165e-16,45.139,0.985784,225.852,73.9522,73907.1,7.60895e-17,13914.9,198.533,799.313,2158.74,2.35405e+6,4.60823e-18,185.459,1.03852,217.361,71.4998,71511.6,7.62014e-17,16526.4,113.018,494.792,1393.99,1.50485e+6,4.61562e-18
4,101,39.7352,0.0544993,52.5635,18.0119,18000.8,6.53888e-24,13358.9,104.528,416.991,1148.74,1.25197e+6,3.96013e-25,45.1103,0.0557432,57.6036,19.4104,19399.1,-8.71221e-24,13571.4,103.745,424.052,1154.71,1.25715e+6,-5.27628e-25,185.377,0.0707459,54.8563,18.5844,18589,-6.8028e-25,16340.7,55.6872,245.327,693.659,748564,-4.12051e-26
6,101,39.7275,0.000555517,3.20328,1.10891,1108.24,-8.25297e-38,13087.4,27.9054,112.755,312.868,340433,-4.99713e-39,45.1009,0.000659977,3.70616,1.26056,1259.84,-2.39963e-40,13298.9,28.214,116.81,320.305,348171,-1.45272e-41,185.351,0.00163857,3.45466,1.18176,1182.1,5.85722e-41,16204.3,13.4965,59.7871,169.539,182853,3.54664e-42
9,101,39.727,6.60513e-6,0.048076,0.0166538,16.6437,2.55361e-52,13002.2,3.84114,15.584,43.3416,47135.6,1.54612e-53,45.1003,8.86793e-6,0.0603539,0.0205394,20.5277,3.48325e-55,13211.6,3.9937,16.6034,45.6328,49576.9,2.10869e-56,185.349,2.40768e-5,0.0544766,0.0186462,18.6516,-1.72852e-55,16165.9,1.6108,7.14669,20.283,21872,-1.04662e-56
14,101,39.7269,6.01832e-9,4.38987e-5,1.52069e-5,0.0151977,-1.69144e-80,12989.1,0.140848,0.571798,1.59083,1729.95,-1.02412e-81,45.1003,9.26258e-9,6.31401e-5,2.14877e-5,0.0214755,-1.29566e-81,13197.7,0.153435,0.638314,1.75498,1906.5,-7.84219e-83,185.349,2.38597e-8,5.40149e-5,1.84883e-5,0.0184937,2.19309e-82,16160.8,0.046608,0.206829,0.587067,633.041,1.32745e-83
20,101,39.7269,1.35529e-12,9.88571e-9,3.42449e-9,3.42242e-6,-1.34542e-112,12988.6,0.00266601,0.0108234,0.0301128,32.746,-8.14771e-114,45.1003,2.45623e-12,1.67433e-8,5.69806e-9,5.69481e-6,6.81439e-116,13197.2,0.00307147,0.0127782,0.0351327,38.166,4.12623e-117,185.349,5.93195e-12,1.34291e-8,4.59652e-9,4.59785e-6,-2.37925e-113,16160.7,0.000663994,0.00294658,0.00836365,9.01861,-1.44034e-114
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,102,8.99013,574.38,4774.52,939.464,938559,20.2688,19158.7,1417.18,5249.35,11050.1,1.18667e+7,1.12571,11.5951,574.946,4769.5,937.767,936872,20.2672,19563.9,1354.15,5069.62,10611.9,1.13829e+7,1.12562,20.4088,576.291,4703.15,928.124,927264,20.2672,20451.2,1224.61,4630.17,9784.99,1.04658e+7,1.12564
2,102,8.89674,28.6216,1695.11,466.94,466500,4.28898e-8,16557.9,815.989,3375.03,8462.67,9.2401e+6,2.38144e-9,11.4791,28.6558,1690.98,465.692,465259,4.28312e-8,17101.2,773.504,3226.96,8050.44,8.78668e+6,2.37821e-9,20.2244,28.7409,1636.78,454.523,454120,4.28433e-8,18275.5,684.018,2863.59,7227.06,7.87664e+6,2.37893e-9
3,102,8.85961,1.43429,527.885,157.791,157644,1.25183e-16,14994.7,477.68,2081.93,5385.76,5.85611e+6,6.94928e-18,11.4331,1.43818,525.718,157.143,156998,1.24992e-16,15619.8,452.78,1979.21,5083.57,5.5294e+6,6.93876e-18,20.1522,1.44876,498.271,150.554,150424,1.24666e-16,16975.6,396.942,1721.18,4454.73,4.8455e+6,6.92083e-18
4,102,8.84763,0.074312,161.238,49.131,49085.3,3.58422e-25,14098.3,273.945,1242.65,3272.42,3.54275e+6,1.98932e-26,11.4182,0.075195,160.297,48.8481,48803.4,3.5815e-25,14769.3,259.995,1178.48,3076.46,3.33305e+6,1.98782e-26,20.1294,0.0776199,148.652,45.8363,45797,3.56936e-25,16234.2,226.497,1010.7,2650.57,2.87412e+6,1.98113e-26
6,102,8.84281,0.000499255,14.9414,4.57592,4571.66,-5.07946e-40,13296.3,88.8463,419.134,1123,1.21063e+6,-2.81866e-41,11.4123,0.000575212,14.802,4.53373,4529.59,-4.19917e-40,14006.3,84.6604,397.586,1054.36,1.13789e+6,-2.33017e-41,20.1205,0.000763795,13.1356,4.07263,4069.15,-1.42135e-40,15573.6,73.0346,334.997,889.647,961719,-7.88916e-42
9,102,8.84233,9.14928e-6,0.42103,0.128971,128.851,1.36818e-55,12983.9,16.2769,78.0382,210.576,226626,7.59248e-57,11.4117,1.12282e-5,0.414902,0.127108,126.992,9.82961e-56,13707.7,15.6135,74.404,198.589,213988,5.45482e-57,20.1197,1.54576e-5,0.344638,0.106879,106.787,2.84522e-58,15317.7,13.2931,61.6533,164.562,177677,1.57751e-59
14,102,8.84232,2.38163e-8,0.00109856,0.000336515,0.336202,-1.15109e-79,12918.1,0.95909,4.61431,12.47,13415.7,-6.38757e-81,11.4117,2.89841e-8,0.00107308,0.000328745,0.328445,-6.56979e-80,13644.3,0.930326,4.44739,11.8868,12804.3,-3.64575e-81,20.1196,3.57578e-8,0.000798355,0.000247586,0.247374,-1.32731e-85,15264.2,0.775158,3.60366,9.629,10393.8,-7.38375e-87
20,102,8.84232,1.89137e-11,8.72423e-7,2.67243e-7,0.000266994,1.08677e-113,12914.1,0.0320649,0.154301,0.417033,448.649,6.02876e-115,11.4117,2.27755e-11,8.43214e-7,2.58325e-7,0.000258089,8.85381e-114,13640.4,0.0315225,0.150722,0.402878,433.967,4.91343e-115,20.1196,2.4619e-11,5.49662e-7,1.70461e-7,0.000170315,-2.81512e-121,15261,0.0255948,0.119006,0.318004,343.255,-1.56671e-122
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,103,5565.87,112.128,762.245,150.616,150674,13.5126,22315.2,26.06,162.928,405.823,407652,0.818933,5555.36,112.731,771.241,151.965,152024,13.5126,22312.6,26.2247,164.979,406.494,408338,0.818933,5635.58,108.136,752.419,147.443,147493,13.5114,22332.5,24.9012,159.794,391.839,393509,0.818859
2,103,5565.3,5.73217,237.197,69.2012,69291.8,2.75085e-8,22309,2.95154,54.1378,193.967,195537,1.66713e-9,5554.78,5.76483,242.12,70.2897,70382,2.75085e-8,22306.3,2.97981,55.2793,195.558,197147,1.66713e-9,5635.03,5.52825,241.97,69.4754,69560,2.75113e-8,22326.6,2.79461,54.6444,191.654,193119,1.6673e-9
3,103,5565.1,0.334335,62.8245,20.3921,20428.5,1.75916e-14,22306.6,0.72472,15.972,62.0287,62631.7,1.06612e-15,5554.57,0.337221,64.7725,20.8922,20929.6,1.8532e-14,22303.9,0.73749,16.455,63.0417,63656.1,1.12311e-15,5634.83,0.323889,66.5149,21.143,21178.1,-1.2773e-15,22324.3,0.696182,16.6029,62.9681,63544.1,-7.74075e-17
4,103,5565.04,0.0299963,16.1945,5.41213,5422.89,-3.22654e-20,22305.9,0.210629,4.66984,18.4172,18606.3,-1.95541e-21,5554.51,0.0306118,16.8718,5.59944,5610.55,-4.66176e-22,22303.1,0.216212,4.85437,18.8814,19075.6,-2.8252e-23,5634.77,0.0298667,17.823,5.81969,5830.4,2.49971e-24,22323.6,0.207724,4.99764,19.2366,19422,1.51487e-25
6,103,5565.02,0.00114069,1.06421,0.35898,359.727,-1.84347e-30,22305.6,0.0180977,0.399492,1.57975,1596.24,-1.11723e-31,5554.49,0.00120106,1.13244,0.379229,380.016,3.36041e-33,22302.9,0.0189093,0.422761,1.64865,1665.88,2.03656e-34,5634.75,0.00125164,1.26691,0.417084,417.884,1.99764e-37,22323.3,0.0188975,0.452962,1.748,1765.12,1.2107e-38
9,103,5565.02,1.86649e-5,0.0178906,0.00603809,6.0507,1.58928e-43,22305.6,0.000453246,0.0100026,0.0395547,39.9679,9.63173e-45,5554.49,2.03132e-5,0.0196533,0.00658481,6.59852,-2.91553e-46,22302.8,0.000486412,0.0108722,0.0423994,42.8429,-1.76693e-47,5634.75,2.31196e-5,0.0239672,0.00789379,7.90899,-8.4637e-51,22323.3,0.000516048,0.0123665,0.0477239,48.1917,-5.12957e-52
14,103,5565.02,2.05853e-8,1.97349e-5,6.66058e-6,0.00667449,4.05903e-68,22305.6,9.7128e-7,2.14349e-5,8.47634e-5,0.085649,2.45993e-69,5554.49,2.36244e-8,2.28606e-5,7.65945e-6,0.00767539,8.14322e-72,22302.8,1.08989e-6,2.4361e-5,9.50027e-5,0.0959965,4.9351e-73,5634.75,3.10455e-8,3.21881e-5,1.06015e-5,0.0106219,8.50929e-77,22323.3,1.27743e-6,3.06122e-5,0.000118136,0.119294,5.1572e-78
