id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group,groupVsnaive
101,2.10086,0,0,0.0565744,0,0,0,0,0,0,0,0,0,2.11455,0,0,0.0722021,0,0,0,0,0,0,0,0,0,2.12353,0,0,0.119055,0,0,0,0,0,0,0,0,0,0.205087,0,0,0.133214,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,1.92568,0,0,-0.335683,0,0,0,0,0,0,0,0,0,1.87325,0,0,-0.360556,0,0,0,0,0,0,0,0,0,1.99004,0,0,-0.291938,0,0,0,0,0,0,0,0,0,0.240239,0,0,0.118588,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,0.994879,0,0,0.0704351,0,0,0,0,0,0,0,0,0,0.995067,0,0,0.0805805,0,0,0,0,0,0,0,0,0,1.00253,0,0,0.0811406,0,0,0,0,0,0,0,0,0,0.35411,0,0,0.185103,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,0.942077,0,0,-0.358751,0,0,0,0,0,0,0,0,0,0.946005,0,0,-0.360214,0,0,0,0,0,0,0,0,0,1.00905,0,0,-0.322525,0,0,0,0,0,0,0,0,0,0.26966,0,0,0.150388,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,0.682089,0,0,-0.0917557,0,0,0,0,0,0,0,0,0,0.694343,0,0,-0.0882426,0,0,0,0,0,0,0,0,0,0.682884,0,0,-0.0897886,0,0,0,0,0,0,0,0,0,0.382105,0,0,0.210085,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,1.29788,0,0,-0.239894,0,0,0,0,0,0,0,0,0,1.30781,0,0,-0.219078,0,0,0,0,0,0,0,0,0,1.24497,0,0,-0.219461,0,0,0,0,0,0,0,0,0,0.386838,0,0,0.141871,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,0.233835,0,0,-0.0780265,0,0,0,0,0,0,0,0,0,0.287816,0,0,-0.0392329,0,0,0,0,0,0,0,0,0,0.273734,0,0,-0.0592793,0,0,0,0,0,0,0,0,0,0.318497,0,0,0.187547,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-0.446009,0,0,0.0965912,0,0,0,0,0,0,0,0,0,-0.465111,0,0,0.08696,0,0,0,0,0,0,0,0,0,-0.433922,0,0,0.103733,0,0,0,0,0,0,0,0,0,0.394323,0,0,0.242171,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,-0.222032,0,0,0.0706493,0,0,0,0,0,0,0,0,0,-0.212287,0,0,0.0634015,0,0,0,0,0,0,0,0,0,-0.200511,0,0,0.0685928,0,0,0,0,0,0,0,0,0,0.380239,0,0,0.234684,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-0.294802,0,0,0.0186809,0,0,0,0,0,0,0,0,0,-0.27347,0,0,0.0203278,0,0,0,0,0,0,0,0,0,-0.286668,0,0,0.0125678,0,0,0,0,0,0,0,0,0,0.353076,0,0,0.182985,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-0.37462,0,0,-0.0771496,0,0,0,0,0,0,0,0,0,-0.367644,0,0,-0.0911061,0,0,0,0,0,0,0,0,0,-0.36774,0,0,-0.0748291,0,0,0,0,0,0,0,0,0,0.350181,0,0,0.207299,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-0.482542,0,0,0.191936,0,0,0,0,0,0,0,0,0,-0.435652,0,0,0.208122,0,0,0,0,0,0,0,0,0,-0.430122,0,0,0.219678,0,0,0,0,0,0,0,0,0,0.410563,0,0,0.242687,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,-0.906731,0,0,0.144552,0,0,0,0,0,0,0,0,0,-0.932527,0,0,0.132584,0,0,0,0,0,0,0,0,0,-0.928166,0,0,0.128503,0,0,0,0,0,0,0,0,0,0.407888,0,0,0.255542,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
302,-1.51081,0,0,0.174443,0,0,0,0,0,0,0,0,0,-1.53249,0,0,0.135553,0,0,0,0,0,0,0,0,0,-1.49929,0,0,0.155315,0,0,0,0,0,0,0,0,0,0.441597,0,0,0.264003,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
303,-1.0914,0,0,0.12617,0,0,0,0,0,0,0,0,0,-1.10582,0,0,0.113881,0,0,0,0,0,0,0,0,0,-1.07528,0,0,0.12067,0,0,0,0,0,0,0,0,0,0.430143,0,0,0.254346,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
