rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
1,101,2.09372409918772,0,0,0.320897748646349,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,101,2.15285113335749,0,0,0.0402782701970889,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,101,2.48107800607397,0,0,0.332622178643151,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,101,2.07131074814954,0,0,0.259678215786276,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,101,1.88020148677421,0,0,0.0888468543425363,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,101,2.00473859742927,0,0,0.173565811181317,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,101,2.35035321401848,0,0,-0.171331521292707,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,101,2.38568941569478,0,0,0.143545443085444,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,101,2.18659890768945,0,0,0.295068426369188,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,101,1.84791342935745,0,0,-0.132949253294768,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,102,2.18376445592477,0,0,-0.377965824232528,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,102,2.02378105590763,0,0,-0.441548463186082,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,102,1.51988461185502,0,0,-0.451237488625434,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,102,2.40643604792445,0,0,-0.647696235099234,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,102,2.08745412554618,0,0,-0.548628205234301,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,102,1.49445951339745,0,0,-0.49079187485776,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,102,1.48363991479902,0,0,-0.423438891317182,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,102,2.01827355924152,0,0,-0.424251138358132,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,102,1.53721542660531,0,0,-0.39258773481308,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,102,1.44253958836302,0,0,-0.405924336028952,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,103,0.410982276604674,0,0,-0.310580908713607,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,103,1.53585301922825,0,0,0.188923770446962,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,103,1.19768321559966,0,0,0.107019346485652,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,103,0.754224844826228,0,0,0.123785975096564,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,103,1.40897356781526,0,0,0.171325619676942,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,103,1.55464569203274,0,0,0.20829130540034,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,103,1.29965670850419,0,0,0.166051685024977,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,103,1.10125710771562,0,0,0.385490982886828,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,103,1.11351111233086,0,0,0.156920899904784,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,103,0.596834771464074,0,0,-0.161208119768741,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,104,0.998795243557424,0,0,-0.231230720906054,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,104,1.22650901191701,0,0,-0.281216232580917,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,104,0.675670301220331,0,0,-0.404079620414886,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,104,0.745915407207727,0,0,-0.469430305974672,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,104,0.637031349170241,0,0,-0.511834248944944,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,104,0.647373689653464,0,0,-0.620962009461133,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,104,1.22812140847646,0,0,-0.222131440690963,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,104,0.550955783106638,0,0,-0.58144486525841,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,104,0.711091984264721,0,0,-0.497735748586439,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,104,1.2202906489808,0,0,-0.397391537251408,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,105,0.355689335277929,0,0,-0.228121569305013,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,105,0.806570431142023,0,0,-0.208669769291278,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,105,0.0568803565768085,0,0,-0.146996741289808,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,105,0.930413985900706,0,0,0.0167024318714978,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,105,0.612950999566604,0,0,-0.0726934586570662,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,105,0.548455647897168,0,0,-0.143690405054955,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,105,1.1112306522062,0,0,-0.0191929505586129,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,105,0.0970852028246428,0,0,-0.333890583433264,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,105,1.05793492858543,0,0,0.075441888003895,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,105,0.831140933810395,0,0,-0.280715855073868,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,106,1.24946891231197,0,0,-0.338451894887321,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,106,2.71838970512925,0,0,-0.309160296039575,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,106,2.02660088476558,0,0,0.0891169892193026,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,106,1.42165093196499,0,0,-0.031576775092741,0,0,0,0,0,0,0,0,0,Naive,G_Naive
