rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-7.74431696920001,0,0,1.45035848424292,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,101,-7.39452845962327,0,0,1.09460104597094,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
3,101,-7.62559726821281,0,0,1.46717831040561,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
4,101,-8.01335850729201,0,0,0.92338047854105,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,101,-6.89029956891733,0,0,1.25397995829278,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,101,-7.4926211567108,0,0,1.10806716547176,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,101,-7.81939762905261,0,0,1.30129002952026,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,101,-7.93791033490912,0,0,1.25849164583754,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,101,-7.75336988973232,0,0,1.1022133179526,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,101,-8.07724481156663,0,0,1.14406292106899,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,102,-7.04726976074164,0,0,0.746886089807727,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,102,-7.75721444367584,0,0,1.01912321898069,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
