rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
1,101,-0.182317429365104,0,0,-0.0855002613627302,0,0,0,0,0,0,0,0,0,0,Naive
2,101,0.167471080211637,0,0,-0.366921062450252,0,0,0,0,0,0,0,0,0,0,Naive
3,101,-0.0635977283778995,0,0,-0.0739699783245328,0,0,0,0,0,0,0,0,0,0,Naive
4,101,-0.451358967457094,0,0,-0.537024927731765,0,0,0,0,0,0,0,0,0,0,Naive
5,101,0.67169997091758,0,0,-0.230988557890799,0,0,0,0,0,0,0,0,0,0,Naive
6,101,0.0693783831241095,0,0,-0.354693812606468,0,0,0,0,0,0,0,0,0,0,Naive
7,101,-0.257398089217704,0,0,-0.193954914917784,0,0,0,0,0,0,0,0,0,0,Naive
8,101,-0.375910795074213,0,0,-0.227397120370222,0,0,0,0,0,0,0,0,0,0,Naive
9,101,-0.191370349897413,0,0,-0.359990752293636,0,0,0,0,0,0,0,0,0,0,Naive
10,101,-0.51524527173172,0,0,-0.322725125371604,0,0,0,0,0,0,0,0,0,0,Naive
1,102,0.514729779093269,0,0,-0.749153613445515,0,0,0,0,0,0,0,0,0,0,Naive
2,102,-0.19521490384093,0,0,-0.438368349348263,0,0,0,0,0,0,0,0,0,0,Naive
3,102,-0.440638189140726,0,0,-0.627349966455565,0,0,0,0,0,0,0,0,0,0,Naive
4,102,0.12645334105358,0,0,-0.638347802783005,0,0,0,0,0,0,0,0,0,0,Naive
5,102,-0.153534769849978,0,0,-0.586519315669907,0,0,0,0,0,0,0,0,0,0,Naive
6,102,-0.0252558388295434,0,0,-0.72317368175081,0,0,0,0,0,0,0,0,0,0,Naive
7,102,-0.0526578347656691,0,0,-0.892836278169956,0,0,0,0,0,0,0,0,0,0,Naive
8,102,0.156816585009437,0,0,-0.810464628654413,0,0,0,0,0,0,0,0,0,0,Naive
9,102,0.671312270606128,0,0,-0.957099927755351,0,0,0,0,0,0,0,0,0,0,Naive
10,102,-0.270404497407096,0,0,-0.581693996547485,0,0,0,0,0,0,0,0,0,0,Naive
1,103,0.0801778267367092,0,0,0.267249024142888,0,0,0,0,0,0,0,0,0,0,Naive
2,103,-0.303275593295993,0,0,0.109009205424725,0,0,0,0,0,0,0,0,0,0,Naive
3,103,0.257717321867003,0,0,-0.0298497710384654,0,0,0,0,0,0,0,0,0,0,Naive
4,103,0.572204330257375,0,0,0.222954787322766,0,0,0,0,0,0,0,0,0,0,Naive
5,103,0.0441309711543078,0,0,0.262491519803126,0,0,0,0,0,0,0,0,0,0,Naive
6,103,-0.0681948279281581,0,0,0.298628284595059,0,0,0,0,0,0,0,0,0,0,Naive
7,103,-0.01297700437759,0,0,0.107448838207005,0,0,0,0,0,0,0,0,0,0,Naive
8,103,0.0434381735367437,0,0,0.238812121870732,0,0,0,0,0,0,0,0,0,0,Naive
9,103,0.052785235575877,0,0,0.373486115110459,0,0,0,0,0,0,0,0,0,0,Naive
10,103,0.214062134214867,0,0,0.0700364874603019,0,0,0,0,0,0,0,0,0,0,Naive
1,104,0.0486232907106239,0,0,-0.951139441736046,0,0,0,0,0,0,0,0,0,0,Naive
2,104,0.45201453730417,0,0,-0.416417733882496,0,0,0,0,0,0,0,0,0,0,Naive
3,104,0.679901020973256,0,0,-0.266902557387865,0,0,0,0,0,0,0,0,0,0,Naive
4,104,0.502096468468611,0,0,-0.325556697681763,0,0,0,0,0,0,0,0,0,0,Naive
5,104,0.141283433399447,0,0,-0.79299495839799,0,0,0,0,0,0,0,0,0,0,Naive
6,104,0.131429676333423,0,0,-0.688266673508261,0,0,0,0,0,0,0,0,0,0,Naive
7,104,0.398324851042795,0,0,-0.687319118324615,0,0,0,0,0,0,0,0,0,0,Naive
8,104,0.136922138917398,0,0,-0.677984456300762,0,0,0,0,0,0,0,0,0,0,Naive
9,104,0.435351211721347,0,0,-0.56206047304336,0,0,0,0,0,0,0,0,0,0,Naive
10,104,0.231585422525668,0,0,-0.426002380460096,0,0,0,0,0,0,0,0,0,0,Naive
1,105,-0.070515390489564,0,0,-0.621383542872377,0,0,0,0,0,0,0,0,0,0,Naive
2,105,0.399726119817767,0,0,-0.184802600150362,0,0,0,0,0,0,0,0,0,0,Naive
3,105,0.654929837806738,0,0,-0.0988837082644117,0,0,0,0,0,0,0,0,0,0,Naive
4,105,0.136399443275307,0,0,-0.315649318532753,0,0,0,0,0,0,0,0,0,0,Naive
5,105,0.280945353886681,0,0,-0.38805609467391,0,0,0,0,0,0,0,0,0,0,Naive
6,105,0.402202063240521,0,0,-0.120685168285244,0,0,0,0,0,0,0,0,0,0,Naive
7,105,0.109987899059584,0,0,-0.689180366500793,0,0,0,0,0,0,0,0,0,0,Naive
8,105,0.348289551045434,0,0,-0.446595389739069,0,0,0,0,0,0,0,0,0,0,Naive
9,105,0.500310284970983,0,0,-0.206711201869313,0,0,0,0,0,0,0,0,0,0,Naive
10,105,0.0211113659904751,0,0,-0.189040227057416,0,0,0,0,0,0,0,0,0,0,Naive
1,106,0.29534752685238,0,0,-0.262484859101733,0,0,0,0,0,0,0,0,0,0,Naive
2,106,0.228998503343132,0,0,-0.217483822979696,0,0,0,0,0,0,0,0,0,0,Naive
3,106,0.228135422730548,0,0,-0.246670443504299,0,0,0,0,0,0,0,0,0,0,Naive
4,106,0.338614060985884,0,0,-0.333550494807496,0,0,0,0,0,0,0,0,0,0,Naive
5,106,0.0274756120242883,0,0,-0.503588081699024,0,0,0,0,0,0,0,0,0,0,Naive
6,106,0.336563499457433,0,0,-0.176424822205001,0,0,0,0,0,0,0,0,0,0,Naive
7,106,-0.0931829568995514,0,0,-0.328547419346911,0,0,0,0,0,0,0,0,0,0,Naive
8,106,0.112442491026368,0,0,-0.119737671398932,0,0,0,0,0,0,0,0,0,0,Naive
