parameter,value,se_sa,rse_sa
beta_N_pow_pop,-7.56199953983491,0.483961356798464,6.39991253965389
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.57982015996112,0.251975404337321,15.9496258323177
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,4790.12750563699,3633.24979584734,75.848707400205
fact_P_T_pop,-2.6256205309428,0.441903019911549,16.8304221689214
alpha_VLSG_pop,1.27381583852001,0.103717699944663,8.14228374371352
thresh_Weight_pop,4.5,,
beta_immuno_pop,1.32287849355356e-5,2.91154412653403e-6,22.0091576113913
omega_beta_N_pow,0.302602025014936,0.181316801402236,59.9192293552189
omega_delta_N,0.409613679387692,0.125463946858285,30.6298234584923
a1,1.03349870714374,0.105940135882877,10.2506307120269
a2,1.03402254159282,0.164269322962409,15.8864353875078
a3,1.20534403508154,0.110808394255667,9.19309267981487
a4,1.39125050419572,0.234225139731782,16.8355834571423
