rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group,groupVsnaive
1,101,-5.91826604665016,0,0,1.2670132519109,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,101,-5.88204845392472,0,0,1.60800343507606,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,101,-5.81804135339206,0,0,1.42379953389259,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,101,-5.82996412202898,0,0,1.55973253172673,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,101,-5.75842872359492,0,0,1.49493039866067,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,101,-5.84874351314609,0,0,1.63853962434834,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
7,101,-5.84238794319326,0,0,1.55420373826389,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,101,-5.78421425289597,0,0,1.46310343207975,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,101,-5.8262920580746,0,0,1.7823045201745,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,101,-5.91320820143434,0,0,1.57395286489727,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,102,-5.79699976891647,0,0,1.12391309252813,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,102,-5.93697118457748,0,0,1.23901421502185,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,102,-5.7701344921618,0,0,1.27293256686338,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,102,-5.89074126063062,0,0,1.34195816425841,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,102,-5.89765230280548,0,0,1.15479115665586,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,102,-6.00890499629287,0,0,1.09664999148412,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
