time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,1.05997e+6
1,101,7.7948,383.001,2668.25,819.735,818941,13.5127,13640.7,992.24,3402.71,10682.9,1.12206e+7,0.818755,832748,7.65646,382.976,2665.22,816.15,815359,13.5112,13617.5,995.984,3408.17,10711.7,1.12522e+7,0.818662,832748,8.46899,383.124,2661.1,815.205,814416,13.5111,13736.2,980.042,3358.93,10570,1.10999e+7,0.818656,832748
2,101,7.75206,19.0781,747.977,339.798,339469,2.67724e-8,12554.8,311.559,1587.19,6632.71,6.91528e+6,1.62198e-9,605524,7.61448,19.0766,746.002,337.921,337594,2.67968e-8,12525.5,313.3,1590.2,6651.3,6.93554e+6,1.62346e-9,605524,8.42331,19.0848,743.308,337.035,336710,2.6798e-8,12665.4,307.337,1561.47,6541.23,6.81988e+6,1.62353e-9,605524
3,101,7.74414,0.951415,178.514,91.0988,91009.9,7.19376e-17,12260.7,81.6349,598.069,2823.28,2.90091e+6,4.35813e-18,378300,7.6067,0.951316,177.739,90.4641,90375.7,7.17216e-17,12229.3,82.2197,599.373,2832.03,2.91023e+6,4.34504e-18,378300,8.41485,0.951856,176.672,90.0447,89956.9,7.24099e-17,12375.4,80.4922,586.86,2776.75,2.8533e+6,4.38676e-18,378300
4,101,7.74303,0.0475893,41.3329,21.8469,21825.4,-2.909e-23,12197.4,17.7376,192.817,994.844,1.01151e+6,-1.76223e-24,151076,7.6056,0.0475805,41.0802,21.6588,21637.5,2.16427e-22,12165.4,17.8949,193.258,998.124,1.01495e+6,1.31115e-23,151076,8.41366,0.0476255,40.7299,21.508,21486.9,2.24537e-22,12312.9,17.4807,188.736,976.09,992523,1.36029e-23,151076
6,101,7.74279,0.000130662,2.18471,1.16966,1168.51,-7.07599e-31,12177.4,1.40944,16.7068,90.9882,92305.1,-4.28654e-32,203887,7.60537,0.000130389,2.16347,1.15547,1154.33,9.63919e-30,12145.3,1.4232,16.7448,91.2902,92620.5,5.83958e-31,203887,8.41341,0.000131477,2.13395,1.14163,1140.5,1.45997e-29,12293.3,1.38313,16.2701,88.8305,90123.3,8.84479e-31,203887
9,101,7.74278,2.11953e-7,0.0264671,0.0141835,14.1695,1.28825e-38,12175.2,0.0456938,0.461535,2.4533,2496.49,7.80428e-40,283103,7.60536,2.06898e-7,0.0260665,0.0139349,13.9212,-1.90584e-37,12143.1,0.0461248,0.462763,2.46219,2505.8,-1.15462e-38,283103,8.4134,2.20446e-7,0.0255113,0.0136614,13.6479,-1.5259e-37,12291.2,0.0444838,0.446221,2.37758,2419.64,-9.24474e-39,283103
14,101,7.74278,1.35983e-10,1.69103e-5,9.0622e-6,0.00905328,2.92892e-48,12175.2,0.000140181,0.00135783,0.00713156,7.26446,1.7744e-49,296957,7.60536,1.31275e-10,1.65029e-5,8.82244e-6,0.00881375,-6.31708e-47,12143,0.000141599,0.0013627,0.00716388,7.29818,-3.82716e-48,296957,8.4134,1.38711e-10,1.5943e-5,8.53762e-6,0.00852922,-5.92036e-47,12291.1,0.000134833,0.00129736,0.00683005,6.95792,-3.58691e-48,296957
20,101,7.74278,2.08411e-14,2.48235e-9,1.33029e-9,1.32898e-6,5.44524e-58,12175.2,1.40245e-7,1.31616e-6,6.87042e-6,0.00700366,3.29868e-59,313581,7.60536,1.98979e-14,2.39617e-9,1.28099e-9,1.27972e-6,-1.4175e-56,12143,1.41813e-7,1.32246e-6,6.90975e-6,0.00704451,-8.5874e-58,313581,8.4134,2.07e-14,2.27909e-9,1.22047e-9,1.21927e-6,-1.54495e-56,12291.1,1.32987e-7,1.23995e-6,6.48777e-6,0.00661414,-9.35988e-58,313581
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,552049
1,102,633.554,569.98,4148.28,1228.08,1.22845e+6,20.2669,25909.8,605.668,2131.91,6569.22,6.89913e+6,1.12574,673531,666.328,568.89,4201.45,1232.94,1.23335e+6,20.2666,26001.5,593.886,2124.17,6536.39,6.85888e+6,1.12573,673531,679.751,568.426,4152.55,1222.49,1.22292e+6,20.2666,26042.9,586.456,2088.02,6447.4,6.76426e+6,1.12573,673531
