id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group
101,-5.26805,0,0,2.10929,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-5.24213,0,0,2.13284,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-5.37919,0,0,2.05281,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.285107,0,0,0.379484,0,0,0,0,0,0,0,0,0,0,Naive
102,-7.18813,0,0,1.04706,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.21808,0,0,1.0147,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.30273,0,0,1.08218,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.322577,0,0,0.118843,0,0,0,0,0,0,0,0,0,0,Naive
103,-7.03449,0,0,1.82088,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-6.94835,0,0,1.91305,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.05717,0,0,1.76805,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.352877,0,0,0.398246,0,0,0,0,0,0,0,0,0,0,Naive
104,-6.39539,0,0,1.14879,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-6.42159,0,0,1.12169,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-6.36143,0,0,1.15034,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.264785,0,0,0.164091,0,0,0,0,0,0,0,0,0,0,Naive
105,-7.31156,0,0,1.44918,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.26076,0,0,1.47191,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.35591,0,0,1.40125,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.360147,0,0,0.28482,0,0,0,0,0,0,0,0,0,0,Naive
106,-6.8273,0,0,1.25069,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-6.81529,0,0,1.29233,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-6.79369,0,0,1.27517,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.192931,0,0,0.195314,0,0,0,0,0,0,0,0,0,0,Naive
201,-7.1327,0,0,1.52008,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.12169,0,0,1.55673,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.10255,0,0,1.51807,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.311644,0,0,0.317742,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-7.41795,0,0,1.87239,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.44146,0,0,1.89767,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.40952,0,0,1.81053,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.350637,0,0,0.512412,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-7.80339,0,0,1.8144,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.78438,0,0,1.81959,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.78129,0,0,1.78739,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.371616,0,0,0.418431,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-7.37923,0,0,1.6385,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.36199,0,0,1.63538,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.35467,0,0,1.59582,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.337019,0,0,0.344086,0,0,0,0,0,0,0,0,0,0,Convalescent
205,-7.67839,0,0,1.5514,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.71006,0,0,1.49974,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.68471,0,0,1.50517,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.330293,0,0,0.298335,0,0,0,0,0,0,0,0,0,0,Convalescent
206,-7.628,0,0,2.14309,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.63155,0,0,2.15531,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.59194,0,0,2.10067,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.385706,0,0,0.570606,0,0,0,0,0,0,0,0,0,0,Convalescent
301,-7.92553,0,0,1.94479,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.94431,0,0,1.92281,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.93049,0,0,1.89972,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.390448,0,0,0.520864,0,0,0,0,0,0,0,0,0,0,Conv-CD40
302,-8.5105,0,0,2.0499,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-8.52967,0,0,1.95341,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-8.4496,0,0,1.97893,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.450974,0,0,0.605068,0,0,0,0,0,0,0,0,0,0,Conv-CD40
303,-8.43645,0,0,2.01319,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-8.43704,0,0,2.02622,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-8.41271,0,0,1.95004,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.415351,0,0,0.607549,0,0,0,0,0,0,0,0,0,0,Conv-CD40
304,-7.90449,0,0,1.56348,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-7.96261,0,0,1.53962,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-7.92169,0,0,1.49867,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.360131,0,0,0.406329,0,0,0,0,0,0,0,0,0,0,Conv-CD40
305,-8.15648,0,0,2.04234,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-8.17669,0,0,1.98945,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-8.14368,0,0,1.98531,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.467341,0,0,0.577055,0,0,0,0,0,0,0,0,0,0,Conv-CD40
306,-8.41761,0,0,1.80503,3,20,3,0,0.001,11200.8,-2.63216,1.42781,4.5,3.58509e-6,-8.41508,0,0,1.81379,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,-8.39594,0,0,1.71475,3,20,3,0,0.001,11029.2,-2.62824,1.42571,4.5,3.59445e-6,0.407678,0,0,0.552879,0,0,0,0,0,0,0,0,0,0,Conv-CD40
