rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-5.55288013515931,0,0,2.2442898620021,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,101,-4.97714899691399,0,0,2.38004397684096,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,101,-5.28927721966278,0,0,1.75775873365441,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,101,-5.06338874374516,0,0,2.92800257820756,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
5,101,-5.32634820266719,0,0,2.20813656081584,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,101,-5.08621306752046,0,0,2.27023485872413,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,101,-5.54166580000783,0,0,1.88887464033726,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,101,-5.0132827251066,0,0,2.3582698981184,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
9,101,-4.94519991052738,0,0,3.21267033268232,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,101,-5.32788556587508,0,0,1.99864526676927,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,102,-7.24029855546516,0,0,1.18059780356639,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,102,-7.29120086057183,0,0,1.0529124619029,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,102,-7.43321980338527,0,0,0.943997849119504,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,102,-6.97352029921711,0,0,0.929437399648257,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
