time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553
1,101,18.1205,384.692,1930.14,697.845,697218,13.5112,14272,1043.27,2415.97,8414.6,9.04801e+6,0.818627,212260,10.9467,383.856,1940.48,678.13,677498,13.5113,13668,1123.77,2602.03,8764.56,9.45122e+6,0.818619,212260,21.7297,384.991,1864.79,659.487,658906,13.5113,14568.2,980.169,2260.58,7767.46,8.34834e+6,0.818635,212260
2,101,17.9726,19.188,354.727,212.635,212461,2.68159e-8,12600.7,504.215,1168.12,4850.39,5.32931e+6,1.62433e-9,274968,10.8526,19.1335,359.049,207.492,207309,2.68162e-8,11872.8,540.549,1263.52,5086.52,5.60017e+6,1.62431e-9,274968,21.5692,19.2057,328.189,194.943,194790,2.68107e-8,13063.5,452.76,1037.59,4270.01,4.6986e+6,1.62402e-9,274968
3,101,17.9375,0.962776,52.1027,38.5037,38474.5,-8.10117e-15,11801.7,237.627,560.917,2386.88,2.62089e+6,-4.90721e-16,337675,10.8303,0.957369,53.1703,37.8024,37770.6,-8.14462e-15,11023.5,252.264,603.779,2501.1,2.74955e+6,-4.93344e-16,337675,21.5324,0.963963,45.8457,33.9814,33957.2,1.08319e-13,12369.1,205.692,477.602,2008.02,2.21053e+6,6.5615e-15,337675
4,101,17.9316,0.0491437,7.18152,5.8454,5841.23,2.64581e-20,11430,110.713,264.055,1136.07,1.24548e+6,1.60269e-21,400383,10.8264,0.0484413,7.39432,5.78131,5776.6,2.68341e-20,10632.9,116.177,281.663,1182.36,1.29718e+6,1.62543e-21,400383,21.5264,0.0491986,5.98267,4.93231,4929.07,-3.50357e-19,12057.3,92.5341,216.535,918.574,1.01005e+6,-2.12233e-20,400383
6,101,17.9306,0.000154815,0.129634,0.112679,112.603,1.34792e-28,11178.3,23.6376,56.9832,247.464,270830,8.15905e-30,384102,10.8258,0.000141562,0.136013,0.113368,113.279,-9.18207e-28,10372.4,24.2279,59.4366,252.17,276121,-5.56265e-29,384102,21.5255,0.000152097,0.0961439,0.0856256,85.5742,-3.83786e-27,11855.1,18.4937,43.6229,186.411,204700,-2.32559e-28,384102
9,101,17.9305,1.07693e-7,0.000307295,0.00027115,0.270972,1.51288e-36,11117.1,2.29983,5.56695,24.265,26538.3,9.15813e-38,359681,10.8258,7.67058e-8,0.000331883,0.000280636,0.280417,-9.9946e-36,10310.8,2.27703,5.60901,23.8866,26137.5,-6.05539e-37,359681,21.5254,8.77269e-8,0.000190453,0.00017304,0.172941,-1.84317e-35,11809.4,1.63488,3.86812,16.5767,18193.4,-1.11679e-36,359681
14,101,17.9305,3.98556e-12,1.29074e-8,1.14032e-8,1.13957e-5,-7.97631e-53,11110.7,0.0483265,0.116272,0.504938,552.712,-4.82723e-54,455787,10.8258,2.78787e-12,1.46241e-8,1.23802e-8,1.23706e-5,4.93683e-47,10304.5,0.0450108,0.110303,0.468285,512.782,2.99136e-48,455787,21.5254,2.32356e-12,5.92097e-9,5.39029e-9,5.38722e-6,5.92152e-49,11805,0.0292061,0.0687465,0.293645,322.528,3.5882e-50,455787
20,101,17.9305,2.27076e-17,7.23427e-14,6.39115e-14,6.38703e-11,2.63829e-61,11110.5,0.000494617,0.00118088,0.00510018,5.58921,1.59663e-62,571113,10.8258,1.67828e-17,8.68555e-14,7.35281e-14,7.34713e-11,2.12376e-56,10304.4,0.000424651,0.00103373,0.00436811,4.78797,1.28751e-57,571113,21.5254,9.37934e-18,2.35912e-14,2.14769e-14,2.14648e-11,-3.97918e-57,11804.9,0.000244188,0.000571061,0.00242758,2.66909,-2.41104e-58,571113
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6
1,102,54.1928,578.714,4497.6,1410.15,1.40896e+6,20.2679,21476.2,1241.71,4035.2,12883.7,1.36487e+7,1.12572,1.26423e+6,44.5597,578.252,4586.46,1383.54,1.38235e+6,20.2675,21158.6,1286.42,4233.7,13063.9,1.38591e+7,1.12569,1.26423e+6,69.138,579.241,4370.62,1336.79,1.33571e+6,20.2681,21969.1,1145.1,3742.53,11766.5,1.24541e+7,1.12574,1.26423e+6
2,102,53.6125,28.9638,1477.35,661.106,660607,4.28237e-8,19033.1,763.671,2685.65,10143.1,1.08728e+7,2.37804e-9,973912,44.0663,28.9189,1545.6,661.427,660905,4.28078e-8,18596.7,802.415,2868.07,10453.3,1.12207e+7,2.37712e-9,973912,68.4696,29.0121,1383.05,609.181,608758,4.28415e-8,19797.7,677.683,2375.18,8862.54,9.50854e+6,2.37904e-9,973912
3,102,53.4054,1.49167,421.246,206.767,206617,1.23917e-16,17550.5,452.909,1700.86,6654.54,7.0992e+6,6.8801e-18,683590,43.8854,1.48351,453.618,212.17,212008,1.24421e-16,17019.2,482.98,1846.46,6972.77,7.44711e+6,6.90796e-18,683590,68.2368,1.49981,378.063,183.647,183528,1.23262e-16,18508.5,392.85,1450.92,5584.52,5.97029e+6,6.84373e-18,683590
4,102,53.3464,0.0880803,117.423,59.016,58973.6,1.8052e-25,16704.4,257.784,1024.45,4108.33,4.36169e+6,1.00209e-26,393269,43.8321,0.0864355,130.294,62.3057,62258.4,3.34153e-25,16104.5,279.349,1130.64,4375.87,4.6505e+6,1.85496e-26,393269,68.1726,0.0895757,100.861,50.2869,50254.7,-8.67015e-24,17785.7,219.801,850.278,3342.26,3.55845e+6,-4.81412e-25,393269
6,102,53.3258,0.00145124,9.04501,4.57765,4574.34,1.93423e-37,15956,82.5079,342.745,1405.09,1.48611e+6,1.07366e-38,267484,43.8128,0.00140476,10.6638,5.13144,5127.54,3.58955e-38,15278.5,92.0847,390.648,1546.27,1.63671e+6,1.99269e-39,267484,68.1512,0.00145573,7.10879,3.57291,3570.62,5.74373e-37,17160,68.1548,273.058,1093.32,1.16031e+6,3.19222e-38,267484
9,102,53.3242,2.64897e-5,0.193067,0.0977459,97.6745,-2.04426e-48,15671.7,14.406,61.608,255.558,269694,-1.13441e-49,78807,43.8111,2.80685e-5,0.249338,0.120018,119.926,-2.46641e-49,14953.9,16.8385,73.5483,294.561,311088,-1.36865e-50,78807,68.1497,2.33696e-5,0.132775,0.0667639,66.7205,-1.76172e-43,16930.1,11.4092,46.7821,189.171,200380,-9.79173e-45,78807
14,102,53.3241,4.32192e-8,0.000317103,0.000160544,0.160427,4.08847e-58,15615.3,0.777315,3.33619,13.8702,14632.9,2.2689e-59,76650.3,43.8111,5.33581e-8,0.000476703,0.000229461,0.229285,-6.50152e-59,14886.1,0.98185,4.30618,17.2865,18250.1,-3.60753e-60,76650.3,68.1496,3.05378e-8,0.000174557,8.77739e-5,0.0877166,-9.12413e-54,16886.6,0.574369,2.36136,9.56612,10130.3,-5.07226e-55,76650.3
20,102,53.3241,1.96861e-11,1.44496e-7,7.31558e-8,7.31023e-5,2.15064e-67,15612.2,0.0233858,0.100407,0.417506,440.451,1.19352e-68,74062.2,43.8111,2.91626e-11,2.60628e-7,1.25453e-7,0.000125357,-4.94071e-69,14882.1,0.0324148,0.142219,0.571007,602.819,-2.74158e-70,74062.2,68.1496,1.06502e-11,6.08982e-8,3.0622e-8,3.0602e-5,-4.60863e-63,16884.4,0.0159005,0.0653894,0.26493,280.55,-2.56206e-64,74062.2
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039
1,103,4924.7,148.799,755.87,257.384,257604,13.5125,22142.1,39.2811,173.7,702.918,708026,0.818924,637116,4741.76,159.133,792.725,262.984,263233,13.5113,22089.5,43.0368,185.614,734.05,739917,0.818847,637116,4853.97,152.796,802.084,261.536,261765,13.5114,22122,40.7216,185.457,722.25,727646,0.818852,637116
2,103,4923.58,7.68524,157.719,87.8382,88050.9,2.63478e-8,22127.9,5.52901,42.7457,262.234,265831,1.59676e-9,830194,4740.58,8.2141,160.945,87.9699,88198.5,2.64416e-8,22073.6,6.13333,44.8998,269.752,273798,1.60244e-9,830194,4852.8,7.89787,174.766,92.0718,92294.5,2.64329e-8,22106.8,5.87054,47.5036,277.82,281686,1.60192e-9,830194
3,103,4923.28,0.44894,26.4734,17.7329,17796.3,-4.03007e-15,22123.6,1.27564,9.67977,64.896,66022.6,-2.44269e-16,1.02327e+6,4740.26,0.476903,26.1808,17.3249,17391.2,7.79524e-13,22068.8,1.40269,10.0328,65.8527,67097.9,4.72414e-14,1.02327e+6,4852.48,0.464996,30.8372,19.3385,19406.6,-5.68596e-17,22102.1,1.40027,11.1886,71.2579,72499.8,-3.44591e-18,1.02327e+6
4,103,4923.22,0.034676,4.21377,3.04228,3055.59,2.00637e-21,22122.5,0.306107,2.22898,15.0743,15360.9,1.21608e-22,1.21635e+6,4740.21,0.0359833,4.02897,2.88741,2900.91,4.57354e-19,22067.6,0.33146,2.28158,15.1046,15416.2,2.77174e-20,1.21635e+6,4852.41,0.03703,5.1783,3.47548,3490.23,1.10377e-22,22100.8,0.347255,2.67266,17.1724,17497.9,6.68929e-24,1.21635e+6
6,103,4923.21,0.000496576,0.103126,0.0776406,78.0137,-8.58479e-28,22122.2,0.0160397,0.11953,0.810403,825.606,-5.20331e-29,784895,4740.19,0.000476735,0.0919162,0.0689932,69.352,3.79747e-26,22067.3,0.0170112,0.11936,0.791883,808.074,2.30157e-27,784895,4852.4,0.000599644,0.141615,0.0984949,98.9489,8.42731e-29,22100.5,0.0196238,0.154049,0.992056,1010.66,5.10726e-30,784895
9,103,4923.21,1.6083e-6,0.000389426,0.000295503,0.296809,2.39726e-35,22122.2,0.000175787,0.00139713,0.00964026,9.80623,1.45301e-36,137716,4740.19,1.39843e-6,0.000312011,0.000236311,0.237465,-2.62732e-33,22067.3,0.000182712,0.00135303,0.00911986,9.29327,-1.59236e-34,137716,4852.4,2.34543e-6,0.000633257,0.000443095,0.444989,4.11394e-36,22100.5,0.000244015,0.00202709,0.013244,13.4745,2.4932e-37,137716
14,103,4923.21,1.41575e-10,3.5459e-8,2.69362e-8,2.70507e-5,-2.06957e-47,22122.2,9.67864e-8,7.77747e-7,5.40144e-6,0.00549273,-1.25458e-48,95219.7,4740.19,1.03487e-10,2.37904e-8,1.80392e-8,1.81246e-5,7.41858e-46,22067.3,9.66249e-8,7.21929e-7,4.89437e-6,0.004986,4.49595e-47,95219.7,4852.4,2.75611e-10,7.65272e-8,5.35881e-8,5.38098e-5,4.8947e-48,22100.5,1.65935e-7,1.39198e-6,9.14267e-6,0.0092993,2.96636e-49,95219.7
20,103,4923.21,2.00749e-15,5.06626e-13,3.84905e-13,3.86525e-10,3.42893e-56,22122.2,1.18736e-11,9.59009e-11,6.6695e-10,6.78145e-7,2.07861e-57,44224.6,4740.19,1.19404e-15,2.76281e-13,2.09518e-13,2.10501e-10,3.35336e-54,22067.3,1.13012e-11,8.47966e-11,5.75602e-10,5.86316e-7,2.03224e-55,44224.6,4852.4,5.53129e-15,1.54581e-12,1.08256e-12,1.087e-9,2.89012e-58,22100.5,2.62828e-11,2.21467e-10,1.45627e-9,1.48107e-6,1.75151e-59,44224.6
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287
1,104,5974.39,302.695,2216.07,673.955,674686,20.2667,30131.7,80.7473,472.01,1697.05,1.71299e+6,1.12589,146880,5608.79,322.932,2435.63,710.777,711589,20.2672,30018.9,90.1887,533.817,1847.01,1.86607e+6,1.12592,146880,5521.17,327.751,2417.88,710.656,711484,20.2672,29991,92.4017,534.112,1859.36,1.87908e+6,1.12591,146880
