id,beta_N_pow_SAEM,fact_beta_T_SAEM,fact_delta_T_SAEM,delta_N_SAEM,c_SAEM,cI_SAEM,k_SAEM,g_SAEM,mu_SAEM,P_N_SAEM,fact_P_T_SAEM,alpha_VLSG_SAEM,thresh_Weight_SAEM,beta_immuno_SAEM,beta_N_pow_mean,fact_beta_T_mean,fact_delta_T_mean,delta_N_mean,c_mean,cI_mean,k_mean,g_mean,mu_mean,P_N_mean,fact_P_T_mean,alpha_VLSG_mean,thresh_Weight_mean,beta_immuno_mean,beta_N_pow_mode,fact_beta_T_mode,fact_delta_T_mode,delta_N_mode,c_mode,cI_mode,k_mode,g_mode,mu_mode,P_N_mode,fact_P_T_mode,alpha_VLSG_mode,thresh_Weight_mode,beta_immuno_mode,beta_N_pow_sd,fact_beta_T_sd,fact_delta_T_sd,delta_N_sd,c_sd,cI_sd,k_sd,g_sd,mu_sd,P_N_sd,fact_P_T_sd,alpha_VLSG_sd,thresh_Weight_sd,beta_immuno_sd,Group
101,-4.76564,0,0,2.18274,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-4.73375,0,0,2.17433,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-4.76567,0,0,2.24261,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.222068,0,0,0.2566,0,0,0,0,0,0,0,0,0,0,Naive
102,-4.90374,0,0,1.88356,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-4.93396,0,0,1.85012,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-4.95344,0,0,1.92291,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.222484,0,0,0.201212,0,0,0,0,0,0,0,0,0,0,Naive
103,-5.83364,0,0,2.05759,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-5.81349,0,0,2.07576,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-5.84649,0,0,2.00329,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.275416,0,0,0.303944,0,0,0,0,0,0,0,0,0,0,Naive
104,-5.71664,0,0,1.54069,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-5.68817,0,0,1.49399,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-5.65856,0,0,1.53121,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.35423,0,0,0.184823,0,0,0,0,0,0,0,0,0,0,Naive
105,-6.03871,0,0,1.82569,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-5.97912,0,0,1.86633,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-6.006,0,0,1.81787,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.322143,0,0,0.2874,0,0,0,0,0,0,0,0,0,0,Naive
106,-5.44995,0,0,1.67141,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-5.39275,0,0,1.67821,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-5.48472,0,0,1.67258,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.468623,0,0,0.207474,0,0,0,0,0,0,0,0,0,0,Naive
201,-6.46332,0,0,1.79652,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-6.42169,0,0,1.83879,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-6.41289,0,0,1.80655,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.313707,0,0,0.272158,0,0,0,0,0,0,0,0,0,0,Convalescent
202,-7.21303,0,0,2.05896,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-7.19601,0,0,2.06214,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-7.19058,0,0,2.01458,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.333238,0,0,0.345151,0,0,0,0,0,0,0,0,0,0,Convalescent
203,-6.91701,0,0,2.01144,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-6.93097,0,0,1.9511,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-6.9113,0,0,1.96373,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.349984,0,0,0.317666,0,0,0,0,0,0,0,0,0,0,Convalescent
204,-7.01313,0,0,1.91678,3,20,3,0,0.001,8182.44,-2.52934,1.35751,4.5,-6.75806e-7,-7.00069,0,0,1.95249,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,-6.98237,0,0,1.89891,3,20,3,0,0.001,7863.18,-2.52321,1.35251,4.5,-6.77169e-7,0.318894,0,0,0.295988,0,0,0,0,0,0,0,0,0,0,Convalescent
