rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-4.782085655246,0,0,2.57887556909853,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
2,101,-4.7194474602234,0,0,2.34502538835628,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,101,-4.79288258847065,0,0,2.4086933242794,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,101,-4.7270266979377,0,0,2.23689936714007,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,101,-4.4038103752015,0,0,2.17063280029656,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,101,-4.56615891372317,0,0,2.37520363062968,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,101,-4.89868007849673,0,0,2.42643492665047,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,101,-4.66885536923855,0,0,2.90055966843882,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,101,-5.10459300246788,0,0,1.73979716425832,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,101,-4.68532147059657,0,0,2.41017638781171,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
1,102,-4.75821313795032,0,0,1.62840389099058,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
2,102,-5.10652700484171,0,0,1.54662983540223,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,102,-5.10321459020225,0,0,1.77316503801631,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,102,-5.22355046978005,0,0,1.8942911985075,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,102,-5.14652435381489,0,0,1.88270789560389,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,102,-5.14443094881755,0,0,1.84251467945384,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,102,-4.92226572083311,0,0,1.90319226967979,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,102,-4.75183728210864,0,0,1.69120796521462,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,102,-4.97221489883669,0,0,1.75056830825676,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,102,-4.80331469369052,0,0,1.82564910139124,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
1,103,-6.06493590637468,0,0,1.71675511470407,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
2,103,-5.69141053838045,0,0,1.95767627868997,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,103,-5.96732763534372,0,0,2.23885191597516,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,103,-5.92960095032378,0,0,1.92882496659201,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,103,-5.85095733071136,0,0,2.46370597405121,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,103,-6.12956307116399,0,0,2.31209274969838,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,103,-5.50856832148381,0,0,2.26195541726404,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,103,-5.74868288896432,0,0,2.15419545796664,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,103,-5.91257788604045,0,0,2.24799225913372,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,103,-5.92914321327355,0,0,2.08887760568305,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
