rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
1,101,1.95038060379702,0,0,0.297166656837456,0,0,0,0,0,0,0,0,0,0,Naive
2,101,2.01301879881962,0,0,0.202109407265253,0,0,0,0,0,0,0,0,0,0,Naive
3,101,1.93958367057237,0,0,0.228897590203674,0,0,0,0,0,0,0,0,0,0,Naive
4,101,2.00543956110532,0,0,0.154903874698049,0,0,0,0,0,0,0,0,0,0,Naive
5,101,2.32865588384152,0,0,0.124831916915893,0,0,0,0,0,0,0,0,0,0,Naive
6,101,2.16630734531985,0,0,0.214896351858159,0,0,0,0,0,0,0,0,0,0,Naive
7,101,1.83378618054629,0,0,0.236236250555365,0,0,0,0,0,0,0,0,0,0,Naive
8,101,2.06361088980447,0,0,0.414716886323715,0,0,0,0,0,0,0,0,0,0,Naive
9,101,1.62787325657513,0,0,-0.0964182869995148,0,0,0,0,0,0,0,0,0,0,Naive
10,101,2.04714478844645,0,0,0.229513113622127,0,0,0,0,0,0,0,0,0,0,Naive
1,102,1.9742531210927,0,0,-0.162586494065448,0,0,0,0,0,0,0,0,0,0,Naive
2,102,1.62593925420131,0,0,-0.214108557196556,0,0,0,0,0,0,0,0,0,0,Naive
3,102,1.62925166884077,0,0,-0.0774207143579732,0,0,0,0,0,0,0,0,0,0,Naive
4,102,1.50891578926297,0,0,-0.0113420903276277,0,0,0,0,0,0,0,0,0,0,Naive
5,102,1.58594190522813,0,0,-0.0174757106594679,0,0,0,0,0,0,0,0,0,0,Naive
6,102,1.58803531022547,0,0,-0.0390555089768001,0,0,0,0,0,0,0,0,0,0,Naive
7,102,1.81020053820991,0,0,-0.00665420291592862,0,0,0,0,0,0,0,0,0,0,Naive
8,102,1.98062897693438,0,0,-0.124743775242289,0,0,0,0,0,0,0,0,0,0,Naive
9,102,1.76025136020633,0,0,-0.0902463383739113,0,0,0,0,0,0,0,0,0,0,Naive
10,102,1.9291515653525,0,0,-0.0482512253721789,0,0,0,0,0,0,0,0,0,0,Naive
1,103,0.667530352668339,0,0,-0.109750873356697,0,0,0,0,0,0,0,0,0,0,Naive
2,103,1.04105572066257,0,0,0.0215713766333616,0,0,0,0,0,0,0,0,0,0,Naive
3,103,0.765138623699299,0,0,0.155776375798066,0,0,0,0,0,0,0,0,0,0,Naive
4,103,0.802865308719242,0,0,0.00672417074169005,0,0,0,0,0,0,0,0,0,0,Naive
5,103,0.881508928331661,0,0,0.25147988867251,0,0,0,0,0,0,0,0,0,0,Naive
6,103,0.602903187879025,0,0,0.187966245491485,0,0,0,0,0,0,0,0,0,0,Naive
7,103,1.22389793755921,0,0,0.166042846901808,0,0,0,0,0,0,0,0,0,0,Naive
8,103,0.983783370078698,0,0,0.11723049531195,0,0,0,0,0,0,0,0,0,0,Naive
9,103,0.819888373002572,0,0,0.159850667414117,0,0,0,0,0,0,0,0,0,0,Naive
10,103,0.803323045769473,0,0,0.0864400697848422,0,0,0,0,0,0,0,0,0,0,Naive
1,104,0.9878375412973,0,0,-0.259520037663603,0,0,0,0,0,0,0,0,0,0,Naive
2,104,1.1055608225501,0,0,-0.333458640224403,0,0,0,0,0,0,0,0,0,0,Naive
3,104,0.922882589955294,0,0,-0.228415121944299,0,0,0,0,0,0,0,0,0,0,Naive
4,104,1.28696716275401,0,0,-0.152811625690366,0,0,0,0,0,0,0,0,0,0,Naive
5,104,1.21636676117255,0,0,-0.294693387899215,0,0,0,0,0,0,0,0,0,0,Naive
6,104,0.977209736144144,0,0,-0.309650194004761,0,0,0,0,0,0,0,0,0,0,Naive
7,104,0.97654952126137,0,0,-0.237006548939021,0,0,0,0,0,0,0,0,0,0,Naive
8,104,1.09868666472495,0,0,-0.137168268204426,0,0,0,0,0,0,0,0,0,0,Naive
9,104,1.03006700329247,0,0,-0.16792293077842,0,0,0,0,0,0,0,0,0,0,Naive
10,104,1.21375668699828,0,0,-0.337705675981383,0,0,0,0,0,0,0,0,0,0,Naive
1,105,0.85362379370876,0,0,-0.0948564529762075,0,0,0,0,0,0,0,0,0,0,Naive
2,105,0.835192192909753,0,0,0.185511543433887,0,0,0,0,0,0,0,0,0,0,Naive
3,105,0.533102798842743,0,0,-0.0501231779934451,0,0,0,0,0,0,0,0,0,0,Naive
4,105,0.519163411536441,0,0,-0.125174257796032,0,0,0,0,0,0,0,0,0,0,Naive
5,105,0.93203385935399,0,0,0.0364130171641932,0,0,0,0,0,0,0,0,0,0,Naive
6,105,0.982518395732364,0,0,0.0654437167872605,0,0,0,0,0,0,0,0,0,0,Naive
7,105,0.689543387624891,0,0,-0.196456709699832,0,0,0,0,0,0,0,0,0,0,Naive
8,105,0.532769965896282,0,0,-0.0404326363014961,0,0,0,0,0,0,0,0,0,0,Naive
9,105,1.01381511587901,0,0,0.0989247529428269,0,0,0,0,0,0,0,0,0,0,Naive
10,105,1.15417738056571,0,0,0.114549912663781,0,0,0,0,0,0,0,0,0,0,Naive
1,106,1.50194818070379,0,0,-0.187301478504397,0,0,0,0,0,0,0,0,0,0,Naive
2,106,1.26440272347002,0,0,-0.00053574860048009,0,0,0,0,0,0,0,0,0,0,Naive
3,106,1.6162074475071,0,0,-0.200768379719965,0,0,0,0,0,0,0,0,0,0,Naive
4,106,1.19655942864008,0,0,-0.216639615727433,0,0,0,0,0,0,0,0,0,0,Naive
5,106,1.36805550635329,0,0,-0.215533824965826,0,0,0,0,0,0,0,0,0,0,Naive
6,106,1.3467103537765,0,0,-0.112886065183515,0,0,0,0,0,0,0,0,0,0,Naive
