parameter,value,se_sa,rse_sa
beta_N_pow_pop,-6.71271827837143,0.311633007943075,4.64242643620492
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,2.08720156324244,1.78261604027721,85.4069904733082
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,7802.61709074031,12034.7524219174,154.239946443092
fact_P_T_pop,-2.50433609506916,0.719462186966908,28.7286593993303
alpha_VLSG_pop,1.35882133919767,0.156235695129729,11.4978835423633
thresh_Weight_pop,4.5,,
beta_immuno_pop,-5.82421697810997e-7,7.81133342818349e-7,134.118173439314
omega_beta_N_pow,1.09485224894094,0.418146503681746,38.1920486610155
omega_delta_N,0.162484474619877,0.47195629296429,290.462392833779
a1,1.08944447151295,0.141873707500768,13.0225735418844
a2,1.04144435842887,0.276093200867662,26.5106050681554
a3,1.21922257730897,0.113758639566034,9.33042429521922
a4,1.4315858569673,0.279592141964938,19.5302391822472
