time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
0,101,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,149553
1,101,12.6406,384.084,1951.17,669.164,668545,13.5111,13870.4,1087.16,2553.3,8530.9,9.18879e+6,0.818613,212260,12.4442,384.058,1994.23,674.372,673747,13.5111,13851,1091.15,2605.39,8588.33,9.24932e+6,0.818612,212260,15.1185,384.376,1834.35,637.252,636671,13.5111,14145.6,1029.56,2346.45,7920.17,8.53062e+6,0.818619,212260
2,101,12.5366,19.1473,367.327,206.838,206658,2.68174e-8,12150.9,518.013,1236.57,4938.38,5.43004e+6,1.6244e-9,274968,12.34,19.1462,385.764,212.544,212359,2.68177e-8,12108.7,525.626,1279.56,5040.82,5.53994e+6,1.62441e-9,274968,15.0056,19.1636,319.478,186.472,186315,2.6813e-8,12592,466.171,1067.68,4322.68,4.76365e+6,1.62414e-9,274968
3,101,12.5117,0.9586,56.0928,38.4274,38395.6,-8.10913e-15,11339.4,241.037,593.078,2432.03,2.66935e+6,-4.912e-16,337675,12.3145,0.958695,60.7485,40.4494,40415.7,-8.52156e-15,11277.4,247.184,620.881,2513.05,2.75643e+6,-5.16185e-16,337675,14.9801,0.959462,44.5814,32.3429,32317.4,8.33354e-14,11889.8,207.611,486.675,2016.09,2.22046e+6,5.04805e-15,337675
4,101,12.5074,0.0486061,8.15774,6.06371,6058.86,5.71083e-23,10966.3,111.01,278.958,1157.6,1.26729e+6,3.45933e-24,400383,12.31,0.0486611,9.12861,6.56379,6558.49,1.43184e-22,10891.4,114.97,295.114,1209.39,1.32299e+6,8.67273e-24,400383,14.976,0.0485931,5.87674,4.70469,4701.15,-2.72685e-19,11580.1,91.7188,218.719,914.671,1.00533e+6,-1.6518e-20,400383
6,101,12.5067,0.00014664,0.166107,0.130045,129.944,-3.79318e-30,10715.3,23.5257,59.7893,250.81,274061,-2.29785e-31,384102,12.3092,0.000149713,0.199052,0.150001,149.883,-2.22644e-35,10628.5,24.8274,64.5033,267.315,291850,-1.348e-36,384102,14.9754,0.000141342,0.0971281,0.0834576,83.3978,-2.18331e-26,11382.6,17.9339,43.1117,181.852,199586,-1.32254e-27,384102
9,101,12.5066,1.0094e-7,0.00046728,0.000371517,0.371232,3.61043e-38,10654.7,2.26922,5.76963,24.2907,26533.3,2.18694e-39,359681,12.3092,1.2013e-7,0.000622517,0.000475387,0.475017,5.03104e-43,10563.7,2.46304,6.40438,26.64,29074,3.04607e-44,359681,14.9754,6.68972e-8,0.00019803,0.000174191,0.174069,-1.82507e-34,11338.8,1.53634,3.69149,15.616,17135.1,-1.10551e-35,359681
14,101,12.5066,4.92618e-12,2.71085e-8,2.12717e-8,2.12553e-5,4.06251e-49,10648.3,0.0464698,0.119106,0.499589,545.513,2.46158e-50,455787,12.3092,7.17306e-12,4.30113e-8,3.24476e-8,3.24223e-5,-5.36525e-54,10556.7,0.0528196,0.138396,0.573688,625.881,-3.24807e-55,455787,14.9754,1.75303e-12,6.70849e-9,5.82374e-9,5.81966e-6,-4.15652e-50,11334.8,0.0258288,0.0625489,0.263604,289.144,-2.51826e-51,455787
20,101,12.5066,4.44225e-17,2.55787e-13,1.96301e-13,1.9615e-10,3.65664e-57,10648.2,0.00046639,0.00120761,0.00504083,5.50171,2.21587e-58,571113,12.3092,7.93057e-17,4.95444e-13,3.66294e-13,3.66007e-10,3.31775e-62,10556.6,0.000558479,0.00147748,0.00609645,6.64828,2.00853e-63,571113,14.9754,8.35652e-18,3.36791e-14,2.85191e-14,2.84989e-11,-2.04867e-58,11334.8,0.000204235,0.000499582,0.00209538,2.29732,-1.24137e-59,571113
0,102,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,1.55455e+6
