id,eta_beta_N_pow_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_g_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_beta_N_pow_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_g_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_beta_N_pow_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_g_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_beta_N_pow_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_g_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group,groupVsnaive
101,0.479169,0,0,0.0317179,0,0,0,0,0,0,0,0,0,0.471513,0,0,0.0369128,0,0,0,0,0,0,0,0,0,0.453594,0,0,0.0490039,0,0,0,0,0,0,0,0,0,0.187213,0,0,0.125072,0,0,0,0,0,0,0,0,0,Naive,G_Naive
102,0.339506,0,0,-0.283321,0,0,0,0,0,0,0,0,0,0.354497,0,0,-0.290991,0,0,0,0,0,0,0,0,0,0.323992,0,0,-0.266998,0,0,0,0,0,0,0,0,0,0.173464,0,0,0.113342,0,0,0,0,0,0,0,0,0,Naive,G_Naive
103,-0.190927,0,0,0.198241,0,0,0,0,0,0,0,0,0,-0.236231,0,0,0.169237,0,0,0,0,0,0,0,0,0,-0.199752,0,0,0.174714,0,0,0,0,0,0,0,0,0,0.211045,0,0,0.144695,0,0,0,0,0,0,0,0,0,Naive,G_Naive
104,-0.243974,0,0,-0.199265,0,0,0,0,0,0,0,0,0,-0.261867,0,0,-0.211536,0,0,0,0,0,0,0,0,0,-0.23047,0,0,-0.193286,0,0,0,0,0,0,0,0,0,0.172765,0,0,0.103689,0,0,0,0,0,0,0,0,0,Naive,G_Naive
105,-0.307829,0,0,0.127791,0,0,0,0,0,0,0,0,0,-0.304188,0,0,0.133963,0,0,0,0,0,0,0,0,0,-0.280458,0,0,0.137834,0,0,0,0,0,0,0,0,0,0.219871,0,0,0.155802,0,0,0,0,0,0,0,0,0,Naive,G_Naive
106,-0.0999779,0,0,-0.146866,0,0,0,0,0,0,0,0,0,-0.110931,0,0,-0.144885,0,0,0,0,0,0,0,0,0,-0.0928569,0,0,-0.14002,0,0,0,0,0,0,0,0,0,0.194573,0,0,0.11599,0,0,0,0,0,0,0,0,0,Naive,G_Naive
201,0.275613,0,0,-0.117944,0,0,0,0,0,0,0,0,0,0.276737,0,0,-0.130223,0,0,0,0,0,0,0,0,0,0.285918,0,0,-0.117061,0,0,0,0,0,0,0,0,0,0.222832,0,0,0.171504,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
202,-0.0940921,0,0,0.0876775,0,0,0,0,0,0,0,0,0,-0.100519,0,0,0.0845205,0,0,0,0,0,0,0,0,0,-0.0847079,0,0,0.0913981,0,0,0,0,0,0,0,0,0,0.237081,0,0,0.179297,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
203,0.00649852,0,0,0.0296364,0,0,0,0,0,0,0,0,0,0.028153,0,0,0.021099,0,0,0,0,0,0,0,0,0,0.0252486,0,0,0.0335663,0,0,0,0,0,0,0,0,0,0.232684,0,0,0.164453,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
204,-0.0167307,0,0,0.0104929,0,0,0,0,0,0,0,0,0,-0.0414311,0,0,0.00341036,0,0,0,0,0,0,0,0,0,-0.0144095,0,0,0.00602598,0,0,0,0,0,0,0,0,0,0.24686,0,0,0.145332,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
205,-0.0337136,0,0,-0.0366366,0,0,0,0,0,0,0,0,0,-0.055399,0,0,-0.0412197,0,0,0,0,0,0,0,0,0,-0.0377587,0,0,-0.0407319,0,0,0,0,0,0,0,0,0,0.235125,0,0,0.144552,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
206,-0.102197,0,0,0.154992,0,0,0,0,0,0,0,0,0,-0.0791374,0,0,0.183564,0,0,0,0,0,0,0,0,0,-0.0977889,0,0,0.163728,0,0,0,0,0,0,0,0,0,0.257669,0,0,0.201075,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
301,0.049455,0,0,0.0288446,0,0,0,0,0,0,0,0,0,0.0461243,0,0,0.0190809,0,0,0,0,0,0,0,0,0,0.0464616,0,0,0.0378898,0,0,0,0,0,0,0,0,0,0.245705,0,0,0.189029,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
302,-0.14471,0,0,0.119684,0,0,0,0,0,0,0,0,0,-0.157747,0,0,0.0928927,0,0,0,0,0,0,0,0,0,-0.153508,0,0,0.113891,0,0,0,0,0,0,0,0,0,0.254907,0,0,0.200595,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
303,-0.0105927,0,0,0.0454644,0,0,0,0,0,0,0,0,0,-0.00579942,0,0,0.0528787,0,0,0,0,0,0,0,0,0,-0.00362896,0,0,0.0482198,0,0,0,0,0,0,0,0,0,0.22646,0,0,0.181501,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
304,0.164725,0,0,-0.125613,0,0,0,0,0,0,0,0,0,0.156054,0,0,-0.135969,0,0,0,0,0,0,0,0,0,0.170233,0,0,-0.127275,0,0,0,0,0,0,0,0,0,0.221089,0,0,0.173806,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
305,-0.00575405,0,0,0.0723792,0,0,0,0,0,0,0,0,0,-0.0199238,0,0,0.0803922,0,0,0,0,0,0,0,0,0,-0.0128439,0,0,0.0732251,0,0,0,0,0,0,0,0,0,0.265997,0,0,0.17925,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
306,-0.060952,0,0,0.000488521,0,0,0,0,0,0,0,0,0,-0.0300914,0,0,0.0213872,0,0,0,0,0,0,0,0,0,-0.0468025,0,0,0.00102687,0,0,0,0,0,0,0,0,0,0.261984,0,0,0.186151,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
